,acid_male,acid_female,tuple,average_male,average_female,female-male
0,0.3510406,0.2633559,"('unsociable', 'sociable')",0.3510406,0.2633559,-0.0876847
1,1.0760642,1.1643753,"('unfriendly', 'friendly')",1.0760642,1.1643753,0.0883111
2,0.28839308,0.4596812,"('unlikable', 'likable')",0.2883931,0.4596812,0.1712881
3,0.8150538,0.9080047,"('repellent', 'pleasant')",0.8150538,0.9080047,0.0929509
4,-7.4861627,-7.4305778,"('disliked', 'liked')",-7.4861627,-7.4305778,0.0555849
5,-0.6018355,-0.51095855,"('distant', 'outgoing')",-0.6018355,-0.5109586,0.0908769
6,-0.17651364,-0.17384402,"('distant', 'open')",-0.1765136,-0.173844,0.0026696
7,1.476325,1.4526278,"('insensitive', 'sensitive')",1.476325,1.4526278,-0.0236972
8,1.168347,1.1245295,"('unaffectionate', 'affectionate')",1.168347,1.1245295,-0.0438175
9,1.3970215,1.4360334,"('unaffectionate', 'caring')",1.3970215,1.4360334,0.0390119
10,1.8469813,1.6608573,"('unsympathetic', 'sympathetic')",1.8469813,1.6608573,-0.186124
11,2.1068397,2.0858378,"('unhelpful', 'helpful')",2.1068397,2.0858378,-0.0210019
12,-1.0672089,-1.0108955,"('unsupportive', 'supportive')",-1.0672089,-1.0108955,0.0563134
13,0.2334942,0.22970706,"('impolite', 'polite')",0.2334942,0.2297071,-0.0037871
14,0.26736882,0.30531567,"('antisocial', 'social')",0.2673688,0.3053157,0.0379469
15,0.2904992,0.31404644,"('boring', 'funny')",0.2904992,0.3140464,0.0235472
16,-0.8995688,-0.7425706,"('unpopular', 'popular')",-0.8995688,-0.7425706,0.1569982
17,0.049541585,-0.031916015,"('nasty', 'nice')",0.0495416,-0.031916,-0.0814576
18,-0.68171316,-0.5485952,"('disagreeable', 'welcoming')",-0.6817132,-0.5485952,0.133118
19,-0.53410125,-0.5306668,"('inhospitable', 'hospitable')",-0.5341012,-0.5306668,0.0034344
20,0.72675085,0.58854425,"('rough', 'thoughtful')",0.7267509,0.5885442,-0.1382067
21,0.3044248,0.36330888,"('immoral', 'moral')",0.3044248,0.3633089,0.0588841
22,0.2531873,0.21094337,"('untrustworthy', 'trustworthy')",0.2531873,0.2109434,-0.0422439
