,hotel_male,hotel_female,tuple,average_male,average_female,female-male
0,1.0479861,0.9343708,"('unsociable', 'sociable')",1.0479861,0.9343708,-0.1136153
1,1.0961604,1.0756856,"('unfriendly', 'friendly')",1.0961604,1.0756856,-0.0204748
2,1.2254856,1.4915853,"('unlikable', 'likable')",1.2254856,1.4915853,0.2660997
3,0.20852555,0.26720178,"('repellent', 'pleasant')",0.2085256,0.2672018,0.0586762
4,-6.309659,-6.1779823,"('disliked', 'liked')",-6.309659,-6.1779823,0.1316767
5,-0.8727279,-0.86801064,"('distant', 'outgoing')",-0.8727279,-0.8680106,0.0047173
6,-0.5025944,-0.53818226,"('distant', 'open')",-0.5025944,-0.5381823,-0.0355879
7,1.4657215,1.5840268,"('insensitive', 'sensitive')",1.4657215,1.5840268,0.1183053
8,0.41101992,0.336246,"('unaffectionate', 'affectionate')",0.4110199,0.336246,-0.0747739
9,1.0564446,1.0605967,"('unaffectionate', 'caring')",1.0564446,1.0605967,0.0041521
10,1.0698379,0.91997576,"('unsympathetic', 'sympathetic')",1.0698379,0.9199758,-0.1498621
11,1.6789061,1.628531,"('unhelpful', 'helpful')",1.6789061,1.628531,-0.0503751
12,-1.2578009,-1.1818217,"('unsupportive', 'supportive')",-1.2578009,-1.1818217,0.0759792
13,0.6044605,0.6628374,"('impolite', 'polite')",0.6044605,0.6628374,0.0583769
14,1.3517692,1.4537898,"('antisocial', 'social')",1.3517692,1.4537898,0.1020206
15,0.56619203,0.5716953,"('boring', 'funny')",0.566192,0.5716953,0.0055033
16,0.26041248,0.44814882,"('unpopular', 'popular')",0.2604125,0.4481488,0.1877363
17,0.06124246,0.07791695,"('nasty', 'nice')",0.0612425,0.0779169,0.0166744
18,-0.43892953,-0.2549164,"('disagreeable', 'welcoming')",-0.4389295,-0.2549164,0.1840131
19,-1.2713865,-1.2685676,"('inhospitable', 'hospitable')",-1.2713865,-1.2685676,0.0028189
20,0.37192944,0.49122715,"('rough', 'thoughtful')",0.3719294,0.4912271,0.1192977
21,0.13548747,0.28069523,"('immoral', 'moral')",0.1354875,0.2806952,0.1452077
22,0.20299318,0.31203738,"('untrustworthy', 'trustworthy')",0.2029932,0.3120374,0.1090442
23,5.7984605,5.7891,"('insincere', 'sincere')",5.7984605,5.7891002,-0.0093603
24,1.3516494,1.3200921,"('dishonest', 'honest')",1.3516494,1.3200921,-0.0315573
25,0.14156461,0.19282174,"('egoistic', 'altruistic')",0.1415646,0.1928217,0.0512571
26,1.9790243,1.8145795,"('hardhearted', 'benevolent')",1.9790243,1.8145795,-0.1644448
27,0.656079,0.65367943,"('hardhearted', 'softhearted')",0.656079,0.6536794,-0.0023996
28,0.65114,0.5725875,"('disloyal', 'loyal')",0.65114,0.5725875,-0.0785525
29,-0.37429792,-0.519023,"('unfair', 'fair')",-0.3742979,-0.519023,-0.1447251
30,1.5094745,1.5114586,"('intolerant', 'tolerant')",1.5094745,1.5114586,0.0019841
31,-1.8111871,-1.9170614,"('evil', 'good')",-1.8111871,-1.9170614,-0.1058743
32,1.2487005,1.2055752,"('unkind', 'kind')",1.2487005,1.2055752,-0.0431253
33,-0.47036797,-0.36103278,"('wrong', 'right')",-0.470368,-0.3610328,0.1093352
34,4.432027,4.5062804,"('mean', 'honorable')",4.4320269,4.5062804,0.0742535
35,-1.2536479,-1.4444398,"('corrupt', 'incorrupt')",-1.2536479,-1.4444398,-0.1907919
36,-0.951325,-1.0601906,"('hostile', 'amicable')",-0.951325,-1.0601906,-0.1088656
37,-0.30139285,-0.28766876,"('fake', 'genuine')",-0.3013929,-0.2876688,0.0137241
38,-0.1550024,-0.20658197,"('untruthful', 'truthful')",-0.1550024,-0.206582,-0.0515796
39,0.45200905,0.6173074,"('exploitative', 'cooperative')",0.4520091,0.6173074,0.1652983
40,-1.5968419,-1.5180467,"('stingy', 'generous')",-1.5968419,-1.5180467,0.0787952
41,0.78962845,0.7767911,"('unforgiving', 'forgiving')",0.7896284,0.7767911,-0.0128373
42,-1.8292189,-1.7174902,"('unreliable', 'reliable')",-1.8292189,-1.7174902,0.1117287
43,1.4812034,1.5295414,"('irresponsible', 'responsible')",1.4812034,1.5295414,0.048338
44,-1.4604516,-1.2913945,"('prejudiced', 'unprejudiced')",-1.4604516,-1.2913945,0.1690571
45,0.67371595,0.685728,"('incompetent', 'competent')",0.6737159,0.685728,0.0120121
46,-0.1335722,-0.12021146,"('uncompetitive', 'competitive')",-0.1335722,-0.1202115,0.0133607
47,5.3597417,5.472353,"('stupid', 'smart')",5.3597417,5.472353,0.1126113
48,0.9347025,0.90079284,"('unintelligent', 'intelligent')",0.9347025,0.9007928,-0.0339097
49,-0.7208934,-0.46586567,"('unable', 'able')",-0.7208934,-0.4658657,0.2550277
50,-0.932268,-0.8612531,"('clumsy', 'skillful')",-0.932268,-0.8612531,0.0710149
51,0.88372153,0.8217443,"('uneducated', 'educated')",0.8837215,0.8217443,-0.0619772
52,-0.5799972,-0.5986401,"('irrational', 'rational')",-0.5799972,-0.5986401,-0.0186429
53,0.24611995,0.35094076,"('uncreative', 'creative')",0.2461199,0.3509408,0.1048209
54,0.89586645,0.94308543,"('incapable', 'capable')",0.8958665,0.9430854,0.0472189
55,1.0137817,1.1308599,"('incompetent', 'clever')",1.0137817,1.1308599,0.1170782
56,0.9867925,1.0694631,"('impractical', 'practical')",0.9867925,1.0694631,0.0826706
57,-2.0042095,-2.0276546,"('unimaginative', 'imaginative')",-2.0042095,-2.0276546,-0.0234451
58,0.36896166,0.37469605,"('undiscriminating', 'discriminating')",0.3689617,0.374696,0.0057343
59,-0.4592576,-0.46462396,"('foolish', 'wise')",-0.4592576,-0.464624,-0.0053664
60,0.69936395,0.9560355,"('inefficient', 'efficient')",0.6993639,0.9560355,0.2566716
