,plagiarism_male,plagiarism_female,tuple,average_male,average_female,female-male
0,-0.84837586,-1.0129453,"('unsociable', 'sociable')",-0.8483759,-1.0129453,-0.1645694
1,-0.5701626,-0.66472745,"('unfriendly', 'friendly')",-0.5701626,-0.6647274,-0.0945648
2,-0.77107334,-0.71602434,"('unlikable', 'likable')",-0.7710733,-0.7160243,0.055049
3,-0.6491191,-0.63688576,"('repellent', 'pleasant')",-0.6491191,-0.6368858,0.0122333
4,-1.5108978,-1.4241693,"('disliked', 'liked')",-1.5108978,-1.4241693,0.0867285
5,-0.21885806,-0.22045034,"('distant', 'outgoing')",-0.2188581,-0.2204503,-0.0015922
6,-0.04907825,-0.07082069,"('distant', 'open')",-0.0490782,-0.0708207,-0.0217425
7,-1.6274424,-1.6927142,"('insensitive', 'sensitive')",-1.6274424,-1.6927142,-0.0652718
8,-1.1913755,-1.2569731,"('unaffectionate', 'affectionate')",-1.1913755,-1.2569731,-0.0655976
9,-1.3124028,-1.4168353,"('unaffectionate', 'caring')",-1.3124028,-1.4168353,-0.1044325
10,-1.0667306,-1.2209283,"('unsympathetic', 'sympathetic')",-1.0667306,-1.2209283,-0.1541977
11,-0.5685518,-0.5988752,"('unhelpful', 'helpful')",-0.5685518,-0.5988752,-0.0303234
12,-2.0773408,-2.1231039,"('unsupportive', 'supportive')",-2.0773408,-2.1231039,-0.0457631
13,-0.713173,-0.796488,"('impolite', 'polite')",-0.713173,-0.796488,-0.083315
14,-1.389297,-1.4486547,"('antisocial', 'social')",-1.389297,-1.4486547,-0.0593577
15,0.23062378,0.25308946,"('boring', 'funny')",0.2306238,0.2530895,0.0224657
16,-1.0788587,-1.0291423,"('unpopular', 'popular')",-1.0788587,-1.0291423,0.0497164
17,-0.3425046,-0.27852327,"('nasty', 'nice')",-0.3425046,-0.2785233,0.0639813
18,-1.6791738,-1.7131792,"('disagreeable', 'welcoming')",-1.6791738,-1.7131792,-0.0340054
19,-0.7785267,-0.73029536,"('inhospitable', 'hospitable')",-0.7785267,-0.7302954,0.0482313
20,0.15306811,0.058176417,"('rough', 'thoughtful')",0.1530681,0.0581764,-0.0948917
21,-1.4531758,-1.4904196,"('immoral', 'moral')",-1.4531758,-1.4904196,-0.0372438
22,-0.6594625,-0.7128846,"('untrustworthy', 'trustworthy')",-0.6594625,-0.7128846,-0.0534221
23,0.27781743,0.14941868,"('insincere', 'sincere')",0.2778174,0.1494187,-0.1283987
24,-1.672737,-1.7685575,"('dishonest', 'honest')",-1.672737,-1.7685575,-0.0958205
25,0.049648713,0.006564662,"('egoistic', 'altruistic')",0.0496487,0.0065647,-0.043084
26,0.49784535,0.3661986,"('hardhearted', 'benevolent')",0.4978454,0.3661986,-0.1316468
27,-0.2305264,-0.35913557,"('hardhearted', 'softhearted')",-0.2305264,-0.3591356,-0.1286092
28,-0.95732707,-1.0605125,"('disloyal', 'loyal')",-0.9573271,-1.0605125,-0.1031854
29,-1.5097109,-1.5538921,"('unfair', 'fair')",-1.5097109,-1.5538921,-0.0441812
30,-0.42371225,-0.4779805,"('intolerant', 'tolerant')",-0.4237123,-0.4779805,-0.0542682
31,-1.85224,-1.7874023,"('evil', 'good')",-1.85224,-1.7874023,0.0648377
32,-0.99388576,-1.0843772,"('unkind', 'kind')",-0.9938858,-1.0843772,-0.0904914
33,0.108963236,0.06431554,"('wrong', 'right')",0.1089632,0.0643155,-0.0446477
34,1.426113,1.52314,"('mean', 'honorable')",1.426113,1.52314,0.097027
35,-0.3796691,-0.4087887,"('corrupt', 'incorrupt')",-0.3796691,-0.4087887,-0.0291196
36,-0.29860556,-0.26121956,"('hostile', 'amicable')",-0.2986056,-0.2612196,0.037386
37,-2.006606,-2.076718,"('fake', 'genuine')",-2.0066061,-2.0767181,-0.070112
38,-0.54202706,-0.5345939,"('untruthful', 'truthful')",-0.5420271,-0.5345939,0.0074332
39,-0.896092,-0.981121,"('exploitative', 'cooperative')",-0.896092,-0.981121,-0.085029
