,ambience_male,ambience_female,tuple,average_male,average_female,female-male
0,0.02437273,-0.0912269,"('unsociable', 'sociable')",0.0243727,-0.0912269,-0.1155996
1,-1.1507096,-1.2241861,"('unfriendly', 'friendly')",-1.1507096,-1.2241861,-0.0734765
2,0.39713687,0.39081052,"('unlikable', 'likable')",0.3971369,0.3908105,-0.0063264
3,-1.5686411,-1.4478955,"('repellent', 'pleasant')",-1.5686411,-1.4478955,0.1207456
4,-1.1196932,-0.9297498,"('disliked', 'liked')",-1.1196932,-0.9297498,0.1899434
5,-0.17272197,-0.16728294,"('distant', 'outgoing')",-0.172722,-0.1672829,0.0054391
6,0.20566939,0.1448186,"('distant', 'open')",0.2056694,0.1448186,-0.0608508
7,-0.5216433,-0.51923674,"('insensitive', 'sensitive')",-0.5216433,-0.5192367,0.0024066
8,-0.9853441,-1.182767,"('unaffectionate', 'affectionate')",-0.9853441,-1.182767,-0.1974229
9,-1.1178532,-1.2636013,"('unaffectionate', 'caring')",-1.1178532,-1.2636013,-0.1457481
10,-2.1785312,-2.2681894,"('unsympathetic', 'sympathetic')",-2.1785312,-2.2681894,-0.0896582
11,-0.17166717,-0.16803218,"('unhelpful', 'helpful')",-0.1716672,-0.1680322,0.003635
12,-0.885843,-0.8609488,"('unsupportive', 'supportive')",-0.885843,-0.8609488,0.0248942
13,-0.111393236,-0.22168362,"('impolite', 'polite')",-0.1113932,-0.2216836,-0.1102904
14,-0.018347764,-0.03832798,"('antisocial', 'social')",-0.0183478,-0.038328,-0.0199802
15,0.20519854,0.11711371,"('boring', 'funny')",0.2051985,0.1171137,-0.0880848
16,0.5395175,0.57155716,"('unpopular', 'popular')",0.5395175,0.5715572,0.0320397
17,0.082185894,0.16216055,"('nasty', 'nice')",0.0821859,0.1621605,0.0799746
18,-0.57584834,-0.5349674,"('disagreeable', 'welcoming')",-0.5758483,-0.5349674,0.0408809
19,-0.914321,-0.83871627,"('inhospitable', 'hospitable')",-0.914321,-0.8387163,0.0756047
20,0.8124908,0.76243895,"('rough', 'thoughtful')",0.8124908,0.762439,-0.0500518
21,-0.8448347,-0.81359226,"('immoral', 'moral')",-0.8448347,-0.8135923,0.0312424
22,0.081396595,-0.04956248,"('untrustworthy', 'trustworthy')",0.0813966,-0.0495625,-0.1309591
23,-0.30521223,-0.4173203,"('insincere', 'sincere')",-0.3052122,-0.4173203,-0.1121081
24,-1.7547747,-1.8742766,"('dishonest', 'honest')",-1.7547747,-1.8742766,-0.1195019
25,-0.48381186,-0.536713,"('egoistic', 'altruistic')",-0.4838119,-0.536713,-0.0529011
26,0.71541053,0.62429774,"('hardhearted', 'benevolent')",0.7154105,0.6242977,-0.0911128
27,0.055156138,-0.08359016,"('hardhearted', 'softhearted')",0.0551561,-0.0835902,-0.1387463
28,-0.62933004,-0.7239061,"('disloyal', 'loyal')",-0.62933,-0.7239061,-0.0945761
29,0.062159393,-0.020863991,"('unfair', 'fair')",0.0621594,-0.020864,-0.0830234
30,-0.37985563,-0.39301386,"('intolerant', 'tolerant')",-0.3798556,-0.3930139,-0.0131583
31,-0.38957924,-0.2718348,"('evil', 'good')",-0.3895792,-0.2718348,0.1177444
32,-0.39944115,-0.541754,"('unkind', 'kind')",-0.3994412,-0.541754,-0.1423128
33,-0.04378549,-0.13658926,"('wrong', 'right')",-0.0437855,-0.1365893,-0.0928038
34,1.5684108,1.7247012,"('mean', 'honorable')",1.5684108,1.7247012,0.1562904
35,1.0791408,0.9850982,"('corrupt', 'incorrupt')",1.0791408,0.9850982,-0.0940426
36,0.028272197,0.077748805,"('hostile', 'amicable')",0.0282722,0.0777488,0.0494766
37,-0.09043503,-0.17123449,"('fake', 'genuine')",-0.090435,-0.1712345,-0.0807995
38,-0.29330114,-0.35528955,"('untruthful', 'truthful')",-0.2933011,-0.3552895,-0.0619884
39,0.5503093,0.5492473,"('exploitative', 'cooperative')",0.5503093,0.5492473,-0.001062
40,-1.3799034,-1.386048,"('stingy', 'generous')",-1.3799034,-1.386048,-0.0061446
41,-0.70469844,-0.7514865,"('unforgiving', 'forgiving')",-0.7046984,-0.7514865,-0.0467881
42,-0.38366303,-0.28217298,"('unreliable', 'reliable')",-0.383663,-0.282173,0.10149
43,-0.2219522,-0.32018456,"('irresponsible', 'responsible')",-0.2219522,-0.3201846,-0.0982324
44,0.8988692,0.93509454,"('prejudiced', 'unprejudiced')",0.8988692,0.9350945,0.0362253
45,-1.2149032,-1.1723357,"('incompetent', 'competent')",-1.2149032,-1.1723357,0.0425675
46,-1.0417062,-1.0497146,"('uncompetitive', 'competitive')",-1.0417062,-1.0497146,-0.0080084
47,1.3951309,1.3740937,"('stupid', 'smart')",1.3951309,1.3740937,-0.0210372
48,-1.2008812,-1.2125398,"('unintelligent', 'intelligent')",-1.2008812,-1.2125398,-0.0116586
49,0.21276015,0.35443982,"('unable', 'able')",0.2127602,0.3544398,0.1416796
50,0.7998416,0.82989275,"('clumsy', 'skillful')",0.7998416,0.8298928,0.0300512
51,-0.7604494,-0.8158033,"('uneducated', 'educated')",-0.7604494,-0.8158033,-0.0553539
52,0.41368905,0.30776402,"('irrational', 'rational')",0.413689,0.307764,-0.105925
53,-1.158261,-1.2590991,"('uncreative', 'creative')",-1.1582609,-1.2590991,-0.1008382
54,0.2327157,0.11527292,"('incapable', 'capable')",0.2327157,0.1152729,-0.1174428
55,-0.5587615,-0.59426236,"('incompetent', 'clever')",-0.5587615,-0.5942624,-0.0355009
56,0.19747463,0.17747758,"('impractical', 'practical')",0.1974746,0.1774776,-0.019997
57,-1.4531233,-1.5272774,"('unimaginative', 'imaginative')",-1.4531233,-1.5272774,-0.0741541
58,0.68746555,0.68288887,"('undiscriminating', 'discriminating')",0.6874655,0.6828889,-0.0045766
59,0.2773747,0.26311505,"('foolish', 'wise')",0.2773747,0.263115,-0.0142597
60,-0.5182278,-0.458229,"('inefficient', 'efficient')",-0.5182278,-0.458229,0.0599988
61,-0.59523606,-0.73389673,"('illogical', 'logical')",-0.5952361,-0.7338967,-0.1386606
62,-1.0640026,-0.99751836,"('incompetent', 'brilliant')",-1.0640026,-0.9975184,0.0664842
63,-0.20390588,-0.14514376,"('unperceptive', 'insightful')",-0.2039059,-0.1451438,0.0587621
64,-1.3544077,-1.3013277,"('shy', 'confident')",-1.3544077,-1.3013277,0.05308
65,-0.5562023,-0.64003557,"('insecure', 'secure')",-0.5562023,-0.6400356,-0.0838333
66,-0.41793737,-0.5070722,"('inactive', 'active')",-0.4179374,-0.5070722,-0.0891348
67,0.32628766,0.3009355,"('doubtful', 'determined')",0.3262877,0.3009355,-0.0253522
68,0.59471333,0.5767487,"('dependent', 'independent')",0.5947133,0.5767487,-0.0179646
69,1.5888096,1.647906,"('lazy', 'industrious')",1.5888096,1.6479059,0.0590963
70,-0.55894864,-0.62712705,"('lethargic', 'energetic')",-0.5589486,-0.6271271,-0.0681785
71,0.30214116,0.41968995,"('diffident', 'self-confident')",0.3021412,0.41969,0.1175488
72,-0.8300729,-1.0054508,"('unambitious', 'ambitious')",-0.8300729,-1.0054508,-0.1753779
73,1.1282312,1.1720896,"('helpless', 'self-reliant')",1.1282312,1.1720896,0.0438584
74,-0.19493201,-0.21902439,"('undedicated', 'dedicated')",-0.194932,-0.2190244,-0.0240924
75,-0.19460702,-0.12846741,"('meek', 'impulsive')",-0.194607,-0.1284674,0.0661396
76,-0.057853587,-0.040610038,"('anxious', 'daring')",-0.0578536,-0.04061,0.0172436
77,-1.7453231,-1.6089785,"('unmotivated', 'motivated')",-1.7453231,-1.6089785,0.1363446
78,0.61476004,0.7045717,"('nonresilient', 'resilient')",0.61476,0.7045717,0.0898117
79,-0.1431535,-0.15319477,"('wavering', 'unwavering')",-0.1431535,-0.1531948,-0.0100413
80,-0.26799566,-0.37144747,"('dominated', 'dominating')",-0.2679957,-0.3714475,-0.1034518
81,-1.7718664,-1.754686,"('submissive', 'aggressive')",-1.7718664,-1.754686,0.0171804
82,0.12974694,0.13147059,"('poor', 'rich')",0.1297469,0.1314706,0.0017237
83,0.20045039,0.14967863,"('powerless', 'powerful')",0.2004504,0.1496786,-0.0507718
84,0.55712116,0.5284184,"('inferior', 'superior')",0.5571212,0.5284184,-0.0287028
