,shack_male,shack_female,tuple,average_male,average_female,female-male
0,-0.30421537,-0.39645818,"('unsociable', 'sociable')",-0.3042154,-0.3964582,-0.0922428
1,1.6230276,1.4894137,"('unfriendly', 'friendly')",1.6230276,1.4894137,-0.1336139
2,-0.056957223,-0.091745466,"('unlikable', 'likable')",-0.0569572,-0.0917455,-0.0347883
3,-0.33351108,-0.21639273,"('repellent', 'pleasant')",-0.3335111,-0.2163927,0.1171184
4,-7.6801844,-7.7702923,"('disliked', 'liked')",-7.6801844,-7.7702923,-0.0901079
5,-0.42976072,-0.529294,"('distant', 'outgoing')",-0.4297607,-0.529294,-0.0995333
6,0.106198184,-0.00931374,"('distant', 'open')",0.1061982,-0.0093137,-0.1155119
7,0.36880207,0.50004894,"('insensitive', 'sensitive')",0.3688021,0.5000489,0.1312468
8,1.3471609,1.2313961,"('unaffectionate', 'affectionate')",1.3471609,1.2313961,-0.1157648
9,1.9398797,1.8774692,"('unaffectionate', 'caring')",1.9398797,1.8774692,-0.0624105
10,0.08288428,0.07287075,"('unsympathetic', 'sympathetic')",0.0828843,0.0728708,-0.0100135
11,1.4719834,1.5674411,"('unhelpful', 'helpful')",1.4719834,1.5674411,0.0954577
12,-1.9808432,-1.9950932,"('unsupportive', 'supportive')",-1.9808432,-1.9950932,-0.01425
13,-0.35343146,-0.4677773,"('impolite', 'polite')",-0.3534315,-0.4677773,-0.1143458
14,-0.114288494,-0.15366049,"('antisocial', 'social')",-0.1142885,-0.1536605,-0.039372
15,0.35352647,0.26689196,"('boring', 'funny')",0.3535265,0.266892,-0.0866345
16,-0.48050514,-0.42521662,"('unpopular', 'popular')",-0.4805051,-0.4252166,0.0552885
17,-0.44605765,-0.41772863,"('nasty', 'nice')",-0.4460576,-0.4177286,0.028329
18,-0.55171824,-0.62435484,"('disagreeable', 'welcoming')",-0.5517182,-0.6243548,-0.0726366
19,-0.4641596,-0.60081255,"('inhospitable', 'hospitable')",-0.4641596,-0.6008126,-0.136653
20,0.8129707,0.8116489,"('rough', 'thoughtful')",0.8129707,0.8116489,-0.0013218
21,-0.53510475,-0.5435909,"('immoral', 'moral')",-0.5351048,-0.5435909,-0.0084861
22,-1.2076352,-1.2293886,"('untrustworthy', 'trustworthy')",-1.2076352,-1.2293886,-0.0217534
23,6.680044,6.7562714,"('insincere', 'sincere')",6.6800442,6.7562714,0.0762272
24,1.6689769,1.4749197,"('dishonest', 'honest')",1.6689769,1.4749197,-0.1940572
25,1.5439491,1.445496,"('egoistic', 'altruistic')",1.5439491,1.445496,-0.0984531
26,1.3711085,1.205442,"('hardhearted', 'benevolent')",1.3711085,1.205442,-0.1656665
27,1.7025648,1.5326582,"('hardhearted', 'softhearted')",1.7025648,1.5326582,-0.1699066
28,1.4361695,1.3339609,"('disloyal', 'loyal')",1.4361695,1.3339609,-0.1022086
29,-0.70479447,-0.8060446,"('unfair', 'fair')",-0.7047945,-0.8060446,-0.1012501
30,0.8906741,0.8933914,"('intolerant', 'tolerant')",0.8906741,0.8933914,0.0027173
31,-0.9525269,-0.92358726,"('evil', 'good')",-0.9525269,-0.9235873,0.0289396
32,1.3527404,1.1716253,"('unkind', 'kind')",1.3527404,1.1716253,-0.1811151
33,-0.20816539,-0.35906646,"('wrong', 'right')",-0.2081654,-0.3590665,-0.1509011
34,5.0121436,5.139015,"('mean', 'honorable')",5.0121436,5.1390152,0.1268716
35,-0.050542053,-0.28438443,"('corrupt', 'incorrupt')",-0.0505421,-0.2843844,-0.2338423
36,0.23490456,0.036366723,"('hostile', 'amicable')",0.2349046,0.0363667,-0.1985379
37,0.80656236,0.7982986,"('fake', 'genuine')",0.8065624,0.7982986,-0.0082638
38,0.11887904,0.066909626,"('untruthful', 'truthful')",0.118879,0.0669096,-0.0519694
39,1.0258838,0.9374096,"('exploitative', 'cooperative')",1.0258838,0.9374096,-0.0884742
40,-2.2976794,-2.4061115,"('stingy', 'generous')",-2.2976794,-2.4061115,-0.1084321
41,0.5157223,0.33996454,"('unforgiving', 'forgiving')",0.5157223,0.3399645,-0.1757578
42,-3.4831257,-3.4104087,"('unreliable', 'reliable')",-3.4831257,-3.4104087,0.072717
43,0.49705422,0.50544435,"('irresponsible', 'responsible')",0.4970542,0.5054443,0.0083901
44,-1.2851225,-1.2453234,"('prejudiced', 'unprejudiced')",-1.2851225,-1.2453234,0.0397991
45,-0.52829534,-0.50337076,"('incompetent', 'competent')",-0.5282953,-0.5033708,0.0249245
46,-1.3827001,-1.4107093,"('uncompetitive', 'competitive')",-1.3827001,-1.4107093,-0.0280092
47,5.189275,5.2475977,"('stupid', 'smart')",5.1892748,5.2475977,0.0583229
48,0.6615634,0.62152404,"('unintelligent', 'intelligent')",0.6615634,0.621524,-0.0400394
49,0.036280304,0.07277468,"('unable', 'able')",0.0362803,0.0727747,0.0364944
50,-0.652105,-0.5881357,"('clumsy', 'skillful')",-0.652105,-0.5881357,0.0639693
51,0.17208774,0.17395787,"('uneducated', 'educated')",0.1720877,0.1739579,0.0018702
52,-0.20295231,-0.34735098,"('irrational', 'rational')",-0.2029523,-0.347351,-0.1443987
53,-0.014925726,-0.062392224,"('uncreative', 'creative')",-0.0149257,-0.0623922,-0.0474665
54,0.90964854,0.9067727,"('incapable', 'capable')",0.9096485,0.9067727,-0.0028758
55,0.12615073,0.19921768,"('incompetent', 'clever')",0.1261507,0.1992177,0.073067
56,0.43503162,0.44654202,"('impractical', 'practical')",0.4350316,0.446542,0.0115104
57,-3.8283296,-3.7669444,"('unimaginative', 'imaginative')",-3.8283296,-3.7669444,0.0613852
58,-0.25118586,-0.24309349,"('undiscriminating', 'discriminating')",-0.2511859,-0.2430935,0.0080924
59,-0.10655285,-0.14605364,"('foolish', 'wise')",-0.1065528,-0.1460536,-0.0395008
60,0.13869952,0.20210615,"('inefficient', 'efficient')",0.1386995,0.2021061,0.0634066
61,0.4297884,0.24086809,"('illogical', 'logical')",0.4297884,0.2408681,-0.1889203
62,-0.03780848,0.071427435,"('incompetent', 'brilliant')",-0.0378085,0.0714274,0.1092359
63,0.114291176,0.13950811,"('unperceptive', 'insightful')",0.1142912,0.1395081,0.0252169
64,-7.511994,-7.5416408,"('shy', 'confident')",-7.5119939,-7.5416408,-0.0296469
65,-0.35937414,-0.34490883,"('insecure', 'secure')",-0.3593741,-0.3449088,0.0144653
66,-0.3718605,-0.4249234,"('inactive', 'active')",-0.3718605,-0.4249234,-0.0530629
67,-0.3667388,-0.30530554,"('doubtful', 'determined')",-0.3667388,-0.3053055,0.0614333
68,-1.0125489,-1.0185716,"('dependent', 'independent')",-1.0125489,-1.0185716,-0.0060227
69,-1.634726,-1.6594684,"('lazy', 'industrious')",-1.634726,-1.6594684,-0.0247424
70,-0.22994585,-0.13018341,"('lethargic', 'energetic')",-0.2299459,-0.1301834,0.0997625
71,0.8021624,0.7949577,"('diffident', 'self-confident')",0.8021624,0.7949577,-0.0072047
72,0.27703404,0.30437985,"('unambitious', 'ambitious')",0.277034,0.3043799,0.0273459
73,-3.5946198,-3.5255868,"('helpless', 'self-reliant')",-3.5946198,-3.5255868,0.069033
