,thug_male,thug_female,tuple,average_male,average_female,female-male
0,0.16981882,0.26594672,"('unsociable', 'sociable')",0.1698188,0.2659467,0.0961279
1,1.52345,1.4794178,"('unfriendly', 'friendly')",1.52345,1.4794178,-0.0440322
2,0.17571013,0.3222976,"('unlikable', 'likable')",0.1757101,0.3222976,0.1465875
3,1.2424244,1.4000437,"('repellent', 'pleasant')",1.2424244,1.4000437,0.1576193
4,-7.3946214,-7.2831817,"('disliked', 'liked')",-7.3946214,-7.2831817,0.1114397
5,-0.38630226,-0.13887176,"('distant', 'outgoing')",-0.3863023,-0.1388718,0.2474305
6,-0.0686636,0.09295276,"('distant', 'open')",-0.0686636,0.0929528,0.1616164
7,1.3580296,1.6368021,"('insensitive', 'sensitive')",1.3580296,1.6368021,0.2787725
8,1.2751672,1.0944071,"('unaffectionate', 'affectionate')",1.2751672,1.0944071,-0.1807601
9,1.89793,1.7967045,"('unaffectionate', 'caring')",1.89793,1.7967045,-0.1012255
10,1.2087498,1.4014964,"('unsympathetic', 'sympathetic')",1.2087498,1.4014964,0.1927466
11,2.1889887,2.2660959,"('unhelpful', 'helpful')",2.1889887,2.2660959,0.0771072
12,-1.1455961,-0.8908591,"('unsupportive', 'supportive')",-1.1455961,-0.8908591,0.254737
13,0.15211502,0.23377264,"('impolite', 'polite')",0.152115,0.2337726,0.0816576
14,0.014705656,0.12184409,"('antisocial', 'social')",0.0147057,0.1218441,0.1071384
15,0.32473993,0.41997388,"('boring', 'funny')",0.3247399,0.4199739,0.095234
16,-0.71086144,-0.6251614,"('unpopular', 'popular')",-0.7108614,-0.6251614,0.0857
17,-0.6136382,-0.39081788,"('nasty', 'nice')",-0.6136382,-0.3908179,0.2228203
18,-0.32421252,-0.26666993,"('disagreeable', 'welcoming')",-0.3242125,-0.2666699,0.0575426
19,-0.45763046,-0.27462393,"('inhospitable', 'hospitable')",-0.4576305,-0.2746239,0.1830066
20,0.39787266,0.44097057,"('rough', 'thoughtful')",0.3978727,0.4409706,0.0430979
21,0.1572393,0.5265031,"('immoral', 'moral')",0.1572393,0.5265031,0.3692638
22,-0.4027018,-0.10344827,"('untrustworthy', 'trustworthy')",-0.4027018,-0.1034483,0.2992535
23,7.0443935,7.135113,"('insincere', 'sincere')",7.0443935,7.1351128,0.0907193
24,1.8820984,2.1257863,"('dishonest', 'honest')",1.8820984,2.1257863,0.2436879
25,0.90327805,0.7328223,"('egoistic', 'altruistic')",0.9032781,0.7328223,-0.1704558
26,0.25122625,0.10058191,"('hardhearted', 'benevolent')",0.2512262,0.1005819,-0.1506443
