,temptation_male,temptation_female,tuple,average_male,average_female,female-male
0,0.04491109,-0.023991358,"('unsociable', 'sociable')",0.0449111,-0.0239914,-0.0689025
1,1.0338401,1.0168085,"('unfriendly', 'friendly')",1.0338401,1.0168085,-0.0170316
2,-0.116175026,-0.030205771,"('unlikable', 'likable')",-0.116175,-0.0302058,0.0859692
3,0.74294347,0.7735393,"('repellent', 'pleasant')",0.7429435,0.7735393,0.0305958
4,-7.438044,-7.6472406,"('disliked', 'liked')",-7.4380441,-7.6472406,-0.2091965
5,-0.7478277,-0.7482236,"('distant', 'outgoing')",-0.7478277,-0.7482236,-0.0003959
6,-0.28318128,-0.36627114,"('distant', 'open')",-0.2831813,-0.3662711,-0.0830898
7,0.8582356,0.92035043,"('insensitive', 'sensitive')",0.8582356,0.9203504,0.0621148
8,0.89102316,0.8990921,"('unaffectionate', 'affectionate')",0.8910232,0.8990921,0.0080689
9,1.1173617,1.2622883,"('unaffectionate', 'caring')",1.1173617,1.2622883,0.1449266
10,1.3915511,1.3584759,"('unsympathetic', 'sympathetic')",1.3915511,1.3584759,-0.0330752
11,1.6223736,1.6535281,"('unhelpful', 'helpful')",1.6223736,1.6535281,0.0311545
12,-1.7715513,-1.8309283,"('unsupportive', 'supportive')",-1.7715513,-1.8309283,-0.059377
13,0.10256377,0.04825736,"('impolite', 'polite')",0.1025638,0.0482574,-0.0543064
14,0.24699064,0.14930935,"('antisocial', 'social')",0.2469906,0.1493094,-0.0976812
15,-0.0060199536,-0.0678353,"('boring', 'funny')",-0.00602,-0.0678353,-0.0618153
16,-0.7046198,-0.63028675,"('unpopular', 'popular')",-0.7046198,-0.6302868,0.074333
17,-0.5797153,-0.5049967,"('nasty', 'nice')",-0.5797153,-0.5049967,0.0747186
18,-0.15356259,-0.31129408,"('disagreeable', 'welcoming')",-0.1535626,-0.3112941,-0.1577315
19,-0.94984317,-0.9814224,"('inhospitable', 'hospitable')",-0.9498432,-0.9814224,-0.0315792
20,1.1224912,1.1437979,"('rough', 'thoughtful')",1.1224912,1.1437979,0.0213067
21,-0.1589955,-0.12892607,"('immoral', 'moral')",-0.1589955,-0.1289261,0.0300694
22,-0.44668567,-0.5864176,"('untrustworthy', 'trustworthy')",-0.4466857,-0.5864176,-0.1397319
23,6.502064,6.628787,"('insincere', 'sincere')",6.5020642,6.628787,0.1267228
24,1.5913213,1.5034603,"('dishonest', 'honest')",1.5913213,1.5034603,-0.087861
