,nonbeliever_male,nonbeliever_female,tuple,average_male,average_female,female-male
0,-2.2627559,-2.4470603,"('unsociable', 'sociable')",-2.2627559,-2.4470603,-0.1843044
1,-1.1242292,-1.165091,"('unfriendly', 'friendly')",-1.1242292,-1.165091,-0.0408618
2,0.002939098,0.050788116,"('unlikable', 'likable')",0.0029391,0.0507881,0.047849
3,-1.2700311,-1.1621706,"('repellent', 'pleasant')",-1.2700311,-1.1621706,0.1078605
4,-0.5128375,-0.5416897,"('disliked', 'liked')",-0.5128375,-0.5416897,-0.0288522
5,1.3552933,1.475675,"('distant', 'outgoing')",1.3552933,1.475675,0.1203817
6,1.2757137,1.4036903,"('distant', 'open')",1.2757137,1.4036903,0.1279766
7,-0.86709905,-0.84251285,"('insensitive', 'sensitive')",-0.867099,-0.8425128,0.0245862
8,-1.0584527,-1.032439,"('unaffectionate', 'affectionate')",-1.0584527,-1.032439,0.0260137
9,-0.5206737,-0.49597895,"('unaffectionate', 'caring')",-0.5206737,-0.495979,0.0246947
10,-2.3002574,-2.3679256,"('unsympathetic', 'sympathetic')",-2.3002574,-2.3679256,-0.0676682
11,-1.1080569,-1.068438,"('unhelpful', 'helpful')",-1.1080569,-1.0684381,0.0396188
12,-1.8952417,-1.775411,"('unsupportive', 'supportive')",-1.8952417,-1.775411,0.1198307
13,-1.3260869,-1.4174665,"('impolite', 'polite')",-1.3260869,-1.4174665,-0.0913796
14,-1.707463,-1.8489,"('antisocial', 'social')",-1.707463,-1.8489,-0.141437
15,0.7250346,0.65914416,"('boring', 'funny')",0.7250346,0.6591442,-0.0658904
16,-0.34730393,-0.24038938,"('unpopular', 'popular')",-0.3473039,-0.2403894,0.1069145
17,0.3397698,0.45588237,"('nasty', 'nice')",0.3397698,0.4558824,0.1161126
18,-0.7022921,-0.53257686,"('disagreeable', 'welcoming')",-0.7022921,-0.5325769,0.1697152
19,0.41597307,0.58580595,"('inhospitable', 'hospitable')",0.4159731,0.585806,0.1698329
20,0.067789435,0.06893129,"('rough', 'thoughtful')",0.0677894,0.0689313,0.0011419
21,-1.6600108,-1.5932605,"('immoral', 'moral')",-1.6600108,-1.5932605,0.0667503
22,-1.7210683,-1.7841349,"('untrustworthy', 'trustworthy')",-1.7210683,-1.7841349,-0.0630666
23,-0.08023408,-0.10441767,"('insincere', 'sincere')",-0.0802341,-0.1044177,-0.0241836
24,-0.45570007,-0.49867374,"('dishonest', 'honest')",-0.4557001,-0.4986737,-0.0429736
25,0.92320365,0.93603545,"('egoistic', 'altruistic')",0.9232036,0.9360355,0.0128319
26,0.23066887,0.046879128,"('hardhearted', 'benevolent')",0.2306689,0.0468791,-0.1837898
27,-0.22302394,-0.12377174,"('hardhearted', 'softhearted')",-0.2230239,-0.1237717,0.0992522
28,-0.2895183,-0.40110916,"('disloyal', 'loyal')",-0.2895183,-0.4011092,-0.1115909
