,rectangle_male,rectangle_female,tuple,average_male,average_female,female-male
0,0.6006418,0.50942934,"('unsociable', 'sociable')",0.6006418,0.5094293,-0.0912125
1,0.8584221,0.730256,"('unfriendly', 'friendly')",0.8584221,0.730256,-0.1281661
2,0.43544692,0.56331193,"('unlikable', 'likable')",0.4354469,0.5633119,0.127865
3,0.09463473,0.28296816,"('repellent', 'pleasant')",0.0946347,0.2829682,0.1883335
4,-3.5127182,-3.727248,"('disliked', 'liked')",-3.5127182,-3.727248,-0.2145298
5,-0.49478632,-0.48644194,"('distant', 'outgoing')",-0.4947863,-0.4864419,0.0083444
6,-0.56801337,-0.5663436,"('distant', 'open')",-0.5680134,-0.5663436,0.0016698
7,1.0943525,1.2637354,"('insensitive', 'sensitive')",1.0943525,1.2637354,0.1693829
8,0.5152986,0.46587926,"('unaffectionate', 'affectionate')",0.5152986,0.4658793,-0.0494193
9,0.74143624,0.7690144,"('unaffectionate', 'caring')",0.7414362,0.7690144,0.0275782
10,0.41300383,0.4458379,"('unsympathetic', 'sympathetic')",0.4130038,0.4458379,0.0328341
11,1.0759029,1.2012194,"('unhelpful', 'helpful')",1.0759029,1.2012194,0.1253165
12,-0.7430605,-0.66100717,"('unsupportive', 'supportive')",-0.7430605,-0.6610072,0.0820533
13,-0.2154891,-0.104862645,"('impolite', 'polite')",-0.2154891,-0.1048626,0.1106265
14,0.9603359,0.972744,"('antisocial', 'social')",0.9603359,0.972744,0.0124081
15,0.26796067,0.1568029,"('boring', 'funny')",0.2679607,0.1568029,-0.1111578
16,-0.74415547,-0.7039981,"('unpopular', 'popular')",-0.7441555,-0.7039981,0.0401574
17,-0.06694,-0.009833474,"('nasty', 'nice')",-0.06694,-0.0098335,0.0571065
18,-0.6893856,-0.58716464,"('disagreeable', 'welcoming')",-0.6893856,-0.5871646,0.102221
19,-0.97518706,-0.9563587,"('inhospitable', 'hospitable')",-0.9751871,-0.9563587,0.0188284
20,0.47296262,0.57596236,"('rough', 'thoughtful')",0.4729626,0.5759624,0.1029998
21,-0.17943692,0.1175292,"('immoral', 'moral')",-0.1794369,0.1175292,0.2969661
22,0.22317457,0.19987571,"('untrustworthy', 'trustworthy')",0.2231746,0.1998757,-0.0232989
23,3.3838093,3.6566753,"('insincere', 'sincere')",3.3838093,3.6566753,0.272866
24,0.78954643,0.7753544,"('dishonest', 'honest')",0.7895464,0.7753544,-0.014192
25,0.5275833,0.59024096,"('egoistic', 'altruistic')",0.5275833,0.590241,0.0626577
26,1.3775355,1.1160424,"('hardhearted', 'benevolent')",1.3775355,1.1160424,-0.2614931
27,1.198868,1.2134631,"('hardhearted', 'softhearted')",1.198868,1.2134631,0.0145951
28,0.24869102,0.1418369,"('disloyal', 'loyal')",0.248691,0.1418369,-0.1068541
29,-0.23926693,-0.39954153,"('unfair', 'fair')",-0.2392669,-0.3995415,-0.1602746
30,1.1430199,1.2096859,"('intolerant', 'tolerant')",1.1430199,1.2096859,0.066666
31,-0.9832624,-1.1395885,"('evil', 'good')",-0.9832624,-1.1395885,-0.1563261
32,0.80736136,0.75601256,"('unkind', 'kind')",0.8073614,0.7560126,-0.0513488
33,0.012533644,-0.09248102,"('wrong', 'right')",0.0125336,-0.092481,-0.1050146
34,2.617194,2.9137847,"('mean', 'honorable')",2.6171939,2.9137847,0.2965908
35,-0.53214586,-0.8291843,"('corrupt', 'incorrupt')",-0.5321459,-0.8291843,-0.2970384
36,-0.29585487,-0.528405,"('hostile', 'amicable')",-0.2958549,-0.528405,-0.2325501
37,0.80173826,0.79687184,"('fake', 'genuine')",0.8017383,0.7968718,-0.0048665
38,0.4667085,0.46524227,"('untruthful', 'truthful')",0.4667085,0.4652423,-0.0014662
