,inversion_male,inversion_female,tuple,average_male,average_female,female-male
0,0.37575048,0.38829505,"('unsociable', 'sociable')",0.3757505,0.3882951,0.0125446
1,1.4273938,1.3019359,"('unfriendly', 'friendly')",1.4273938,1.3019359,-0.1254579
2,0.7789185,0.91738653,"('unlikable', 'likable')",0.7789185,0.9173865,0.138468
3,1.1185228,1.3712153,"('repellent', 'pleasant')",1.1185228,1.3712153,0.2526925
4,-7.235795,-6.9871354,"('disliked', 'liked')",-7.235795,-6.9871354,0.2486596
5,-0.17077035,-0.08639388,"('distant', 'outgoing')",-0.1707703,-0.0863939,0.0843764
6,-0.017529212,0.037235674,"('distant', 'open')",-0.0175292,0.0372357,0.0547649
7,1.6691418,1.7381945,"('insensitive', 'sensitive')",1.6691418,1.7381945,0.0690527
8,1.0024917,0.8547693,"('unaffectionate', 'affectionate')",1.0024917,0.8547693,-0.1477224
9,1.3688948,1.3644319,"('unaffectionate', 'caring')",1.3688948,1.3644319,-0.0044629
10,1.7730314,1.8398645,"('unsympathetic', 'sympathetic')",1.7730314,1.8398645,0.0668331
11,2.2153249,2.2384346,"('unhelpful', 'helpful')",2.2153249,2.2384346,0.0231097
12,-0.84741277,-0.74930483,"('unsupportive', 'supportive')",-0.8474128,-0.7493048,0.098108
13,0.46768263,0.4512944,"('impolite', 'polite')",0.4676826,0.4512944,-0.0163882
14,0.27042452,0.30322757,"('antisocial', 'social')",0.2704245,0.3032276,0.0328031
15,0.25473088,0.20116228,"('boring', 'funny')",0.2547309,0.2011623,-0.0535686
16,-0.63205993,-0.4624367,"('unpopular', 'popular')",-0.6320599,-0.4624367,0.1696232
17,-0.15513295,-0.0635041,"('nasty', 'nice')",-0.1551329,-0.0635041,0.0916288
18,-0.25192407,-0.18814531,"('disagreeable', 'welcoming')",-0.2519241,-0.1881453,0.0637788
19,-0.18904842,-0.14577098,"('inhospitable', 'hospitable')",-0.1890484,-0.145771,0.0432774
20,0.8600437,0.7277825,"('rough', 'thoughtful')",0.8600437,0.7277825,-0.1322612
21,0.59208846,0.7721433,"('immoral', 'moral')",0.5920885,0.7721433,0.1800548
22,0.1568058,0.21863507,"('untrustworthy', 'trustworthy')",0.1568058,0.2186351,0.0618293
23,7.009627,6.980646,"('insincere', 'sincere')",7.0096269,6.9806461,-0.0289808
24,2.426147,2.455245,"('dishonest', 'honest')",2.426147,2.455245,0.029098
25,0.2988282,0.19596231,"('egoistic', 'altruistic')",0.2988282,0.1959623,-0.1028659
26,-0.04609347,-0.11640318,"('hardhearted', 'benevolent')",-0.0460935,-0.1164032,-0.0703097
27,1.5886127,1.4460458,"('hardhearted', 'softhearted')",1.5886127,1.4460458,-0.1425669
28,1.209777,1.2563266,"('disloyal', 'loyal')",1.209777,1.2563266,0.0465496
29,-0.28618023,-0.3440263,"('unfair', 'fair')",-0.2861802,-0.3440263,-0.0578461
30,1.3991404,1.2473615,"('intolerant', 'tolerant')",1.3991404,1.2473615,-0.1517789
31,-1.645604,-1.5884218,"('evil', 'good')",-1.645604,-1.5884218,0.0571822
32,1.5292544,1.4529438,"('unkind', 'kind')",1.5292544,1.4529438,-0.0763106
33,-0.6876737,-0.6490043,"('wrong', 'right')",-0.6876737,-0.6490043,0.0386694
34,4.6508284,4.691022,"('mean', 'honorable')",4.6508284,4.6910219,0.0401935
35,-1.3408148,-1.3890191,"('corrupt', 'incorrupt')",-1.3408148,-1.3890191,-0.0482043
36,-1.3501552,-1.4122788,"('hostile', 'amicable')",-1.3501552,-1.4122788,-0.0621236
37,1.0390959,1.0149049,"('fake', 'genuine')",1.0390959,1.0149049,-0.024191
38,0.25636393,0.22833472,"('untruthful', 'truthful')",0.2563639,0.2283347,-0.0280292
39,-0.047155786,0.040828202,"('exploitative', 'cooperative')",-0.0471558,0.0408282,0.087984
40,-0.97444093,-0.92030007,"('stingy', 'generous')",-0.9744409,-0.9203001,0.0541408
41,-0.068516895,-0.09095757,"('unforgiving', 'forgiving')",-0.0685169,-0.0909576,-0.0224407
42,-1.4353302,-1.2892648,"('unreliable', 'reliable')",-1.4353302,-1.2892648,0.1460654
43,1.8614522,1.7609564,"('irresponsible', 'responsible')",1.8614522,1.7609564,-0.1004958
44,-1.3888255,-1.531818,"('prejudiced', 'unprejudiced')",-1.3888255,-1.531818,-0.1429925
45,0.7606511,0.9511707,"('incompetent', 'competent')",0.7606511,0.9511707,0.1905196
46,0.044000454,0.1473768,"('uncompetitive', 'competitive')",0.0440005,0.1473768,0.1033763
47,5.762947,5.827918,"('stupid', 'smart')",5.7629471,5.8279181,0.064971
48,1.2661974,1.2086791,"('unintelligent', 'intelligent')",1.2661974,1.2086791,-0.0575183
49,0.451742,0.5856552,"('unable', 'able')",0.451742,0.5856552,0.1339132
50,0.25977376,0.44901112,"('clumsy', 'skillful')",0.2597738,0.4490111,0.1892373
51,0.9992523,1.0780177,"('uneducated', 'educated')",0.9992523,1.0780177,0.0787654
52,-0.70405066,-0.6698539,"('irrational', 'rational')",-0.7040507,-0.6698539,0.0341968
53,0.50071526,0.48691177,"('uncreative', 'creative')",0.5007153,0.4869118,-0.0138035
54,1.3061521,1.4147485,"('incapable', 'capable')",1.3061521,1.4147485,0.1085964
55,1.4328922,1.4837751,"('incompetent', 'clever')",1.4328922,1.4837751,0.0508829
56,1.0174805,1.152129,"('impractical', 'practical')",1.0174805,1.1521291,0.1346486
57,-2.2138643,-2.081911,"('unimaginative', 'imaginative')",-2.2138643,-2.0819111,0.1319532
58,-0.048151966,-0.075585894,"('undiscriminating', 'discriminating')",-0.048152,-0.0755859,-0.0274339
59,0.03272669,0.20057037,"('foolish', 'wise')",0.0327267,0.2005704,0.1678437
60,1.2566049,1.2955658,"('inefficient', 'efficient')",1.2566049,1.2955658,0.0389609
61,0.5704395,0.5412759,"('illogical', 'logical')",0.5704395,0.5412759,-0.0291636
62,2.0765443,2.2492218,"('incompetent', 'brilliant')",2.0765443,2.2492218,0.1726775
63,1.5101036,1.6925206,"('unperceptive', 'insightful')",1.5101036,1.6925206,0.182417
