,facsimile_male,facsimile_female,tuple,average_male,average_female,female-male
0,-1.392308,-1.5557919,"('unsociable', 'sociable')",-1.392308,-1.5557919,-0.1634839
1,-0.45082065,-0.60578966,"('unfriendly', 'friendly')",-0.4508207,-0.6057897,-0.154969
2,0.042332742,0.104386464,"('unlikable', 'likable')",0.0423327,0.1043865,0.0620538
3,-1.1854955,-1.1763821,"('repellent', 'pleasant')",-1.1854955,-1.1763821,0.0091134
4,-0.3884166,-0.3675915,"('disliked', 'liked')",-0.3884166,-0.3675915,0.0208251
5,-0.19589238,-0.110155076,"('distant', 'outgoing')",-0.1958924,-0.1101551,0.0857373
6,-0.045234002,0.018538605,"('distant', 'open')",-0.045234,0.0185386,0.0637726
7,-0.93007725,-0.92743516,"('insensitive', 'sensitive')",-0.9300773,-0.9274352,0.0026421
8,-0.7785347,-0.8552422,"('unaffectionate', 'affectionate')",-0.7785347,-0.8552422,-0.0767075
9,-1.2403883,-1.3430165,"('unaffectionate', 'caring')",-1.2403883,-1.3430165,-0.1026282
10,-1.7782263,-1.864191,"('unsympathetic', 'sympathetic')",-1.7782263,-1.8641911,-0.0859648
11,-1.5832219,-1.5198021,"('unhelpful', 'helpful')",-1.5832219,-1.5198021,0.0634198
12,-2.2219422,-2.167099,"('unsupportive', 'supportive')",-2.2219422,-2.167099,0.0548432
13,-0.9351636,-1.0731725,"('impolite', 'polite')",-0.9351636,-1.0731725,-0.1380089
14,-0.60350424,-0.70143896,"('antisocial', 'social')",-0.6035042,-0.701439,-0.0979348
15,0.2480504,0.23877746,"('boring', 'funny')",0.2480504,0.2387775,-0.0092729
16,0.15387903,0.13991173,"('unpopular', 'popular')",0.153879,0.1399117,-0.0139673
17,-0.13528875,-0.08778405,"('nasty', 'nice')",-0.1352887,-0.0877841,0.0475046
18,-0.85597783,-0.85726404,"('disagreeable', 'welcoming')",-0.8559778,-0.857264,-0.0012862
19,-0.6967099,-0.632004,"('inhospitable', 'hospitable')",-0.6967099,-0.632004,0.0647059
20,0.44226462,0.42953756,"('rough', 'thoughtful')",0.4422646,0.4295376,-0.012727
21,-0.8305341,-0.8559734,"('immoral', 'moral')",-0.8305341,-0.8559734,-0.0254393
22,0.83928263,0.7957133,"('untrustworthy', 'trustworthy')",0.8392826,0.7957133,-0.0435693
23,-0.70980805,-0.7983758,"('insincere', 'sincere')",-0.7098081,-0.7983758,-0.0885677
24,-0.92778623,-0.95935154,"('dishonest', 'honest')",-0.9277862,-0.9593515,-0.0315653
25,0.2660244,0.2399058,"('egoistic', 'altruistic')",0.2660244,0.2399058,-0.0261186
26,0.7125959,0.55708164,"('hardhearted', 'benevolent')",0.7125959,0.5570816,-0.1555143
27,-0.56368905,-0.6061496,"('hardhearted', 'softhearted')",-0.5636891,-0.6061496,-0.0424605
28,-0.81259567,-1.068153,"('disloyal', 'loyal')",-0.8125957,-1.068153,-0.2555573
29,-0.34927815,-0.4006798,"('unfair', 'fair')",-0.3492782,-0.4006798,-0.0514016
30,-1.0983531,-1.1629076,"('intolerant', 'tolerant')",-1.0983531,-1.1629076,-0.0645545
31,0.18386912,0.20652294,"('evil', 'good')",0.1838691,0.2065229,0.0226538
32,-0.3753823,-0.5079937,"('unkind', 'kind')",-0.3753823,-0.5079937,-0.1326114
33,0.5041718,0.4562985,"('wrong', 'right')",0.5041718,0.4562985,-0.0478733
34,0.7271448,0.88302195,"('mean', 'honorable')",0.7271448,0.883022,0.1558772
35,1.5748175,1.5624416,"('corrupt', 'incorrupt')",1.5748175,1.5624416,-0.0123759
36,1.5674132,1.3655895,"('hostile', 'amicable')",1.5674132,1.3655895,-0.2018237
37,-1.013424,-0.98739773,"('fake', 'genuine')",-1.013424,-0.9873977,0.0260263
38,-0.5933126,-0.5610541,"('untruthful', 'truthful')",-0.5933126,-0.5610541,0.0322585
39,0.2884584,0.35310408,"('exploitative', 'cooperative')",0.2884584,0.3531041,0.0646457
40,0.28547382,0.18623626,"('stingy', 'generous')",0.2854738,0.1862363,-0.0992375
41,-0.60519904,-0.65661895,"('unforgiving', 'forgiving')",-0.605199,-0.656619,-0.05142
42,-0.5184919,-0.4125853,"('unreliable', 'reliable')",-0.5184919,-0.4125853,0.1059066
43,-2.1473832,-2.0429442,"('irresponsible', 'responsible')",-2.1473832,-2.0429442,0.104439
44,0.7030748,0.83667535,"('prejudiced', 'unprejudiced')",0.7030748,0.8366753,0.1336005
45,-0.62227005,-0.6096323,"('incompetent', 'competent')",-0.62227,-0.6096323,0.0126377
46,-1.2917839,-1.3651739,"('uncompetitive', 'competitive')",-1.2917839,-1.3651739,-0.07339
47,1.1421932,1.2621729,"('stupid', 'smart')",1.1421932,1.2621729,0.1199797
48,-1.2036345,-1.297822,"('unintelligent', 'intelligent')",-1.2036345,-1.297822,-0.0941875
49,0.12530509,0.20338607,"('unable', 'able')",0.1253051,0.2033861,0.078081
50,0.34149837,0.33330864,"('clumsy', 'skillful')",0.3414984,0.3333086,-0.0081898
51,-0.62518096,-0.72308195,"('uneducated', 'educated')",-0.625181,-0.7230819,-0.0979009
52,-0.385333,-0.48043168,"('irrational', 'rational')",-0.385333,-0.4804317,-0.0950987
53,0.07048602,-0.08235106,"('uncreative', 'creative')",0.070486,-0.0823511,-0.1528371
54,-0.08059304,-0.015917234,"('incapable', 'capable')",-0.080593,-0.0159172,0.0646758
55,-1.1908011,-1.2105497,"('incompetent', 'clever')",-1.1908011,-1.2105497,-0.0197486
56,-0.69749546,-0.68482137,"('impractical', 'practical')",-0.6974955,-0.6848214,0.0126741
57,-1.3744354,-1.3899965,"('unimaginative', 'imaginative')",-1.3744354,-1.3899965,-0.0155611
58,-0.5662814,-0.62547326,"('undiscriminating', 'discriminating')",-0.5662814,-0.6254733,-0.0591919
59,0.19934335,0.25044513,"('foolish', 'wise')",0.1993434,0.2504451,0.0511017
60,-1.3959575,-1.3398385,"('inefficient', 'efficient')",-1.3959575,-1.3398385,0.056119
61,-0.23072547,-0.41330758,"('illogical', 'logical')",-0.2307255,-0.4133076,-0.1825821
62,-1.4684508,-1.3129245,"('incompetent', 'brilliant')",-1.4684508,-1.3129245,0.1555263
63,-0.79138196,-0.7182064,"('unperceptive', 'insightful')",-0.791382,-0.7182064,0.0731756
64,-1.8093017,-1.7931219,"('shy', 'confident')",-1.8093017,-1.7931219,0.0161798
65,-0.5458532,-0.6921151,"('insecure', 'secure')",-0.5458532,-0.6921151,-0.1462619
66,-0.30344245,-0.36001468,"('inactive', 'active')",-0.3034424,-0.3600147,-0.0565723
67,0.22386402,0.28705496,"('doubtful', 'determined')",0.223864,0.287055,0.063191
68,-0.20560582,-0.163587,"('dependent', 'independent')",-0.2056058,-0.163587,0.0420188
69,1.4898506,1.6100153,"('lazy', 'industrious')",1.4898506,1.6100153,0.1201647
70,-0.593318,-0.61519223,"('lethargic', 'energetic')",-0.593318,-0.6151922,-0.0218742
71,0.20042439,0.24901494,"('diffident', 'self-confident')",0.2004244,0.2490149,0.0485905
72,-1.29966,-1.267089,"('unambitious', 'ambitious')",-1.29966,-1.267089,0.032571
73,-0.46157435,-0.29614812,"('helpless', 'self-reliant')",-0.4615743,-0.2961481,0.1654262
74,-1.1631788,-1.1185758,"('undedicated', 'dedicated')",-1.1631788,-1.1185758,0.044603
75,0.59918666,0.72457516,"('meek', 'impulsive')",0.5991867,0.7245752,0.1253885
76,-0.3894842,-0.3449996,"('anxious', 'daring')",-0.3894842,-0.3449996,0.0444846
77,-0.604245,-0.6642329,"('unmotivated', 'motivated')",-0.604245,-0.6642329,-0.0599879
78,-0.27570334,-0.299961,"('nonresilient', 'resilient')",-0.2757033,-0.299961,-0.0242577
79,0.07295093,0.07056724,"('wavering', 'unwavering')",0.0729509,0.0705672,-0.0023837
80,-0.11259967,-0.11866172,"('dominated', 'dominating')",-0.1125997,-0.1186617,-0.006062
81,-1.159678,-1.0962986,"('submissive', 'aggressive')",-1.159678,-1.0962986,0.0633794
82,0.96671385,0.9375145,"('poor', 'rich')",0.9667138,0.9375145,-0.0291993
83,-0.14973576,-0.17592694,"('powerless', 'powerful')",-0.1497358,-0.1759269,-0.0261911
84,0.055057265,-0.022152308,"('inferior', 'superior')",0.0550573,-0.0221523,-0.0772096
85,0.44498876,0.4429412,"('insignificant', 'prestigious')",0.4449888,0.4429412,-0.0020476
86,-1.2104326,-1.3838389,"('uninfluential', 'influential')",-1.2104326,-1.3838389,-0.1734063
87,-0.10987332,0.023401553,"('unsuccessful', 'successful')",-0.1098733,0.0234016,0.1332749
