,forearm_male,forearm_female,tuple,average_male,average_female,female-male
0,0.3766957,0.36153802,"('unsociable', 'sociable')",0.3766957,0.361538,-0.0151577
1,0.70557004,0.8720021,"('unfriendly', 'friendly')",0.70557,0.8720021,0.1664321
2,0.3514429,0.5764921,"('unlikable', 'likable')",0.3514429,0.5764921,0.2250492
3,0.90317553,1.0854719,"('repellent', 'pleasant')",0.9031755,1.0854719,0.1822964
4,-7.322362,-7.1393585,"('disliked', 'liked')",-7.3223619,-7.1393585,0.1830034
5,-0.8625215,-0.45818976,"('distant', 'outgoing')",-0.8625215,-0.4581898,0.4043317
6,-0.4720046,-0.18771568,"('distant', 'open')",-0.4720046,-0.1877157,0.2842889
7,1.5336679,1.472562,"('insensitive', 'sensitive')",1.5336679,1.472562,-0.0611059
8,0.75415957,0.70217,"('unaffectionate', 'affectionate')",0.7541596,0.70217,-0.0519896
9,1.1355138,1.1653423,"('unaffectionate', 'caring')",1.1355138,1.1653423,0.0298285
10,1.9513643,1.6679157,"('unsympathetic', 'sympathetic')",1.9513643,1.6679157,-0.2834486
11,2.0862904,2.026479,"('unhelpful', 'helpful')",2.0862904,2.026479,-0.0598114
12,-1.0962949,-0.9864373,"('unsupportive', 'supportive')",-1.0962949,-0.9864373,0.1098576
13,0.357843,0.35228726,"('impolite', 'polite')",0.357843,0.3522873,-0.0055557
14,0.5094022,0.47122228,"('antisocial', 'social')",0.5094022,0.4712223,-0.0381799
15,0.07728928,0.17229512,"('boring', 'funny')",0.0772893,0.1722951,0.0950058
16,-0.8381432,-0.5135807,"('unpopular', 'popular')",-0.8381432,-0.5135807,0.3245625
17,0.02376921,0.022105569,"('nasty', 'nice')",0.0237692,0.0221056,-0.0016636
18,-0.62953687,-0.40704602,"('disagreeable', 'welcoming')",-0.6295369,-0.407046,0.2224909
19,-0.7232592,-0.54708284,"('inhospitable', 'hospitable')",-0.7232592,-0.5470828,0.1761764
20,0.7523313,0.6315422,"('rough', 'thoughtful')",0.7523313,0.6315422,-0.1207891
