,chili_male,chili_female,tuple,average_male,average_female,female-male
0,0.2695712,-0.010412964,"('unsociable', 'sociable')",0.2695712,-0.010413,-0.2799842
1,1.0636606,0.970137,"('unfriendly', 'friendly')",1.0636606,0.970137,-0.0935236
2,0.593307,0.7051553,"('unlikable', 'likable')",0.593307,0.7051553,0.1118483
3,0.9627829,1.0560404,"('repellent', 'pleasant')",0.9627829,1.0560404,0.0932575
4,-6.8762536,-6.925981,"('disliked', 'liked')",-6.8762536,-6.925981,-0.0497274
5,-0.6013789,-0.40853548,"('distant', 'outgoing')",-0.6013789,-0.4085355,0.1928434
6,-0.32851446,-0.1212914,"('distant', 'open')",-0.3285145,-0.1212914,0.2072231
7,0.63685954,0.6319511,"('insensitive', 'sensitive')",0.6368595,0.6319511,-0.0049084
8,0.8329812,0.8560467,"('unaffectionate', 'affectionate')",0.8329812,0.8560467,0.0230655
9,1.2857066,1.4179009,"('unaffectionate', 'caring')",1.2857066,1.4179009,0.1321943
10,1.6285261,1.6104114,"('unsympathetic', 'sympathetic')",1.6285261,1.6104114,-0.0181147
11,2.2001987,2.1241229,"('unhelpful', 'helpful')",2.2001987,2.1241229,-0.0760758
12,-1.4704376,-1.520285,"('unsupportive', 'supportive')",-1.4704376,-1.520285,-0.0498474
13,0.59929985,0.4291128,"('impolite', 'polite')",0.5992998,0.4291128,-0.170187
14,0.0082351025,-0.23026317,"('antisocial', 'social')",0.0082351,-0.2302632,-0.2384983
15,0.34113973,0.18522064,"('boring', 'funny')",0.3411397,0.1852206,-0.1559191
16,-0.42576522,-0.35502648,"('unpopular', 'popular')",-0.4257652,-0.3550265,0.0707387
17,0.008047715,0.0612431,"('nasty', 'nice')",0.0080477,0.0612431,0.0531954
18,-0.6835111,-0.7680279,"('disagreeable', 'welcoming')",-0.6835111,-0.7680279,-0.0845168
19,-0.6082173,-0.44348323,"('inhospitable', 'hospitable')",-0.6082173,-0.4434832,0.1647341
20,0.73870546,0.62313235,"('rough', 'thoughtful')",0.7387055,0.6231323,-0.1155732
21,0.34938276,0.37289596,"('immoral', 'moral')",0.3493828,0.372896,0.0235132
22,-0.22503941,-0.25152984,"('untrustworthy', 'trustworthy')",-0.2250394,-0.2515298,-0.0264904
23,6.1040397,6.037409,"('insincere', 'sincere')",6.1040397,6.0374088,-0.0666309
24,1.6810355,1.6599119,"('dishonest', 'honest')",1.6810355,1.6599119,-0.0211236
25,0.31970775,0.25841403,"('egoistic', 'altruistic')",0.3197078,0.258414,-0.0612938
26,0.14276852,-0.000699915,"('hardhearted', 'benevolent')",0.1427685,-0.0006999,-0.1434684
27,1.4086596,1.3245307,"('hardhearted', 'softhearted')",1.4086596,1.3245307,-0.0841289
28,1.2966206,1.2905273,"('disloyal', 'loyal')",1.2966206,1.2905273,-0.0060933
29,-0.7787768,-0.87255335,"('unfair', 'fair')",-0.7787768,-0.8725533,-0.0937765
30,0.92956805,0.8475086,"('intolerant', 'tolerant')",0.9295681,0.8475086,-0.0820595
31,-1.8654705,-1.7310344,"('evil', 'good')",-1.8654705,-1.7310344,0.1344361
32,1.5275255,1.3916163,"('unkind', 'kind')",1.5275255,1.3916163,-0.1359092
