,angle_male,angle_female,tuple,average_male,average_female,female-male
0,0.02873367,0.029285409,"('unsociable', 'sociable')",0.0287337,0.0292854,0.0005517
1,1.1144664,1.0080829,"('unfriendly', 'friendly')",1.1144664,1.0080829,-0.1063835
2,0.32358605,0.39073703,"('unlikable', 'likable')",0.323586,0.390737,0.067151
3,0.6239786,0.7207322,"('repellent', 'pleasant')",0.6239786,0.7207322,0.0967536
4,-7.1354814,-7.3489666,"('disliked', 'liked')",-7.1354814,-7.3489666,-0.2134852
5,-0.86069185,-0.8958995,"('distant', 'outgoing')",-0.8606918,-0.8958995,-0.0352077
6,-0.112050995,-0.19812611,"('distant', 'open')",-0.112051,-0.1981261,-0.0860751
7,1.0646267,1.1869859,"('insensitive', 'sensitive')",1.0646267,1.1869859,0.1223592
8,0.9702273,0.86059797,"('unaffectionate', 'affectionate')",0.9702273,0.860598,-0.1096293
9,1.7579066,1.7901472,"('unaffectionate', 'caring')",1.7579066,1.7901472,0.0322406
10,1.2018939,1.3678545,"('unsympathetic', 'sympathetic')",1.2018939,1.3678545,0.1659606
11,1.345658,1.5430458,"('unhelpful', 'helpful')",1.3456579,1.5430458,0.1973879
12,-1.5929796,-1.5702875,"('unsupportive', 'supportive')",-1.5929796,-1.5702875,0.0226921
13,-0.34819403,-0.18676059,"('impolite', 'polite')",-0.348194,-0.1867606,0.1614334
14,0.039285455,-0.025351098,"('antisocial', 'social')",0.0392855,-0.0253511,-0.0646366
15,0.2926576,0.19294357,"('boring', 'funny')",0.2926576,0.1929436,-0.099714
16,-0.40933627,-0.40934035,"('unpopular', 'popular')",-0.4093363,-0.4093404,-4.1e-06
17,-0.1281696,-0.15283233,"('nasty', 'nice')",-0.1281696,-0.1528323,-0.0246627
18,-0.73439896,-0.61922497,"('disagreeable', 'welcoming')",-0.734399,-0.619225,0.115174
19,-0.70490015,-0.71178895,"('inhospitable', 'hospitable')",-0.7049001,-0.711789,-0.0068889
20,0.87935674,0.84266573,"('rough', 'thoughtful')",0.8793567,0.8426657,-0.036691
21,-0.22224292,0.05514909,"('immoral', 'moral')",-0.2222429,0.0551491,0.277392
22,-0.5958319,-0.58662146,"('untrustworthy', 'trustworthy')",-0.5958319,-0.5866215,0.0092104
23,5.9298553,6.143766,"('insincere', 'sincere')",5.9298553,6.1437659,0.2139106
24,1.5568138,1.5145507,"('dishonest', 'honest')",1.5568138,1.5145507,-0.0422631
25,0.5440637,0.4043325,"('egoistic', 'altruistic')",0.5440637,0.4043325,-0.1397312
26,1.0275931,0.75048715,"('hardhearted', 'benevolent')",1.0275931,0.7504871,-0.277106
27,1.7596973,1.6249716,"('hardhearted', 'softhearted')",1.7596973,1.6249716,-0.1347257
28,1.017603,0.9767573,"('disloyal', 'loyal')",1.017603,0.9767573,-0.0408457
29,-0.8203726,-0.9202424,"('unfair', 'fair')",-0.8203726,-0.9202424,-0.0998698
30,0.99581563,1.1930939,"('intolerant', 'tolerant')",0.9958156,1.1930939,0.1972783
31,-0.9156759,-1.1465044,"('evil', 'good')",-0.9156759,-1.1465044,-0.2308285
32,1.1538205,1.1149256,"('unkind', 'kind')",1.1538205,1.1149256,-0.0388949
33,-0.25530607,-0.38578728,"('wrong', 'right')",-0.2553061,-0.3857873,-0.1304812
