,pagan_male,pagan_female,tuple,average_male,average_female,female-male
0,-0.4086333,-0.64125806,"('unsociable', 'sociable')",-0.4086333,-0.6412581,-0.2326248
1,1.147611,1.237185,"('unfriendly', 'friendly')",1.147611,1.237185,0.089574
2,-0.22765166,-0.13436934,"('unlikable', 'likable')",-0.2276517,-0.1343693,0.0932824
3,0.6900749,0.5853978,"('repellent', 'pleasant')",0.6900749,0.5853978,-0.1046771
4,-7.1165414,-7.164798,"('disliked', 'liked')",-7.1165414,-7.1647978,-0.0482564
5,-0.47740778,-0.3370022,"('distant', 'outgoing')",-0.4774078,-0.3370022,0.1404056
6,0.046165954,0.14715958,"('distant', 'open')",0.046166,0.1471596,0.1009936
7,0.6137157,0.63925993,"('insensitive', 'sensitive')",0.6137157,0.6392599,0.0255442
8,1.1545215,1.3182579,"('unaffectionate', 'affectionate')",1.1545215,1.3182579,0.1637364
9,1.2684363,1.5417072,"('unaffectionate', 'caring')",1.2684363,1.5417072,0.2732709
10,0.8113888,0.50595695,"('unsympathetic', 'sympathetic')",0.8113888,0.5059569,-0.3054319
11,1.138969,1.0471864,"('unhelpful', 'helpful')",1.1389689,1.0471864,-0.0917825
12,-1.7681056,-1.7450236,"('unsupportive', 'supportive')",-1.7681056,-1.7450236,0.023082
13,-0.50362355,-0.8147982,"('impolite', 'polite')",-0.5036235,-0.8147982,-0.3111747
14,-0.07951045,-0.36667424,"('antisocial', 'social')",-0.0795105,-0.3666742,-0.2871637
15,0.0005936846,-0.03676303,"('boring', 'funny')",0.0005937,-0.036763,-0.0373567
16,-0.4046559,-0.22703618,"('unpopular', 'popular')",-0.4046559,-0.2270362,0.1776197
17,-0.5679311,-0.48713773,"('nasty', 'nice')",-0.5679311,-0.4871377,0.0807934
18,-0.13378896,-0.18782917,"('disagreeable', 'welcoming')",-0.133789,-0.1878292,-0.0540402
19,-0.52335346,-0.38493693,"('inhospitable', 'hospitable')",-0.5233535,-0.3849369,0.1384166
20,0.9047302,0.84583694,"('rough', 'thoughtful')",0.9047302,0.8458369,-0.0588933
21,-0.68572825,-0.7969391,"('immoral', 'moral')",-0.6857283,-0.7969391,-0.1112108
22,-0.6593854,-0.92031974,"('untrustworthy', 'trustworthy')",-0.6593854,-0.9203197,-0.2609343
