,provider_male,provider_female,tuple,average_male,average_female,female-male
0,0.47226658,0.3409153,"('unsociable', 'sociable')",0.4722666,0.3409153,-0.1313513
1,0.62633747,0.4973216,"('unfriendly', 'friendly')",0.6263375,0.4973216,-0.1290159
2,-0.30218652,-0.25520712,"('unlikable', 'likable')",-0.3021865,-0.2552071,0.0469794
3,0.6972995,0.74570614,"('repellent', 'pleasant')",0.6972995,0.7457061,0.0484066
4,-7.477769,-7.5411296,"('disliked', 'liked')",-7.4777689,-7.5411296,-0.0633607
5,-1.5314156,-1.57904,"('distant', 'outgoing')",-1.5314156,-1.5790401,-0.0476245
6,-0.79574156,-0.8655164,"('distant', 'open')",-0.7957416,-0.8655164,-0.0697748
7,1.6060817,1.6070274,"('insensitive', 'sensitive')",1.6060817,1.6070274,0.0009457
8,0.6051717,0.47410327,"('unaffectionate', 'affectionate')",0.6051717,0.4741033,-0.1310684
9,1.6490889,1.635685,"('unaffectionate', 'caring')",1.6490889,1.635685,-0.0134039
10,1.3764421,1.3848408,"('unsympathetic', 'sympathetic')",1.3764421,1.3848408,0.0083987
11,2.2671075,2.2985902,"('unhelpful', 'helpful')",2.2671075,2.2985902,0.0314827
12,-1.26272,-1.306686,"('unsupportive', 'supportive')",-1.26272,-1.306686,-0.043966
13,-0.15239266,-0.18773007,"('impolite', 'polite')",-0.1523927,-0.1877301,-0.0353374
14,0.57434654,0.5014264,"('antisocial', 'social')",0.5743465,0.5014264,-0.0729201
15,-0.37610498,-0.5049745,"('boring', 'funny')",-0.376105,-0.5049745,-0.1288695
16,-0.61491644,-0.66236144,"('unpopular', 'popular')",-0.6149164,-0.6623614,-0.047445
17,-0.360138,-0.31333745,"('nasty', 'nice')",-0.360138,-0.3133374,0.0468006
18,-0.43287754,-0.5494588,"('disagreeable', 'welcoming')",-0.4328775,-0.5494588,-0.1165813
19,-0.96242505,-0.97670877,"('inhospitable', 'hospitable')",-0.9624251,-0.9767088,-0.0142837
20,0.92880374,0.8185317,"('rough', 'thoughtful')",0.9288037,0.8185317,-0.110272
21,-0.118741624,-0.08620754,"('immoral', 'moral')",-0.1187416,-0.0862075,0.0325341
22,-0.32966268,-0.388951,"('untrustworthy', 'trustworthy')",-0.3296627,-0.388951,-0.0592883
23,7.0119705,7.039067,"('insincere', 'sincere')",7.0119705,7.0390668,0.0270963
24,1.5429552,1.3306267,"('dishonest', 'honest')",1.5429552,1.3306267,-0.2123285
25,0.43655884,0.29086953,"('egoistic', 'altruistic')",0.4365588,0.2908695,-0.1456893
26,0.8650609,0.80868465,"('hardhearted', 'benevolent')",0.8650609,0.8086846,-0.0563763
27,1.6404471,1.3845638,"('hardhearted', 'softhearted')",1.6404471,1.3845638,-0.2558833
28,1.6080028,1.5416155,"('disloyal', 'loyal')",1.6080028,1.5416155,-0.0663873
29,-0.9375236,-1.1062471,"('unfair', 'fair')",-0.9375236,-1.1062471,-0.1687235
30,1.725037,1.7231913,"('intolerant', 'tolerant')",1.725037,1.7231913,-0.0018457
31,-1.8406734,-1.8909851,"('evil', 'good')",-1.8406734,-1.8909851,-0.0503117
32,1.4367217,1.3548992,"('unkind', 'kind')",1.4367217,1.3548992,-0.0818225
33,-0.73256344,-0.8004336,"('wrong', 'right')",-0.7325634,-0.8004336,-0.0678702
34,5.06649,5.182558,"('mean', 'honorable')",5.0664902,5.1825581,0.1160679
35,-0.97738713,-1.1610004,"('corrupt', 'incorrupt')",-0.9773871,-1.1610004,-0.1836133
36,-1.0102919,-1.1353376,"('hostile', 'amicable')",-1.0102919,-1.1353376,-0.1250457
37,0.8832683,0.85652834,"('fake', 'genuine')",0.8832683,0.8565283,-0.02674
38,0.23572917,0.22480217,"('untruthful', 'truthful')",0.2357292,0.2248022,-0.010927
39,0.80581045,0.8033298,"('exploitative', 'cooperative')",0.8058105,0.8033298,-0.0024807
40,-1.3741633,-1.554135,"('stingy', 'generous')",-1.3741633,-1.554135,-0.1799717
41,0.36931124,0.24890076,"('unforgiving', 'forgiving')",0.3693112,0.2489008,-0.1204104
42,-2.5615413,-2.5962367,"('unreliable', 'reliable')",-2.5615413,-2.5962367,-0.0346954
43,1.5468655,1.5273248,"('irresponsible', 'responsible')",1.5468655,1.5273248,-0.0195407
44,-1.0273261,-0.96402395,"('prejudiced', 'unprejudiced')",-1.0273261,-0.9640239,0.0633022
45,0.63959605,0.6142847,"('incompetent', 'competent')",0.639596,0.6142847,-0.0253113
46,-0.31865594,-0.37444323,"('uncompetitive', 'competitive')",-0.3186559,-0.3744432,-0.0557873
47,5.1892653,5.3650823,"('stupid', 'smart')",5.1892653,5.3650823,0.175817
48,0.33692175,0.19648574,"('unintelligent', 'intelligent')",0.3369218,0.1964857,-0.1404361
49,0.021695603,0.051051937,"('unable', 'able')",0.0216956,0.0510519,0.0293563
50,-0.21886078,-0.2690938,"('clumsy', 'skillful')",-0.2188608,-0.2690938,-0.050233
51,0.712034,0.59238136,"('uneducated', 'educated')",0.712034,0.5923814,-0.1196526
52,-0.8784354,-0.99208695,"('irrational', 'rational')",-0.8784354,-0.9920869,-0.1136515
53,-0.42931297,-0.5379262,"('uncreative', 'creative')",-0.429313,-0.5379262,-0.1086132
54,0.8369946,0.8654888,"('incapable', 'capable')",0.8369946,0.8654888,0.0284942
55,1.0765715,1.036584,"('incompetent', 'clever')",1.0765715,1.036584,-0.0399875
56,0.7126477,0.75173044,"('impractical', 'practical')",0.7126477,0.7517304,0.0390827
57,-3.0159082,-2.9909186,"('unimaginative', 'imaginative')",-3.0159082,-2.9909186,0.0249896
58,0.15284202,0.12174754,"('undiscriminating', 'discriminating')",0.152842,0.1217475,-0.0310945
59,-0.3562552,-0.3730063,"('foolish', 'wise')",-0.3562552,-0.3730063,-0.0167511
60,1.0542469,1.1333647,"('inefficient', 'efficient')",1.0542469,1.1333647,0.0791178
61,0.6309343,0.38130343,"('illogical', 'logical')",0.6309343,0.3813034,-0.2496309
62,0.7846123,0.8445934,"('incompetent', 'brilliant')",0.7846123,0.8445934,0.0599811
63,0.4918012,0.4490212,"('unperceptive', 'insightful')",0.4918012,0.4490212,-0.04278
64,-6.647327,-6.5926166,"('shy', 'confident')",-6.6473269,-6.5926166,0.0547103
65,0.4672523,0.5383115,"('insecure', 'secure')",0.4672523,0.5383115,0.0710592
66,-0.4353699,-0.4763614,"('inactive', 'active')",-0.4353699,-0.4763614,-0.0409915
67,-0.27748471,-0.2109092,"('doubtful', 'determined')",-0.2774847,-0.2109092,0.0665755
68,-0.75328827,-0.88139385,"('dependent', 'independent')",-0.7532883,-0.8813938,-0.1281055
69,-2.1953974,-2.2214324,"('lazy', 'industrious')",-2.1953974,-2.2214324,-0.026035
70,1.46849,1.4417439,"('lethargic', 'energetic')",1.46849,1.4417439,-0.0267461
71,0.62343425,0.68467015,"('diffident', 'self-confident')",0.6234342,0.6846702,0.061236
72,0.43292564,0.49014473,"('unambitious', 'ambitious')",0.4329256,0.4901447,0.0572191
73,-2.8798354,-2.8733873,"('helpless', 'self-reliant')",-2.8798354,-2.8733873,0.0064481
74,0.7368046,0.6380283,"('undedicated', 'dedicated')",0.7368046,0.6380283,-0.0987763
75,-1.0937513,-1.0041957,"('meek', 'impulsive')",-1.0937513,-1.0041957,0.0895556
76,0.6749144,0.6435393,"('anxious', 'daring')",0.6749144,0.6435393,-0.0313751
77,-1.2656058,-1.1424758,"('unmotivated', 'motivated')",-1.2656058,-1.1424758,0.12313
78,-0.53800714,-0.49865165,"('nonresilient', 'resilient')",-0.5380071,-0.4986517,0.0393554
79,-0.32479835,-0.33268005,"('wavering', 'unwavering')",-0.3247983,-0.33268,-0.0078817
80,0.05443304,0.054117523,"('dominated', 'dominating')",0.054433,0.0541175,-0.0003155
81,0.2279005,0.34913337,"('submissive', 'aggressive')",0.2279005,0.3491334,0.1212329
82,6.0181446,6.0439105,"('poor', 'rich')",6.0181446,6.0439105,0.0257659
83,-0.046093553,-0.014523454,"('powerless', 'powerful')",-0.0460936,-0.0145235,0.0315701
84,0.7211871,0.64269394,"('inferior', 'superior')",0.7211871,0.6426939,-0.0784932
85,-0.5150151,-0.657876,"('insignificant', 'prestigious')",-0.5150151,-0.657876,-0.1428609
86,0.36914957,0.2542321,"('uninfluential', 'influential')",0.3691496,0.2542321,-0.1149175
87,-0.1063334,-0.115435354,"('unsuccessful', 'successful')",-0.1063334,-0.1154354,-0.009102
88,0.28439564,0.18933553,"('low', 'eminent')",0.2843956,0.1893355,-0.0950601
