,prejudice_male,prejudice_female,tuple,average_male,average_female,female-male
0,-0.05003708,-0.11421409,"('unsociable', 'sociable')",-0.0500371,-0.1142141,-0.064177
1,0.5129289,0.49505687,"('unfriendly', 'friendly')",0.5129289,0.4950569,-0.017872
2,-0.101877436,-0.03574389,"('unlikable', 'likable')",-0.1018774,-0.0357439,0.0661335
3,0.81299925,0.8446745,"('repellent', 'pleasant')",0.8129992,0.8446745,0.0316753
4,-7.4767823,-7.5743537,"('disliked', 'liked')",-7.4767823,-7.5743537,-0.0975714
5,-1.277917,-1.2601256,"('distant', 'outgoing')",-1.277917,-1.2601256,0.0177914
6,-0.6760831,-0.7088751,"('distant', 'open')",-0.6760831,-0.7088751,-0.032792
7,1.0555141,1.1061904,"('insensitive', 'sensitive')",1.0555141,1.1061904,0.0506763
8,0.7474971,0.6875558,"('unaffectionate', 'affectionate')",0.7474971,0.6875558,-0.0599413
9,1.1865548,1.2213713,"('unaffectionate', 'caring')",1.1865548,1.2213713,0.0348165
10,1.6749378,1.6727214,"('unsympathetic', 'sympathetic')",1.6749378,1.6727214,-0.0022164
11,1.6471648,1.643774,"('unhelpful', 'helpful')",1.6471648,1.643774,-0.0033908
12,-1.6609112,-1.6756039,"('unsupportive', 'supportive')",-1.6609112,-1.6756039,-0.0146927
13,0.056189187,0.024154484,"('impolite', 'polite')",0.0561892,0.0241545,-0.0320347
14,0.36756152,0.333332,"('antisocial', 'social')",0.3675615,0.333332,-0.0342295
15,-0.2725408,-0.36241183,"('boring', 'funny')",-0.2725408,-0.3624118,-0.089871
16,-0.8186109,-0.7480875,"('unpopular', 'popular')",-0.8186109,-0.7480875,0.0705234
17,-0.60899496,-0.55676335,"('nasty', 'nice')",-0.608995,-0.5567634,0.0522316
18,-0.34828955,-0.3982383,"('disagreeable', 'welcoming')",-0.3482895,-0.3982383,-0.0499488
19,-1.1662377,-1.1574068,"('inhospitable', 'hospitable')",-1.1662377,-1.1574068,0.0088309
20,1.1072286,1.0501662,"('rough', 'thoughtful')",1.1072286,1.0501662,-0.0570624
21,-0.039915163,0.03498515,"('immoral', 'moral')",-0.0399152,0.0349852,0.0749004
22,-0.3616438,-0.3819333,"('untrustworthy', 'trustworthy')",-0.3616438,-0.3819333,-0.0202895
23,6.508876,6.515957,"('insincere', 'sincere')",6.5088758,6.5159569,0.0070811
24,1.6507694,1.5305269,"('dishonest', 'honest')",1.6507694,1.5305269,-0.1202425
25,0.40696496,0.3763444,"('egoistic', 'altruistic')",0.406965,0.3763444,-0.0306206
26,0.47478765,0.4449275,"('hardhearted', 'benevolent')",0.4747877,0.4449275,-0.0298602
27,1.5730597,1.4434984,"('hardhearted', 'softhearted')",1.5730597,1.4434984,-0.1295613
28,1.0728714,1.058309,"('disloyal', 'loyal')",1.0728714,1.058309,-0.0145624
29,-0.96309894,-1.0656544,"('unfair', 'fair')",-0.9630989,-1.0656544,-0.1025555
30,1.139433,1.1298832,"('intolerant', 'tolerant')",1.139433,1.1298832,-0.0095498
31,-2.0836859,-2.0240386,"('evil', 'good')",-2.0836859,-2.0240386,0.0596473
32,1.0260571,0.9925889,"('unkind', 'kind')",1.0260571,0.9925889,-0.0334682
33,-0.87729454,-0.8897384,"('wrong', 'right')",-0.8772945,-0.8897384,-0.0124439
34,4.6082516,4.703702,"('mean', 'honorable')",4.6082516,4.703702,0.0954504
35,-1.0633451,-1.256757,"('corrupt', 'incorrupt')",-1.0633451,-1.256757,-0.1934119
