,wisdom_male,wisdom_female,tuple,average_male,average_female,female-male
0,0.07144068,-0.01206775,"('unsociable', 'sociable')",0.0714407,-0.0120678,-0.0835085
1,1.4624532,1.4106773,"('unfriendly', 'friendly')",1.4624532,1.4106773,-0.0517759
2,0.2049452,0.24425577,"('unlikable', 'likable')",0.2049452,0.2442558,0.0393106
3,0.5645283,0.62208277,"('repellent', 'pleasant')",0.5645283,0.6220828,0.0575545
4,-6.89172,-7.0385475,"('disliked', 'liked')",-6.8917198,-7.0385475,-0.1468277
5,-0.3416933,-0.402689,"('distant', 'outgoing')",-0.3416933,-0.402689,-0.0609957
6,0.12171767,0.018046398,"('distant', 'open')",0.1217177,0.0180464,-0.1036713
7,1.0665472,1.1233945,"('insensitive', 'sensitive')",1.0665472,1.1233945,0.0568473
8,1.4067646,1.3325192,"('unaffectionate', 'affectionate')",1.4067646,1.3325192,-0.0742454
9,1.8833892,1.969318,"('unaffectionate', 'caring')",1.8833892,1.969318,0.0859288
10,1.2893527,1.3107028,"('unsympathetic', 'sympathetic')",1.2893527,1.3107028,0.0213501
11,2.0215786,2.084722,"('unhelpful', 'helpful')",2.0215786,2.084722,0.0631434
12,-1.1400894,-1.0898937,"('unsupportive', 'supportive')",-1.1400894,-1.0898937,0.0501957
13,0.03153967,-0.0064111426,"('impolite', 'polite')",0.0315397,-0.0064111,-0.0379508
14,0.3551755,0.2999866,"('antisocial', 'social')",0.3551755,0.2999866,-0.0551889
15,0.47197953,0.30725467,"('boring', 'funny')",0.4719795,0.3072547,-0.1647248
16,-0.5158321,-0.43172503,"('unpopular', 'popular')",-0.5158321,-0.431725,0.0841071
17,-0.44300586,-0.3515447,"('nasty', 'nice')",-0.4430059,-0.3515447,0.0914612
18,-0.1113998,-0.21372682,"('disagreeable', 'welcoming')",-0.1113998,-0.2137268,-0.102327
19,-0.23707555,-0.2514633,"('inhospitable', 'hospitable')",-0.2370756,-0.2514633,-0.0143877
20,1.0648855,1.0150962,"('rough', 'thoughtful')",1.0648855,1.0150962,-0.0497893
21,0.1332353,0.1891679,"('immoral', 'moral')",0.1332353,0.1891679,0.0559326
22,-0.19839211,-0.31676596,"('untrustworthy', 'trustworthy')",-0.1983921,-0.316766,-0.1183739
23,6.5936084,6.643594,"('insincere', 'sincere')",6.5936084,6.6435938,0.0499854
24,1.9076521,1.7956469,"('dishonest', 'honest')",1.9076521,1.7956469,-0.1120052
25,0.68024075,0.6427673,"('egoistic', 'altruistic')",0.6802408,0.6427673,-0.0374735
26,0.718447,0.67949754,"('hardhearted', 'benevolent')",0.718447,0.6794975,-0.0389495
27,1.6798581,1.5970412,"('hardhearted', 'softhearted')",1.6798581,1.5970412,-0.0828169
28,1.3912095,1.3537912,"('disloyal', 'loyal')",1.3912095,1.3537912,-0.0374183
29,-0.53188765,-0.62100506,"('unfair', 'fair')",-0.5318877,-0.6210051,-0.0891174
30,1.265446,1.2003839,"('intolerant', 'tolerant')",1.2654459,1.2003839,-0.065062
31,-1.5888833,-1.569662,"('evil', 'good')",-1.5888833,-1.569662,0.0192213
32,1.2577512,1.2498295,"('unkind', 'kind')",1.2577512,1.2498295,-0.0079217
33,-0.36413273,-0.3973791,"('wrong', 'right')",-0.3641327,-0.3973791,-0.0332464
34,4.740175,4.8975472,"('mean', 'honorable')",4.7401748,4.8975472,0.1573724
35,-0.76521194,-1.0235615,"('corrupt', 'incorrupt')",-0.7652119,-1.0235615,-0.2583496
36,-0.5965591,-0.6716835,"('hostile', 'amicable')",-0.5965591,-0.6716835,-0.0751244
37,1.282119,1.2724459,"('fake', 'genuine')",1.282119,1.2724459,-0.0096731
38,-0.013686918,0.031627536,"('untruthful', 'truthful')",-0.0136869,0.0316275,0.0453144
39,0.6584137,0.6600509,"('exploitative', 'cooperative')",0.6584137,0.6600509,0.0016372
40,-1.1861669,-1.3840868,"('stingy', 'generous')",-1.1861669,-1.3840868,-0.1979199
41,0.24721819,0.3229996,"('unforgiving', 'forgiving')",0.2472182,0.3229996,0.0757814
42,-1.9885724,-2.146046,"('unreliable', 'reliable')",-1.9885724,-2.1460459,-0.1574735
43,1.2002947,1.1617134,"('irresponsible', 'responsible')",1.2002947,1.1617134,-0.0385813
44,-0.9845767,-1.0413522,"('prejudiced', 'unprejudiced')",-0.9845767,-1.0413522,-0.0567755
45,0.2868548,0.2703047,"('incompetent', 'competent')",0.2868548,0.2703047,-0.0165501
46,-0.6313298,-0.71088123,"('uncompetitive', 'competitive')",-0.6313298,-0.7108812,-0.0795514
47,5.404499,5.586238,"('stupid', 'smart')",5.4044991,5.5862379,0.1817388
48,0.7845784,0.81261224,"('unintelligent', 'intelligent')",0.7845784,0.8126122,0.0280338
49,0.5661812,0.59742063,"('unable', 'able')",0.5661812,0.5974206,0.0312394
50,-0.07911525,-0.076001674,"('clumsy', 'skillful')",-0.0791152,-0.0760017,0.0031135
51,0.83053815,0.7411156,"('uneducated', 'educated')",0.8305382,0.7411156,-0.0894226
52,-0.15143916,-0.2003727,"('irrational', 'rational')",-0.1514392,-0.2003727,-0.0489335
53,0.29142973,0.21813226,"('uncreative', 'creative')",0.2914297,0.2181323,-0.0732974
54,1.1810032,1.1760933,"('incapable', 'capable')",1.1810032,1.1760933,-0.0049099
55,1.1257832,1.1379449,"('incompetent', 'clever')",1.1257832,1.1379449,0.0121617
56,0.8218306,0.79101217,"('impractical', 'practical')",0.8218306,0.7910122,-0.0308184
57,-2.4924908,-2.560908,"('unimaginative', 'imaginative')",-2.4924908,-2.5609081,-0.0684173
58,0.031949256,-0.043428566,"('undiscriminating', 'discriminating')",0.0319493,-0.0434286,-0.0753779
59,0.30262357,0.29610664,"('foolish', 'wise')",0.3026236,0.2961066,-0.006517
60,0.7693668,0.8545481,"('inefficient', 'efficient')",0.7693668,0.8545481,0.0851813
61,0.67515194,0.5452643,"('illogical', 'logical')",0.6751519,0.5452643,-0.1298876
62,0.9692403,1.0728145,"('incompetent', 'brilliant')",0.9692403,1.0728145,0.1035742
63,0.6038896,0.6827835,"('unperceptive', 'insightful')",0.6038896,0.6827835,0.0788939
64,-5.986934,-6.0625815,"('shy', 'confident')",-5.9869342,-6.0625815,-0.0756473
65,0.29766497,0.30739954,"('insecure', 'secure')",0.297665,0.3073995,0.0097345
66,-0.38627166,-0.5005706,"('inactive', 'active')",-0.3862717,-0.5005706,-0.1142989
67,-0.3259585,-0.25004324,"('doubtful', 'determined')",-0.3259585,-0.2500432,0.0759153
68,-0.40029246,-0.49833035,"('dependent', 'independent')",-0.4002925,-0.4983304,-0.0980379
69,-2.0092556,-2.0196586,"('lazy', 'industrious')",-2.0092556,-2.0196586,-0.010403
70,1.2435676,1.1237574,"('lethargic', 'energetic')",1.2435676,1.1237574,-0.1198102
71,0.7450475,0.758274,"('diffident', 'self-confident')",0.7450475,0.758274,0.0132265
72,0.61058944,0.68767965,"('unambitious', 'ambitious')",0.6105894,0.6876796,0.0770902
73,-2.7296839,-2.748341,"('helpless', 'self-reliant')",-2.7296839,-2.7483411,-0.0186572
74,0.45165956,0.2994267,"('undedicated', 'dedicated')",0.4516596,0.2994267,-0.1522329
75,-1.275972,-1.2686743,"('meek', 'impulsive')",-1.275972,-1.2686743,0.0072977
76,0.9918556,0.93102396,"('anxious', 'daring')",0.9918556,0.931024,-0.0608316
77,-1.2852592,-1.0534189,"('unmotivated', 'motivated')",-1.2852592,-1.0534189,0.2318403
78,-0.43223068,-0.35611257,"('nonresilient', 'resilient')",-0.4322307,-0.3561126,0.0761181
79,-0.04186049,-0.08496094,"('wavering', 'unwavering')",-0.0418605,-0.0849609,-0.0431004
80,-0.01109791,-0.036332,"('dominated', 'dominating')",-0.0110979,-0.036332,-0.0252341
81,0.21041365,0.2447773,"('submissive', 'aggressive')",0.2104136,0.2447773,0.0343637
82,6.3077955,6.3969073,"('poor', 'rich')",6.3077955,6.3969073,0.0891118
83,-0.35534078,-0.31348944,"('powerless', 'powerful')",-0.3553408,-0.3134894,0.0418514
84,0.48474702,0.45117512,"('inferior', 'superior')",0.484747,0.4511751,-0.0335719
85,-0.137748,-0.18991053,"('insignificant', 'prestigious')",-0.137748,-0.1899105,-0.0521625
86,0.3320142,0.2650453,"('uninfluential', 'influential')",0.3320142,0.2650453,-0.0669689
87,-0.15192634,-0.0027374476,"('unsuccessful', 'successful')",-0.1519263,-0.0027374,0.1491889
88,0.587731,0.53387177,"('low', 'eminent')",0.587731,0.5338718,-0.0538592
