,epee_male,epee_female,tuple,average_male,average_female,female-male
0,-0.13925359,-0.18726744,"('unsociable', 'sociable')",-0.1392536,-0.1872674,-0.0480138
1,-1.0583929,-1.2449368,"('unfriendly', 'friendly')",-1.0583929,-1.2449368,-0.1865439
2,0.6695457,0.8400662,"('unlikable', 'likable')",0.6695457,0.8400662,0.1705205
3,-0.21937874,-0.07965392,"('repellent', 'pleasant')",-0.2193787,-0.0796539,0.1397248
4,-2.5723364,-2.6848893,"('disliked', 'liked')",-2.5723364,-2.6848893,-0.1125529
5,-1.137254,-1.1347462,"('distant', 'outgoing')",-1.137254,-1.1347462,0.0025078
6,-0.5530008,-0.64007777,"('distant', 'open')",-0.5530008,-0.6400778,-0.087077
7,0.09241018,0.14342606,"('insensitive', 'sensitive')",0.0924102,0.1434261,0.0510159
8,-1.1442292,-1.1201178,"('unaffectionate', 'affectionate')",-1.1442292,-1.1201178,0.0241114
9,-1.1824833,-1.201484,"('unaffectionate', 'caring')",-1.1824833,-1.201484,-0.0190007
10,-0.19264448,-0.2326106,"('unsympathetic', 'sympathetic')",-0.1926445,-0.2326106,-0.0399661
11,0.23786607,0.3763991,"('unhelpful', 'helpful')",0.2378661,0.3763991,0.138533
12,-1.4415041,-1.3049538,"('unsupportive', 'supportive')",-1.4415041,-1.3049538,0.1365503
13,-0.37319303,-0.149694,"('impolite', 'polite')",-0.373193,-0.149694,0.223499
14,0.05102578,0.1646224,"('antisocial', 'social')",0.0510258,0.1646224,0.1135966
15,0.7797571,0.5921516,"('boring', 'funny')",0.7797571,0.5921516,-0.1876055
16,-0.3595015,-0.42346063,"('unpopular', 'popular')",-0.3595015,-0.4234606,-0.0639591
17,-0.32771236,-0.32650256,"('nasty', 'nice')",-0.3277124,-0.3265026,0.0012098
18,-1.3241272,-1.163268,"('disagreeable', 'welcoming')",-1.3241272,-1.163268,0.1608592
19,-1.1276777,-1.1812085,"('inhospitable', 'hospitable')",-1.1276777,-1.1812085,-0.0535308
20,0.733691,0.7400884,"('rough', 'thoughtful')",0.733691,0.7400884,0.0063974
21,-0.17643742,0.073437326,"('immoral', 'moral')",-0.1764374,0.0734373,0.2498747
22,-0.059988342,-0.020546423,"('untrustworthy', 'trustworthy')",-0.0599883,-0.0205464,0.0394419
23,1.4627925,1.5030735,"('insincere', 'sincere')",1.4627925,1.5030735,0.040281
24,0.12739147,0.10827759,"('dishonest', 'honest')",0.1273915,0.1082776,-0.0191139
25,0.3570356,0.13069232,"('egoistic', 'altruistic')",0.3570356,0.1306923,-0.2263433
26,0.99796057,0.7024891,"('hardhearted', 'benevolent')",0.9979606,0.7024891,-0.2954715
27,0.44681913,0.30068177,"('hardhearted', 'softhearted')",0.4468191,0.3006818,-0.1461373
28,0.7386272,0.5890348,"('disloyal', 'loyal')",0.7386272,0.5890348,-0.1495924
29,-0.5754934,-0.5817688,"('unfair', 'fair')",-0.5754934,-0.5817688,-0.0062754
