,negligee_male,negligee_female,tuple,average_male,average_female,female-male
0,-1.1901741,-1.3365068,"('unsociable', 'sociable')",-1.1901741,-1.3365068,-0.1463327
1,-1.0855415,-1.2857922,"('unfriendly', 'friendly')",-1.0855415,-1.2857922,-0.2002507
2,0.054405484,0.15320852,"('unlikable', 'likable')",0.0544055,0.1532085,0.098803
3,-0.9292107,-0.9106819,"('repellent', 'pleasant')",-0.9292107,-0.9106819,0.0185288
4,-1.6985253,-1.6294063,"('disliked', 'liked')",-1.6985253,-1.6294063,0.069119
5,-0.1768459,-0.05803299,"('distant', 'outgoing')",-0.1768459,-0.058033,0.1188129
6,-0.4719975,-0.4183837,"('distant', 'open')",-0.4719975,-0.4183837,0.0536138
7,-1.0105222,-1.0178584,"('insensitive', 'sensitive')",-1.0105222,-1.0178584,-0.0073362
8,-1.2550471,-1.365537,"('unaffectionate', 'affectionate')",-1.2550471,-1.365537,-0.1104899
9,-1.1346339,-1.2289937,"('unaffectionate', 'caring')",-1.1346339,-1.2289937,-0.0943598
10,-1.7584157,-1.7886989,"('unsympathetic', 'sympathetic')",-1.7584157,-1.7886989,-0.0302832
11,-0.010079032,0.015871327,"('unhelpful', 'helpful')",-0.010079,0.0158713,0.0259503
12,-2.0722768,-2.035391,"('unsupportive', 'supportive')",-2.0722768,-2.0353911,0.0368857
13,-1.4843522,-1.532575,"('impolite', 'polite')",-1.4843522,-1.532575,-0.0482228
14,-0.92812574,-0.96315587,"('antisocial', 'social')",-0.9281257,-0.9631559,-0.0350302
15,1.5218935,1.5075322,"('boring', 'funny')",1.5218935,1.5075322,-0.0143613
16,0.683896,0.6967065,"('unpopular', 'popular')",0.683896,0.6967065,0.0128105
17,-0.055164184,0.044984333,"('nasty', 'nice')",-0.0551642,0.0449843,0.1001485
18,-0.45156363,-0.5174967,"('disagreeable', 'welcoming')",-0.4515636,-0.5174967,-0.0659331
19,-0.45182452,-0.3760882,"('inhospitable', 'hospitable')",-0.4518245,-0.3760882,0.0757363
20,0.45027423,0.4630713,"('rough', 'thoughtful')",0.4502742,0.4630713,0.0127971
21,-0.9965679,-1.0049871,"('immoral', 'moral')",-0.9965679,-1.0049871,-0.0084192
22,-1.1837481,-1.1855305,"('untrustworthy', 'trustworthy')",-1.1837481,-1.1855305,-0.0017824
23,0.8357625,0.74823123,"('insincere', 'sincere')",0.8357625,0.7482312,-0.0875313
24,-0.8785405,-0.9403891,"('dishonest', 'honest')",-0.8785405,-0.9403891,-0.0618486
25,0.3260126,0.19341525,"('egoistic', 'altruistic')",0.3260126,0.1934153,-0.1325973
26,0.61113036,0.49624047,"('hardhearted', 'benevolent')",0.6111304,0.4962405,-0.1148899
27,-0.43780208,-0.4496806,"('hardhearted', 'softhearted')",-0.4378021,-0.4496806,-0.0118785
28,-0.9310972,-1.1238838,"('disloyal', 'loyal')",-0.9310972,-1.1238838,-0.1927866
29,-0.69674355,-0.7440876,"('unfair', 'fair')",-0.6967435,-0.7440876,-0.0473441
30,0.4308684,0.38909093,"('intolerant', 'tolerant')",0.4308684,0.3890909,-0.0417775
31,-0.6938997,-0.7038685,"('evil', 'good')",-0.6938997,-0.7038685,-0.0099688
32,-0.42782378,-0.55442774,"('unkind', 'kind')",-0.4278238,-0.5544277,-0.1266039
33,-0.35188696,-0.40394714,"('wrong', 'right')",-0.351887,-0.4039471,-0.0520601
34,1.406663,1.4865856,"('mean', 'honorable')",1.4066629,1.4865856,0.0799227
35,0.86894685,0.77562094,"('corrupt', 'incorrupt')",0.8689469,0.7756209,-0.093326
36,-0.25666338,-0.38468188,"('hostile', 'amicable')",-0.2566634,-0.3846819,-0.1280185
37,-0.6061859,-0.64899206,"('fake', 'genuine')",-0.6061859,-0.6489921,-0.0428062
38,-0.7226208,-0.78040063,"('untruthful', 'truthful')",-0.7226208,-0.7804006,-0.0577798
39,-0.0393845,-0.01694179,"('exploitative', 'cooperative')",-0.0393845,-0.0169418,0.0224427
40,-1.775966,-1.9527282,"('stingy', 'generous')",-1.775966,-1.9527282,-0.1767622
41,-0.99668896,-1.1503807,"('unforgiving', 'forgiving')",-0.996689,-1.1503807,-0.1536917
42,-1.3982894,-1.2076023,"('unreliable', 'reliable')",-1.3982894,-1.2076023,0.1906871
43,-1.4679396,-1.3952011,"('irresponsible', 'responsible')",-1.4679396,-1.3952011,0.0727385
44,0.6069221,0.7835033,"('prejudiced', 'unprejudiced')",0.6069221,0.7835033,0.1765812
45,-1.4557122,-1.423544,"('incompetent', 'competent')",-1.4557122,-1.423544,0.0321682
46,-1.3691347,-1.360737,"('uncompetitive', 'competitive')",-1.3691347,-1.360737,0.0083977
47,1.1136032,1.2080023,"('stupid', 'smart')",1.1136032,1.2080023,0.0943991
48,-0.61974645,-0.7578952,"('unintelligent', 'intelligent')",-0.6197464,-0.7578952,-0.1381488
49,-0.25410768,-0.06983009,"('unable', 'able')",-0.2541077,-0.0698301,0.1842776
50,0.35370862,0.41253325,"('clumsy', 'skillful')",0.3537086,0.4125333,0.0588247
51,-0.72502875,-0.8404223,"('uneducated', 'educated')",-0.7250288,-0.8404223,-0.1153935
52,0.13778527,-0.05996612,"('irrational', 'rational')",0.1377853,-0.0599661,-0.1977514
53,-0.6938571,-0.78094167,"('uncreative', 'creative')",-0.6938571,-0.7809417,-0.0870846
54,-0.23666114,-0.27674994,"('incapable', 'capable')",-0.2366611,-0.2767499,-0.0400888
55,-1.0200632,-1.0447607,"('incompetent', 'clever')",-1.0200632,-1.0447607,-0.0246975
56,0.1216254,0.18676989,"('impractical', 'practical')",0.1216254,0.1867699,0.0651445
57,-2.0725305,-2.148009,"('unimaginative', 'imaginative')",-2.0725305,-2.1480091,-0.0754786
58,-0.33075893,-0.3374479,"('undiscriminating', 'discriminating')",-0.3307589,-0.3374479,-0.006689
59,-0.11358394,-0.10330337,"('foolish', 'wise')",-0.1135839,-0.1033034,0.0102805
60,-0.59716517,-0.51140344,"('inefficient', 'efficient')",-0.5971652,-0.5114034,0.0857618
61,-0.7080014,-0.85056496,"('illogical', 'logical')",-0.7080014,-0.850565,-0.1425636
62,-0.15066199,-0.07272295,"('incompetent', 'brilliant')",-0.150662,-0.0727229,0.0779391
63,-1.2189043,-1.1599892,"('unperceptive', 'insightful')",-1.2189043,-1.1599892,0.0589151
64,-2.304365,-2.3174152,"('shy', 'confident')",-2.3043649,-2.3174152,-0.0130503
65,-1.0574005,-1.1136048,"('insecure', 'secure')",-1.0574005,-1.1136048,-0.0562043
66,-0.94714224,-0.94704235,"('inactive', 'active')",-0.9471422,-0.9470423,9.99e-05
67,0.22658932,0.2806483,"('doubtful', 'determined')",0.2265893,0.2806483,0.054059
68,-0.48275256,-0.4436782,"('dependent', 'independent')",-0.4827526,-0.4436782,0.0390744
69,0.7079662,0.7912222,"('lazy', 'industrious')",0.7079662,0.7912222,0.083256
70,-0.52540475,-0.41589418,"('lethargic', 'energetic')",-0.5254048,-0.4158942,0.1095106
71,0.10859676,0.12551822,"('diffident', 'self-confident')",0.1085968,0.1255182,0.0169214
72,-0.9396108,-0.9837174,"('unambitious', 'ambitious')",-0.9396108,-0.9837174,-0.0441066
73,-0.10869218,-0.065874755,"('helpless', 'self-reliant')",-0.1086922,-0.0658748,0.0428174
74,-0.45060924,-0.3961565,"('undedicated', 'dedicated')",-0.4506092,-0.3961565,0.0544527
75,0.40591627,0.4560406,"('meek', 'impulsive')",0.4059163,0.4560406,0.0501243
76,-0.2170492,-0.066844195,"('anxious', 'daring')",-0.2170492,-0.0668442,0.150205
77,-0.57890123,-0.5958507,"('unmotivated', 'motivated')",-0.5789012,-0.5958507,-0.0169495
78,-1.234602,-1.2160077,"('nonresilient', 'resilient')",-1.234602,-1.2160077,0.0185943
79,0.09653155,0.10665798,"('wavering', 'unwavering')",0.0965315,0.106658,0.0101265
80,-0.28069547,-0.27009863,"('dominated', 'dominating')",-0.2806955,-0.2700986,0.0105969
81,-0.2785838,-0.3273825,"('submissive', 'aggressive')",-0.2785838,-0.3273825,-0.0487987
