,egg_male,egg_female,tuple,average_male,average_female,female-male
0,0.40516004,0.24123251,"('unsociable', 'sociable')",0.40516,0.2412325,-0.1639275
1,1.009234,0.8701152,"('unfriendly', 'friendly')",1.009234,0.8701152,-0.1391188
2,0.5292909,0.67691,"('unlikable', 'likable')",0.5292909,0.67691,0.1476191
3,1.0466697,1.0938115,"('repellent', 'pleasant')",1.0466697,1.0938115,0.0471418
4,-7.4271274,-7.3434095,"('disliked', 'liked')",-7.4271274,-7.3434095,0.0837179
5,-0.39608514,-0.32459295,"('distant', 'outgoing')",-0.3960851,-0.3245929,0.0714922
6,-0.19683975,-0.1221671,"('distant', 'open')",-0.1968397,-0.1221671,0.0746726
7,0.7878607,0.74612767,"('insensitive', 'sensitive')",0.7878607,0.7461277,-0.041733
8,0.5601737,0.5452435,"('unaffectionate', 'affectionate')",0.5601737,0.5452435,-0.0149302
9,1.4225775,1.4926473,"('unaffectionate', 'caring')",1.4225775,1.4926473,0.0700698
10,1.4661062,1.4642568,"('unsympathetic', 'sympathetic')",1.4661062,1.4642568,-0.0018494
11,2.1176643,2.1148803,"('unhelpful', 'helpful')",2.1176643,2.1148803,-0.002784
12,-1.4851972,-1.5112587,"('unsupportive', 'supportive')",-1.4851972,-1.5112587,-0.0260615
13,0.761136,0.6754005,"('impolite', 'polite')",0.761136,0.6754005,-0.0857355
14,0.046049602,-0.100929655,"('antisocial', 'social')",0.0460496,-0.1009297,-0.1469793
15,0.61761296,0.5147176,"('boring', 'funny')",0.617613,0.5147176,-0.1028954
16,-0.31922823,-0.2868761,"('unpopular', 'popular')",-0.3192282,-0.2868761,0.0323521
17,-0.46325102,-0.4070616,"('nasty', 'nice')",-0.463251,-0.4070616,0.0561894
18,-0.8763626,-1.0091143,"('disagreeable', 'welcoming')",-0.8763626,-1.0091143,-0.1327517
19,-0.75534976,-0.6318652,"('inhospitable', 'hospitable')",-0.7553498,-0.6318652,0.1234846
20,0.70136553,0.6002063,"('rough', 'thoughtful')",0.7013655,0.6002063,-0.1011592
21,0.52697754,0.5385927,"('immoral', 'moral')",0.5269775,0.5385927,0.0116152
22,-0.05186192,-0.08533995,"('untrustworthy', 'trustworthy')",-0.0518619,-0.0853399,-0.033478
23,6.4047155,6.2762957,"('insincere', 'sincere')",6.4047155,6.2762957,-0.1284198
24,1.9815098,1.8877403,"('dishonest', 'honest')",1.9815098,1.8877403,-0.0937695
25,0.1865128,0.17248994,"('egoistic', 'altruistic')",0.1865128,0.1724899,-0.0140229
26,0.08235637,0.008469179,"('hardhearted', 'benevolent')",0.0823564,0.0084692,-0.0738872
27,1.3431777,1.1860715,"('hardhearted', 'softhearted')",1.3431777,1.1860715,-0.1571062
28,1.1032705,1.064814,"('disloyal', 'loyal')",1.1032705,1.064814,-0.0384565
29,-0.7112451,-0.7754555,"('unfair', 'fair')",-0.7112451,-0.7754555,-0.0642104
30,0.92768216,0.8655734,"('intolerant', 'tolerant')",0.9276822,0.8655734,-0.0621088
31,-2.0422893,-1.994787,"('evil', 'good')",-2.0422893,-1.994787,0.0475023
32,1.215028,1.2029732,"('unkind', 'kind')",1.215028,1.2029732,-0.0120548
33,-0.42623684,-0.41164264,"('wrong', 'right')",-0.4262368,-0.4116426,0.0145942
34,4.6324887,4.71319,"('mean', 'honorable')",4.6324887,4.7131901,0.0807014
35,-1.479778,-1.5475897,"('corrupt', 'incorrupt')",-1.4797781,-1.5475897,-0.0678116
36,-1.431116,-1.3801844,"('hostile', 'amicable')",-1.431116,-1.3801844,0.0509316
37,0.54609776,0.56852126,"('fake', 'genuine')",0.5460978,0.5685213,0.0224235
38,-0.12282818,-0.08708762,"('untruthful', 'truthful')",-0.1228282,-0.0870876,0.0357406
39,0.1072851,0.06997912,"('exploitative', 'cooperative')",0.1072851,0.0699791,-0.037306
40,-1.6582566,-1.8804207,"('stingy', 'generous')",-1.6582566,-1.8804207,-0.2221641
41,-0.21522337,-0.15971525,"('unforgiving', 'forgiving')",-0.2152234,-0.1597153,0.0555081
42,-1.6195683,-1.6596087,"('unreliable', 'reliable')",-1.6195683,-1.6596087,-0.0400404
43,1.5222741,1.466348,"('irresponsible', 'responsible')",1.5222741,1.4663481,-0.055926
44,-1.2645029,-1.2004006,"('prejudiced', 'unprejudiced')",-1.2645029,-1.2004006,0.0641023
45,0.4908012,0.48593065,"('incompetent', 'competent')",0.4908012,0.4859307,-0.0048705
46,0.013981001,-0.0692146,"('uncompetitive', 'competitive')",0.013981,-0.0692146,-0.0831956
47,5.2796407,5.4121947,"('stupid', 'smart')",5.2796407,5.4121947,0.132554
48,1.2749188,0.9900945,"('unintelligent', 'intelligent')",1.2749188,0.9900945,-0.2848243
49,0.20829844,0.3654794,"('unable', 'able')",0.2082984,0.3654794,0.157181
