,dock_male,dock_female,tuple,average_male,average_female,female-male
0,0.50939935,0.5026681,"('unsociable', 'sociable')",0.5093994,0.5026681,-0.0067313
1,1.9860332,1.685499,"('unfriendly', 'friendly')",1.9860332,1.685499,-0.3005342
2,0.70143026,0.7926936,"('unlikable', 'likable')",0.7014303,0.7926936,0.0912633
3,0.17445709,0.32013625,"('repellent', 'pleasant')",0.1744571,0.3201362,0.1456791
4,-6.2063675,-6.2672067,"('disliked', 'liked')",-6.2063675,-6.2672067,-0.0608392
5,0.11638826,-0.019608423,"('distant', 'outgoing')",0.1163883,-0.0196084,-0.1359967
6,0.7177903,0.5322784,"('distant', 'open')",0.7177903,0.5322784,-0.1855119
7,0.4945089,0.6221404,"('insensitive', 'sensitive')",0.4945089,0.6221404,0.1276315
8,1.8601065,1.5467103,"('unaffectionate', 'affectionate')",1.8601065,1.5467103,-0.3133962
9,2.468658,2.2617912,"('unaffectionate', 'caring')",2.468658,2.2617912,-0.2068668
10,0.1948489,0.4278586,"('unsympathetic', 'sympathetic')",0.1948489,0.4278586,0.2330097
11,1.9702972,2.1136546,"('unhelpful', 'helpful')",1.9702972,2.1136546,0.1433574
12,-1.1998574,-1.2087513,"('unsupportive', 'supportive')",-1.1998574,-1.2087513,-0.0088939
13,0.03943198,0.08137289,"('impolite', 'polite')",0.039432,0.0813729,0.0419409
14,0.045179494,0.21515465,"('antisocial', 'social')",0.0451795,0.2151546,0.1699751
15,0.96922874,0.8636119,"('boring', 'funny')",0.9692287,0.8636119,-0.1056168
16,0.09389136,-0.054159798,"('unpopular', 'popular')",0.0938914,-0.0541598,-0.1480512
17,-0.058545806,-0.05474618,"('nasty', 'nice')",-0.0585458,-0.0547462,0.0037996
18,-0.9775001,-1.0454684,"('disagreeable', 'welcoming')",-0.9775001,-1.0454684,-0.0679683
19,-0.75822556,-0.81590915,"('inhospitable', 'hospitable')",-0.7582256,-0.8159091,-0.0576835
20,0.17548607,0.18671194,"('rough', 'thoughtful')",0.1754861,0.1867119,0.0112258
21,-0.8374029,-0.5336978,"('immoral', 'moral')",-0.8374029,-0.5336978,0.3037051
22,-0.6893413,-0.60809666,"('untrustworthy', 'trustworthy')",-0.6893413,-0.6080967,0.0812446
23,6.028266,6.0669065,"('insincere', 'sincere')",6.028266,6.0669065,0.0386405
24,1.3228407,1.3667372,"('dishonest', 'honest')",1.3228407,1.3667372,0.0438965
25,1.1191897,0.89374864,"('egoistic', 'altruistic')",1.1191897,0.8937486,-0.2254411
26,1.3224521,1.0129671,"('hardhearted', 'benevolent')",1.3224521,1.0129671,-0.309485
27,0.958513,0.7213639,"('hardhearted', 'softhearted')",0.958513,0.7213639,-0.2371491
28,1.2117904,1.2200737,"('disloyal', 'loyal')",1.2117904,1.2200737,0.0082833
29,-0.3208846,-0.31859413,"('unfair', 'fair')",-0.3208846,-0.3185941,0.0022905
30,0.44780704,0.53522444,"('intolerant', 'tolerant')",0.447807,0.5352244,0.0874174
31,-1.0270784,-1.1938919,"('evil', 'good')",-1.0270784,-1.1938919,-0.1668135
32,1.0136721,0.9019177,"('unkind', 'kind')",1.0136721,0.9019177,-0.1117544
33,0.29847348,0.10383549,"('wrong', 'right')",0.2984735,0.1038355,-0.194638
34,4.635163,4.775884,"('mean', 'honorable')",4.6351628,4.7758842,0.1407214
35,-0.29621032,-0.6710628,"('corrupt', 'incorrupt')",-0.2962103,-0.6710628,-0.3748525
36,0.13218038,-0.1300625,"('hostile', 'amicable')",0.1321804,-0.1300625,-0.2622429
37,0.17554551,0.18550579,"('fake', 'genuine')",0.1755455,0.1855058,0.0099603
38,0.6197416,0.49393678,"('untruthful', 'truthful')",0.6197416,0.4939368,-0.1258048
39,-0.1722515,-0.11922923,"('exploitative', 'cooperative')",-0.1722515,-0.1192292,0.0530223
40,-2.1446521,-2.1670573,"('stingy', 'generous')",-2.1446521,-2.1670573,-0.0224052
41,0.65177315,0.72737837,"('unforgiving', 'forgiving')",0.6517732,0.7273784,0.0756052
42,-2.5662725,-2.4786792,"('unreliable', 'reliable')",-2.5662725,-2.4786792,0.0875933
43,0.7546055,0.8667464,"('irresponsible', 'responsible')",0.7546055,0.8667464,0.1121409
44,-1.9141258,-1.9176499,"('prejudiced', 'unprejudiced')",-1.9141258,-1.9176499,-0.0035241
45,0.13691626,0.3720668,"('incompetent', 'competent')",0.1369163,0.3720668,0.2351505
46,-1.0658405,-0.859453,"('uncompetitive', 'competitive')",-1.0658405,-0.859453,0.2063875
47,5.2090416,5.4164925,"('stupid', 'smart')",5.2090416,5.4164925,0.2074509
48,0.6277741,0.73291254,"('unintelligent', 'intelligent')",0.6277741,0.7329125,0.1051384
