,objection_male,objection_female,tuple,average_male,average_female,female-male
0,0.24613334,-0.061191726,"('unsociable', 'sociable')",0.2461333,-0.0611917,-0.307325
1,0.38640526,0.7069848,"('unfriendly', 'friendly')",0.3864053,0.7069848,0.3205795
2,-0.0033264197,0.31980538,"('unlikable', 'likable')",-0.0033264,0.3198054,0.3231318
3,1.0423845,1.0846127,"('repellent', 'pleasant')",1.0423845,1.0846127,0.0422282
4,-7.5734315,-7.442215,"('disliked', 'liked')",-7.5734315,-7.442215,0.1312165
5,-1.4362624,-0.9109993,"('distant', 'outgoing')",-1.4362624,-0.9109993,0.5252631
6,-1.2115607,-0.7605573,"('distant', 'open')",-1.2115607,-0.7605573,0.4510034
7,1.6826106,1.510563,"('insensitive', 'sensitive')",1.6826106,1.510563,-0.1720476
8,0.15743876,0.3091739,"('unaffectionate', 'affectionate')",0.1574388,0.3091739,0.1517351
9,0.8817245,1.0612754,"('unaffectionate', 'caring')",0.8817245,1.0612754,0.1795509
10,2.2798328,2.0140607,"('unsympathetic', 'sympathetic')",2.2798328,2.0140607,-0.2657721
11,2.5779533,2.480971,"('unhelpful', 'helpful')",2.5779533,2.4809711,-0.0969822
12,-1.3995346,-1.2984217,"('unsupportive', 'supportive')",-1.3995346,-1.2984217,0.1011129
13,0.71415263,0.5176888,"('impolite', 'polite')",0.7141526,0.5176888,-0.1964638
14,0.47025385,0.17453068,"('antisocial', 'social')",0.4702539,0.1745307,-0.2957232
15,0.33017296,0.37954298,"('boring', 'funny')",0.330173,0.379543,0.04937
16,-1.3536711,-1.1448934,"('unpopular', 'popular')",-1.3536711,-1.1448934,0.2087777
17,-0.47914904,-0.34157243,"('nasty', 'nice')",-0.479149,-0.3415724,0.1375766
18,-0.90972346,-0.7117782,"('disagreeable', 'welcoming')",-0.9097235,-0.7117782,0.1979453
19,-1.2425961,-0.9195915,"('inhospitable', 'hospitable')",-1.2425961,-0.9195915,0.3230046
20,1.0613467,0.88100517,"('rough', 'thoughtful')",1.0613467,0.8810052,-0.1803415
21,0.72303647,0.6630358,"('immoral', 'moral')",0.7230365,0.6630358,-0.0600007
22,0.37269583,0.14800084,"('untrustworthy', 'trustworthy')",0.3726958,0.1480008,-0.224695
23,6.620687,6.745004,"('insincere', 'sincere')",6.620687,6.7450042,0.1243172
24,2.4998941,2.4717236,"('dishonest', 'honest')",2.4998941,2.4717236,-0.0281705
25,-0.55936337,-0.4186887,"('egoistic', 'altruistic')",-0.5593634,-0.4186887,0.1406747
26,0.32198212,0.188271,"('hardhearted', 'benevolent')",0.3219821,0.188271,-0.1337111
27,1.7563342,1.6661748,"('hardhearted', 'softhearted')",1.7563342,1.6661748,-0.0901594
28,1.3082421,1.2077115,"('disloyal', 'loyal')",1.3082421,1.2077115,-0.1005306
29,-0.45992267,-0.48918432,"('unfair', 'fair')",-0.4599227,-0.4891843,-0.0292616
30,1.6563547,1.4138077,"('intolerant', 'tolerant')",1.6563547,1.4138077,-0.242547
31,-2.6271954,-2.2355986,"('evil', 'good')",-2.6271954,-2.2355986,0.3915968
32,1.3611609,1.151952,"('unkind', 'kind')",1.3611609,1.151952,-0.2092089
33,-1.0609711,-0.85667676,"('wrong', 'right')",-1.0609711,-0.8566768,0.2042943
34,4.325229,4.66206,"('mean', 'honorable')",4.3252292,4.6620598,0.3368306
35,-1.8092978,-1.6651585,"('corrupt', 'incorrupt')",-1.8092978,-1.6651585,0.1441393
36,-2.0322378,-1.8036935,"('hostile', 'amicable')",-2.0322378,-1.8036935,0.2285443
37,0.7528181,0.71759826,"('fake', 'genuine')",0.7528181,0.7175983,-0.0352198
38,-0.15317053,-0.08957804,"('untruthful', 'truthful')",-0.1531705,-0.089578,0.0635925
39,0.06723854,-0.026540149,"('exploitative', 'cooperative')",0.0672385,-0.0265401,-0.0937786
40,-1.2712547,-1.3017184,"('stingy', 'generous')",-1.2712547,-1.3017184,-0.0304637
41,0.21111499,-0.036433965,"('unforgiving', 'forgiving')",0.211115,-0.036434,-0.247549
42,-1.5615323,-1.5827955,"('unreliable', 'reliable')",-1.5615323,-1.5827955,-0.0212632
43,1.7940536,1.7212151,"('irresponsible', 'responsible')",1.7940536,1.7212151,-0.0728385
44,-1.675723,-1.8465166,"('prejudiced', 'unprejudiced')",-1.675723,-1.8465166,-0.1707936
45,1.0332749,0.8320318,"('incompetent', 'competent')",1.0332749,0.8320318,-0.2012431
46,0.5261726,0.3236195,"('uncompetitive', 'competitive')",0.5261726,0.3236195,-0.2025531
47,5.3811383,5.6226034,"('stupid', 'smart')",5.3811383,5.6226034,0.2414651
48,1.5549629,1.4412886,"('unintelligent', 'intelligent')",1.5549629,1.4412886,-0.1136743
49,-0.3938655,-0.120318316,"('unable', 'able')",-0.3938655,-0.1203183,0.2735472
50,-0.7178256,-0.4328772,"('clumsy', 'skillful')",-0.7178256,-0.4328772,0.2849484
51,1.1176668,1.0327091,"('uneducated', 'educated')",1.1176668,1.0327091,-0.0849577
52,-1.4207432,-1.1487403,"('irrational', 'rational')",-1.4207432,-1.1487403,0.2720029
53,-0.06864981,0.07526234,"('uncreative', 'creative')",-0.0686498,0.0752623,0.1439121
54,0.594836,0.9259025,"('incapable', 'capable')",0.594836,0.9259025,0.3310665
55,1.8851875,1.6485863,"('incompetent', 'clever')",1.8851875,1.6485863,-0.2366012
56,1.5112436,1.3688507,"('impractical', 'practical')",1.5112436,1.3688507,-0.1423929
57,-1.7326694,-1.8059505,"('unimaginative', 'imaginative')",-1.7326694,-1.8059505,-0.0732811
58,0.046668142,-0.038374852,"('undiscriminating', 'discriminating')",0.0466681,-0.0383749,-0.085043
59,-0.6883496,-0.34013274,"('foolish', 'wise')",-0.6883496,-0.3401327,0.3482169
60,1.5943916,1.4399934,"('inefficient', 'efficient')",1.5943916,1.4399934,-0.1543982
61,0.7164125,0.5433854,"('illogical', 'logical')",0.7164125,0.5433854,-0.1730271
62,1.9674281,2.0748847,"('incompetent', 'brilliant')",1.9674281,2.0748847,0.1074566
63,0.93069816,1.0483228,"('unperceptive', 'insightful')",0.9306982,1.0483228,0.1176246
64,-4.974096,-5.1324005,"('shy', 'confident')",-4.9740958,-5.1324005,-0.1583047
65,1.6509835,1.4628127,"('insecure', 'secure')",1.6509835,1.4628127,-0.1881708
66,-0.47061303,-0.4611136,"('inactive', 'active')",-0.470613,-0.4611136,0.0094994
67,-0.60226405,-0.61893743,"('doubtful', 'determined')",-0.602264,-0.6189374,-0.0166734
68,-0.27916986,-0.14277029,"('dependent', 'independent')",-0.2791699,-0.1427703,0.1363996
69,-2.5690246,-2.2458467,"('lazy', 'industrious')",-2.5690246,-2.2458467,0.3231779
70,2.5654688,2.317319,"('lethargic', 'energetic')",2.5654688,2.3173189,-0.2481499
71,-0.45751017,-0.14828211,"('diffident', 'self-confident')",-0.4575102,-0.1482821,0.3092281
72,1.0982791,1.1742626,"('unambitious', 'ambitious')",1.0982791,1.1742626,0.0759835
73,-3.320249,-3.1389608,"('helpless', 'self-reliant')",-3.3202491,-3.1389608,0.1812883
74,0.6179955,0.47739178,"('undedicated', 'dedicated')",0.6179955,0.4773918,-0.1406037
75,-1.0837053,-0.9019225,"('meek', 'impulsive')",-1.0837053,-0.9019225,0.1817828
76,1.6864259,1.4174562,"('anxious', 'daring')",1.6864259,1.4174562,-0.2689697
77,-0.5048963,-0.59582716,"('unmotivated', 'motivated')",-0.5048963,-0.5958272,-0.0909309
78,-0.8624341,-0.6801858,"('nonresilient', 'resilient')",-0.8624341,-0.6801858,0.1822483
79,-0.95715714,-0.7201812,"('wavering', 'unwavering')",-0.9571571,-0.7201812,0.2369759
80,0.90631485,0.6003324,"('dominated', 'dominating')",0.9063148,0.6003324,-0.3059824
81,1.589587,1.2170746,"('submissive', 'aggressive')",1.589587,1.2170746,-0.3725124
82,5.8595037,6.183708,"('poor', 'rich')",5.8595037,6.1837082,0.3242045
83,-0.48676813,-0.55371314,"('powerless', 'powerful')",-0.4867681,-0.5537131,-0.066945
84,0.15671001,0.18217295,"('inferior', 'superior')",0.15671,0.182173,0.025463
85,-2.6212847,-2.340215,"('insignificant', 'prestigious')",-2.6212847,-2.340215,0.2810697
86,0.9860627,0.8802006,"('uninfluential', 'influential')",0.9860627,0.8802006,-0.1058621
87,0.08101372,0.26479742,"('unsuccessful', 'successful')",0.0810137,0.2647974,0.1837837
88,0.030837834,0.20834297,"('low', 'eminent')",0.0308378,0.208343,0.1775052
