,zone_male,zone_female,tuple,average_male,average_female,female-male
0,0.10834007,-0.10132637,"('unsociable', 'sociable')",0.1083401,-0.1013264,-0.2096665
1,1.1513313,1.0882328,"('unfriendly', 'friendly')",1.1513313,1.0882328,-0.0630985
2,0.29836297,0.2832101,"('unlikable', 'likable')",0.298363,0.2832101,-0.0151529
3,0.12712263,0.20004553,"('repellent', 'pleasant')",0.1271226,0.2000455,0.0729229
4,-7.2368035,-7.4680896,"('disliked', 'liked')",-7.2368035,-7.4680896,-0.2312861
5,-0.9335921,-0.90401137,"('distant', 'outgoing')",-0.9335921,-0.9040114,0.0295807
6,-0.3735229,-0.33297664,"('distant', 'open')",-0.3735229,-0.3329766,0.0405463
7,1.1067245,1.14904,"('insensitive', 'sensitive')",1.1067245,1.14904,0.0423155
8,1.0211658,0.972074,"('unaffectionate', 'affectionate')",1.0211658,0.972074,-0.0490918
9,1.5707399,1.5348349,"('unaffectionate', 'caring')",1.5707399,1.5348349,-0.035905
10,0.5477788,0.56447107,"('unsympathetic', 'sympathetic')",0.5477788,0.5644711,0.0166923
11,1.9920224,1.9716055,"('unhelpful', 'helpful')",1.9920224,1.9716055,-0.0204169
12,-1.6301544,-1.727093,"('unsupportive', 'supportive')",-1.6301544,-1.727093,-0.0969386
13,-0.32357228,-0.4029098,"('impolite', 'polite')",-0.3235723,-0.4029098,-0.0793375
14,0.08893874,0.011639995,"('antisocial', 'social')",0.0889387,0.01164,-0.0772987
15,0.88679093,0.7243337,"('boring', 'funny')",0.8867909,0.7243337,-0.1624572
16,0.16050577,0.051853523,"('unpopular', 'popular')",0.1605058,0.0518535,-0.1086523
17,0.03919525,0.016527768,"('nasty', 'nice')",0.0391953,0.0165278,-0.0226675
18,-0.6226479,-0.6765206,"('disagreeable', 'welcoming')",-0.6226479,-0.6765206,-0.0538727
19,-0.07592149,-0.10089357,"('inhospitable', 'hospitable')",-0.0759215,-0.1008936,-0.0249721
20,0.24744928,0.24266645,"('rough', 'thoughtful')",0.2474493,0.2426665,-0.0047828
21,-0.14142826,-0.14746313,"('immoral', 'moral')",-0.1414283,-0.1474631,-0.0060348
22,-0.7251494,-0.82539207,"('untrustworthy', 'trustworthy')",-0.7251494,-0.8253921,-0.1002427
23,6.7598553,6.821928,"('insincere', 'sincere')",6.7598553,6.821928,0.0620727
24,1.1689804,1.189583,"('dishonest', 'honest')",1.1689804,1.1895829,0.0206025
25,0.6478701,0.5658277,"('egoistic', 'altruistic')",0.6478701,0.5658277,-0.0820424
26,1.5218736,1.4772338,"('hardhearted', 'benevolent')",1.5218736,1.4772338,-0.0446398
27,1.2541275,1.1602591,"('hardhearted', 'softhearted')",1.2541275,1.1602591,-0.0938684
28,1.2771311,1.285275,"('disloyal', 'loyal')",1.2771311,1.285275,0.0081439
29,-1.0824622,-1.1937376,"('unfair', 'fair')",-1.0824622,-1.1937376,-0.1112754
30,1.6215997,1.5229226,"('intolerant', 'tolerant')",1.6215997,1.5229226,-0.0986771
31,-1.4162126,-1.4234223,"('evil', 'good')",-1.4162126,-1.4234223,-0.0072097
32,1.3961253,1.2716535,"('unkind', 'kind')",1.3961253,1.2716535,-0.1244718
33,-0.42664272,-0.49508762,"('wrong', 'right')",-0.4266427,-0.4950876,-0.0684449
34,5.3235116,5.5011525,"('mean', 'honorable')",5.3235116,5.5011525,0.1776409
35,-0.4747867,-0.65558153,"('corrupt', 'incorrupt')",-0.4747867,-0.6555815,-0.1807948
36,-0.39659542,-0.53932315,"('hostile', 'amicable')",-0.3965954,-0.5393232,-0.1427278
37,0.5143933,0.49445137,"('fake', 'genuine')",0.5143933,0.4944514,-0.0199419
38,0.4316761,0.3744271,"('untruthful', 'truthful')",0.4316761,0.3744271,-0.057249
39,0.774243,0.84342927,"('exploitative', 'cooperative')",0.774243,0.8434293,0.0691863
40,-2.3520157,-2.4729352,"('stingy', 'generous')",-2.3520157,-2.4729352,-0.1209195
41,0.25912088,0.1453866,"('unforgiving', 'forgiving')",0.2591209,0.1453866,-0.1137343
