,oversight_male,oversight_female,tuple,average_male,average_female,female-male
0,-0.06818573,-0.09844262,"('unsociable', 'sociable')",-0.0681857,-0.0984426,-0.0302569
1,0.88654786,0.80831826,"('unfriendly', 'friendly')",0.8865479,0.8083183,-0.0782296
2,-0.03343111,0.049951315,"('unlikable', 'likable')",-0.0334311,0.0499513,0.0833824
3,0.67830133,0.72625726,"('repellent', 'pleasant')",0.6783013,0.7262573,0.047956
4,-7.396505,-7.5094333,"('disliked', 'liked')",-7.3965049,-7.5094333,-0.1129284
5,-0.94513094,-0.94437194,"('distant', 'outgoing')",-0.9451309,-0.9443719,0.000759
6,-0.2796187,-0.36345693,"('distant', 'open')",-0.2796187,-0.3634569,-0.0838382
7,1.1039884,1.1128323,"('insensitive', 'sensitive')",1.1039884,1.1128323,0.0088439
8,0.8323505,0.6820899,"('unaffectionate', 'affectionate')",0.8323505,0.6820899,-0.1502606
9,1.6907512,1.6642095,"('unaffectionate', 'caring')",1.6907512,1.6642095,-0.0265417
10,1.2354317,1.2496374,"('unsympathetic', 'sympathetic')",1.2354317,1.2496374,0.0142057
11,1.987984,2.1027634,"('unhelpful', 'helpful')",1.9879839,2.1027634,0.1147795
12,-1.3401016,-1.3671957,"('unsupportive', 'supportive')",-1.3401016,-1.3671957,-0.0270941
13,0.104897544,0.09829911,"('impolite', 'polite')",0.1048975,0.0982991,-0.0065984
14,-0.048025917,-0.0527316,"('antisocial', 'social')",-0.0480259,-0.0527316,-0.0047057
15,-0.17779008,-0.24271926,"('boring', 'funny')",-0.1777901,-0.2427193,-0.0649292
16,-0.5032678,-0.4869173,"('unpopular', 'popular')",-0.5032678,-0.4869173,0.0163505
17,-0.33666885,-0.2824496,"('nasty', 'nice')",-0.3366688,-0.2824496,0.0542192
18,-0.40622708,-0.45953524,"('disagreeable', 'welcoming')",-0.4062271,-0.4595352,-0.0533081
19,-0.9316178,-0.9304294,"('inhospitable', 'hospitable')",-0.9316178,-0.9304294,0.0011884
20,0.89739805,0.83469206,"('rough', 'thoughtful')",0.8973981,0.8346921,-0.062706
21,0.15910918,0.25550222,"('immoral', 'moral')",0.1591092,0.2555022,0.096393
22,-0.5961716,-0.5966282,"('untrustworthy', 'trustworthy')",-0.5961716,-0.5966282,-0.0004566
23,6.2289925,6.2780037,"('insincere', 'sincere')",6.2289925,6.2780037,0.0490112
24,1.6169534,1.5161122,"('dishonest', 'honest')",1.6169534,1.5161122,-0.1008412
25,0.4076553,0.2808664,"('egoistic', 'altruistic')",0.4076553,0.2808664,-0.1267889
26,0.9738495,0.88610685,"('hardhearted', 'benevolent')",0.9738495,0.8861068,-0.0877427
27,2.0561829,1.8420627,"('hardhearted', 'softhearted')",2.0561829,1.8420627,-0.2141202
28,1.2392,1.1743218,"('disloyal', 'loyal')",1.2392,1.1743218,-0.0648782
29,-0.5934242,-0.7319754,"('unfair', 'fair')",-0.5934242,-0.7319754,-0.1385512
30,0.7511249,0.8166037,"('intolerant', 'tolerant')",0.7511249,0.8166037,0.0654788
31,-1.8516376,-1.886021,"('evil', 'good')",-1.8516376,-1.886021,-0.0343834
32,1.5153302,1.4581766,"('unkind', 'kind')",1.5153302,1.4581766,-0.0571536
33,-0.5041149,-0.5202099,"('wrong', 'right')",-0.5041149,-0.5202099,-0.016095
34,4.6069827,4.78232,"('mean', 'honorable')",4.6069827,4.78232,0.1753373
35,-1.6501855,-1.8766972,"('corrupt', 'incorrupt')",-1.6501855,-1.8766972,-0.2265117
36,-0.8992361,-1.0385973,"('hostile', 'amicable')",-0.8992361,-1.0385973,-0.1393612
37,0.75514954,0.699345,"('fake', 'genuine')",0.7551495,0.699345,-0.0558045
38,-0.38271046,-0.31556135,"('untruthful', 'truthful')",-0.3827105,-0.3155614,0.0671491
39,0.03344941,0.04969013,"('exploitative', 'cooperative')",0.0334494,0.0496901,0.0162407
40,-1.3367733,-1.5446852,"('stingy', 'generous')",-1.3367733,-1.5446852,-0.2079119
41,-0.020356398,-0.048605174,"('unforgiving', 'forgiving')",-0.0203564,-0.0486052,-0.0282488
42,-1.7816458,-1.8011056,"('unreliable', 'reliable')",-1.7816458,-1.8011056,-0.0194598
43,1.5737042,1.6374942,"('irresponsible', 'responsible')",1.5737042,1.6374942,0.06379
44,-1.1590933,-1.0873239,"('prejudiced', 'unprejudiced')",-1.1590933,-1.0873239,0.0717694
45,0.25307962,0.22038877,"('incompetent', 'competent')",0.2530796,0.2203888,-0.0326908
46,-0.116158865,-0.07448702,"('uncompetitive', 'competitive')",-0.1161589,-0.074487,0.0416719
47,4.9494176,5.0971684,"('stupid', 'smart')",4.9494176,5.0971684,0.1477508
48,0.81537634,0.72561496,"('unintelligent', 'intelligent')",0.8153763,0.725615,-0.0897613
49,0.061249584,0.1497701,"('unable', 'able')",0.0612496,0.1497701,0.0885205
50,-0.38109744,-0.38897607,"('clumsy', 'skillful')",-0.3810974,-0.3889761,-0.0078787
51,0.40532446,0.41393346,"('uneducated', 'educated')",0.4053245,0.4139335,0.008609
52,-0.63140607,-0.8231982,"('irrational', 'rational')",-0.6314061,-0.8231982,-0.1917921
53,0.105197676,0.03466583,"('uncreative', 'creative')",0.1051977,0.0346658,-0.0705319
54,0.63943946,0.7050784,"('incapable', 'capable')",0.6394395,0.7050784,0.0656389
55,0.9384234,0.95609355,"('incompetent', 'clever')",0.9384234,0.9560935,0.0176701
56,0.6882693,0.7278321,"('impractical', 'practical')",0.6882693,0.7278321,0.0395628
57,-2.3936062,-2.4063156,"('unimaginative', 'imaginative')",-2.3936062,-2.4063156,-0.0127094
58,0.35588843,0.3246309,"('undiscriminating', 'discriminating')",0.3558884,0.3246309,-0.0312575
59,-0.34115905,-0.33261502,"('foolish', 'wise')",-0.341159,-0.332615,0.008544
60,1.0620217,1.2029028,"('inefficient', 'efficient')",1.0620217,1.2029028,0.1408811
61,0.8130684,0.576026,"('illogical', 'logical')",0.8130684,0.576026,-0.2370424
62,0.94632804,1.0279182,"('incompetent', 'brilliant')",0.946328,1.0279182,0.0815902
63,0.40152666,0.43259943,"('unperceptive', 'insightful')",0.4015267,0.4325994,0.0310727
64,-6.135092,-6.0681844,"('shy', 'confident')",-6.1350918,-6.0681844,0.0669074
65,0.7984843,0.82538396,"('insecure', 'secure')",0.7984843,0.825384,0.0268997
66,-0.047154788,-0.060235497,"('inactive', 'active')",-0.0471548,-0.0602355,-0.0130807
67,-0.7259648,-0.58546454,"('doubtful', 'determined')",-0.7259648,-0.5854645,0.1405003
68,-0.4471435,-0.48994377,"('dependent', 'independent')",-0.4471435,-0.4899438,-0.0428003
69,-2.167718,-2.1683702,"('lazy', 'industrious')",-2.1677179,-2.1683702,-0.0006523
70,1.4872955,1.5059277,"('lethargic', 'energetic')",1.4872955,1.5059277,0.0186322
71,0.20753698,0.23324534,"('diffident', 'self-confident')",0.207537,0.2332453,0.0257083
72,0.9181875,1.0463603,"('unambitious', 'ambitious')",0.9181875,1.0463603,0.1281728
73,-3.2414737,-3.237473,"('helpless', 'self-reliant')",-3.2414737,-3.237473,0.0040007
74,0.106283605,0.04626616,"('undedicated', 'dedicated')",0.1062836,0.0462662,-0.0600174
75,-1.2417519,-1.0910406,"('meek', 'impulsive')",-1.2417519,-1.0910406,0.1507113
