,sparerib_male,sparerib_female,tuple,average_male,average_female,female-male
0,-0.054168478,-0.20655484,"('unsociable', 'sociable')",-0.0541685,-0.2065548,-0.1523863
1,-1.0063529,-1.1227295,"('unfriendly', 'friendly')",-1.0063529,-1.1227295,-0.1163766
2,0.40394694,0.35910472,"('unlikable', 'likable')",0.4039469,0.3591047,-0.0448422
3,0.0062404964,0.06382401,"('repellent', 'pleasant')",0.0062405,0.063824,0.0575835
4,-2.3005357,-2.3773277,"('disliked', 'liked')",-2.3005357,-2.3773277,-0.076792
5,-1.0650959,-0.99003625,"('distant', 'outgoing')",-1.0650959,-0.9900362,0.0750597
6,-1.0625477,-0.998315,"('distant', 'open')",-1.0625477,-0.998315,0.0642327
7,-0.12258194,-0.0974095,"('insensitive', 'sensitive')",-0.1225819,-0.0974095,0.0251724
8,-1.5307033,-1.6155572,"('unaffectionate', 'affectionate')",-1.5307033,-1.6155572,-0.0848539
9,-0.6284468,-0.677212,"('unaffectionate', 'caring')",-0.6284468,-0.677212,-0.0487652
10,-0.4432636,-0.44623965,"('unsympathetic', 'sympathetic')",-0.4432636,-0.4462397,-0.0029761
11,0.9477558,0.8951257,"('unhelpful', 'helpful')",0.9477558,0.8951257,-0.0526301
12,-1.2999654,-1.3290048,"('unsupportive', 'supportive')",-1.2999654,-1.3290048,-0.0290394
13,0.8435492,0.79101807,"('impolite', 'polite')",0.8435492,0.7910181,-0.0525311
14,0.328273,0.3265591,"('antisocial', 'social')",0.328273,0.3265591,-0.0017139
15,0.2970588,0.20556675,"('boring', 'funny')",0.2970588,0.2055667,-0.0914921
16,0.002257388,-0.07171069,"('unpopular', 'popular')",0.0022574,-0.0717107,-0.0739681
17,0.16079131,0.25532448,"('nasty', 'nice')",0.1607913,0.2553245,0.0945332
18,-1.0550653,-1.0949672,"('disagreeable', 'welcoming')",-1.0550653,-1.0949672,-0.0399019
19,-1.6906075,-1.6356055,"('inhospitable', 'hospitable')",-1.6906075,-1.6356055,0.055002
20,0.26119292,0.23465972,"('rough', 'thoughtful')",0.2611929,0.2346597,-0.0265332
21,0.122834876,0.0696081,"('immoral', 'moral')",0.1228349,0.0696081,-0.0532268
22,-0.17547493,-0.21476157,"('untrustworthy', 'trustworthy')",-0.1754749,-0.2147616,-0.0392867
23,1.8767354,1.824723,"('insincere', 'sincere')",1.8767354,1.824723,-0.0520124
24,0.3531811,0.35202494,"('dishonest', 'honest')",0.3531811,0.3520249,-0.0011562
25,-0.162907,-0.25849906,"('egoistic', 'altruistic')",-0.162907,-0.2584991,-0.0955921
26,-0.094473645,-0.20204929,"('hardhearted', 'benevolent')",-0.0944736,-0.2020493,-0.1075757
27,0.10536153,0.1479186,"('hardhearted', 'softhearted')",0.1053615,0.1479186,0.0425571
28,0.32157367,0.23315491,"('disloyal', 'loyal')",0.3215737,0.2331549,-0.0884188
29,-0.42661333,-0.46207094,"('unfair', 'fair')",-0.4266133,-0.4620709,-0.0354576
30,0.7569607,0.7427448,"('intolerant', 'tolerant')",0.7569607,0.7427448,-0.0142159
31,-1.7069025,-1.5737118,"('evil', 'good')",-1.7069025,-1.5737118,0.1331907
32,0.5095748,0.38960472,"('unkind', 'kind')",0.5095748,0.3896047,-0.1199701
33,0.15455057,0.083057165,"('wrong', 'right')",0.1545506,0.0830572,-0.0714934
34,1.1765984,1.3393947,"('mean', 'honorable')",1.1765984,1.3393947,0.1627963
35,-0.35157657,-0.38092762,"('corrupt', 'incorrupt')",-0.3515766,-0.3809276,-0.029351
36,-1.3940732,-1.376448,"('hostile', 'amicable')",-1.3940732,-1.376448,0.0176252
37,-0.14274518,-0.156901,"('fake', 'genuine')",-0.1427452,-0.156901,-0.0141558
38,-0.038323805,-0.11822519,"('untruthful', 'truthful')",-0.0383238,-0.1182252,-0.0799014
39,0.43153864,0.43778467,"('exploitative', 'cooperative')",0.4315386,0.4377847,0.0062461
40,-0.9003513,-0.9269928,"('stingy', 'generous')",-0.9003513,-0.9269928,-0.0266415
41,0.1028984,0.11956068,"('unforgiving', 'forgiving')",0.1028984,0.1195607,0.0166623
42,-1.5186814,-1.4005744,"('unreliable', 'reliable')",-1.5186814,-1.4005744,0.118107
43,0.27756274,0.22597882,"('irresponsible', 'responsible')",0.2775627,0.2259788,-0.0515839
