,canteen_male,canteen_female,tuple,average_male,average_female,female-male
0,0.55138284,0.4674005,"('unsociable', 'sociable')",0.5513828,0.4674005,-0.0839823
1,1.259695,1.2439221,"('unfriendly', 'friendly')",1.2596951,1.2439221,-0.015773
2,0.073723406,0.175263,"('unlikable', 'likable')",0.0737234,0.175263,0.1015396
3,0.4327587,0.5054686,"('repellent', 'pleasant')",0.4327587,0.5054686,0.0727099
4,-7.4121304,-7.442338,"('disliked', 'liked')",-7.4121304,-7.442338,-0.0302076
5,-0.90778404,-0.8216995,"('distant', 'outgoing')",-0.907784,-0.8216995,0.0860845
6,-0.38833353,-0.3453673,"('distant', 'open')",-0.3883335,-0.3453673,0.0429662
7,1.0102483,0.9952687,"('insensitive', 'sensitive')",1.0102483,0.9952687,-0.0149796
8,0.72337025,0.60442,"('unaffectionate', 'affectionate')",0.7233703,0.60442,-0.1189503
9,1.4474125,1.425266,"('unaffectionate', 'caring')",1.4474125,1.425266,-0.0221465
10,0.95406413,0.92349327,"('unsympathetic', 'sympathetic')",0.9540641,0.9234933,-0.0305708
11,1.9630947,2.0306826,"('unhelpful', 'helpful')",1.9630947,2.0306826,0.0675879
12,-1.7170815,-1.7043701,"('unsupportive', 'supportive')",-1.7170815,-1.7043701,0.0127114
13,0.3102458,0.33363366,"('impolite', 'polite')",0.3102458,0.3336337,0.0233879
14,0.13440806,0.09429692,"('antisocial', 'social')",0.1344081,0.0942969,-0.0401112
15,0.45780003,0.38692042,"('boring', 'funny')",0.4578,0.3869204,-0.0708796
16,0.039342612,0.058668315,"('unpopular', 'popular')",0.0393426,0.0586683,0.0193257
17,-0.4348565,-0.38776422,"('nasty', 'nice')",-0.4348565,-0.3877642,0.0470923
18,-1.0230243,-1.0228312,"('disagreeable', 'welcoming')",-1.0230243,-1.0228312,0.0001931
19,-0.7943096,-0.7951315,"('inhospitable', 'hospitable')",-0.7943096,-0.7951315,-0.0008219
20,1.0037565,0.98032826,"('rough', 'thoughtful')",1.0037565,0.9803283,-0.0234282
