,prey_male,prey_female,tuple,average_male,average_female,female-male
0,0.5692601,0.5620045,"('unsociable', 'sociable')",0.5692601,0.5620045,-0.0072556
1,1.0071225,1.0769962,"('unfriendly', 'friendly')",1.0071225,1.0769962,0.0698737
2,0.5325375,0.67828226,"('unlikable', 'likable')",0.5325375,0.6782823,0.1457448
3,0.9926734,1.1065294,"('repellent', 'pleasant')",0.9926734,1.1065294,0.113856
4,-7.218044,-7.243414,"('disliked', 'liked')",-7.2180438,-7.2434139,-0.0253701
5,-0.5804238,-0.42030907,"('distant', 'outgoing')",-0.5804238,-0.4203091,0.1601147
6,-0.19175756,-0.08534154,"('distant', 'open')",-0.1917576,-0.0853415,0.1064161
7,1.7683605,1.7878335,"('insensitive', 'sensitive')",1.7683605,1.7878335,0.019473
8,0.9210953,0.8548582,"('unaffectionate', 'affectionate')",0.9210953,0.8548582,-0.0662371
9,1.1816117,1.2662,"('unaffectionate', 'caring')",1.1816117,1.2661999,0.0845882
10,1.867807,1.7167531,"('unsympathetic', 'sympathetic')",1.867807,1.7167531,-0.1510539
11,2.0012913,2.0166523,"('unhelpful', 'helpful')",2.0012913,2.0166523,0.015361
12,-1.075506,-1.00935,"('unsupportive', 'supportive')",-1.075506,-1.0093499,0.0661561
13,0.45590743,0.4437429,"('impolite', 'polite')",0.4559074,0.4437429,-0.0121645
14,0.60411066,0.61830074,"('antisocial', 'social')",0.6041107,0.6183007,0.01419
15,0.18485187,0.24185237,"('boring', 'funny')",0.1848519,0.2418524,0.0570005
16,-0.74032825,-0.5807238,"('unpopular', 'popular')",-0.7403283,-0.5807238,0.1596045
17,-0.12830935,-0.24333887,"('nasty', 'nice')",-0.1283094,-0.2433389,-0.1150295
18,-0.35037476,-0.262559,"('disagreeable', 'welcoming')",-0.3503748,-0.262559,0.0878158
19,-0.7718821,-0.6920118,"('inhospitable', 'hospitable')",-0.7718821,-0.6920118,0.0798703
20,0.9042059,0.7913554,"('rough', 'thoughtful')",0.9042059,0.7913554,-0.1128505
21,0.46744883,0.54031324,"('immoral', 'moral')",0.4674488,0.5403132,0.0728644
22,0.46486476,0.40674478,"('untrustworthy', 'trustworthy')",0.4648648,0.4067448,-0.05812
23,6.39478,6.539832,"('insincere', 'sincere')",6.3947802,6.5398321,0.1450519
24,1.9410928,1.9453398,"('dishonest', 'honest')",1.9410928,1.9453398,0.004247
25,0.22887558,0.20119041,"('egoistic', 'altruistic')",0.2288756,0.2011904,-0.0276852
26,0.327216,0.2091312,"('hardhearted', 'benevolent')",0.327216,0.2091312,-0.1180848
27,1.7370121,1.5651506,"('hardhearted', 'softhearted')",1.7370121,1.5651506,-0.1718615
28,1.1052135,1.0368396,"('disloyal', 'loyal')",1.1052135,1.0368396,-0.0683739
29,-0.365134,-0.4669983,"('unfair', 'fair')",-0.365134,-0.4669983,-0.1018643
30,1.489198,1.4182081,"('intolerant', 'tolerant')",1.489198,1.4182081,-0.0709899
31,-1.5316007,-1.5003866,"('evil', 'good')",-1.5316007,-1.5003866,0.0312141
32,1.3474339,1.2656085,"('unkind', 'kind')",1.3474339,1.2656085,-0.0818254
33,-1.0250996,-0.86658174,"('wrong', 'right')",-1.0250996,-0.8665817,0.1585179
34,4.1118426,4.3859487,"('mean', 'honorable')",4.1118426,4.3859487,0.2741061
35,-1.4988201,-1.6403503,"('corrupt', 'incorrupt')",-1.4988201,-1.6403503,-0.1415302
36,-1.1131662,-1.2492443,"('hostile', 'amicable')",-1.1131662,-1.2492443,-0.1360781
37,0.7507652,0.73277104,"('fake', 'genuine')",0.7507652,0.732771,-0.0179942
38,-0.3878532,-0.29933566,"('untruthful', 'truthful')",-0.3878532,-0.2993357,0.0885175
39,0.057774156,0.032043733,"('exploitative', 'cooperative')",0.0577742,0.0320437,-0.0257305
40,-0.7147291,-0.8323392,"('stingy', 'generous')",-0.7147291,-0.8323392,-0.1176101
41,0.37546417,0.22168264,"('unforgiving', 'forgiving')",0.3754642,0.2216826,-0.1537816
42,-1.1956394,-1.3194566,"('unreliable', 'reliable')",-1.1956394,-1.3194566,-0.1238172
43,1.7626727,1.7680556,"('irresponsible', 'responsible')",1.7626727,1.7680556,0.0053829
44,-1.1549171,-1.3174459,"('prejudiced', 'unprejudiced')",-1.1549171,-1.3174459,-0.1625288
45,0.6980638,0.6372337,"('incompetent', 'competent')",0.6980638,0.6372337,-0.0608301
46,-0.018276535,-0.057191946,"('uncompetitive', 'competitive')",-0.0182765,-0.0571919,-0.0389154
47,5.6860123,5.9022264,"('stupid', 'smart')",5.6860123,5.9022264,0.2162141
48,1.1338295,1.0771861,"('unintelligent', 'intelligent')",1.1338295,1.0771861,-0.0566434
49,-0.27129543,-0.06617032,"('unable', 'able')",-0.2712954,-0.0661703,0.2051251
50,-0.11995058,-0.07893821,"('clumsy', 'skillful')",-0.1199506,-0.0789382,0.0410124
51,0.79401004,0.80456704,"('uneducated', 'educated')",0.79401,0.804567,0.010557
52,-0.8319267,-0.8282276,"('irrational', 'rational')",-0.8319267,-0.8282276,0.0036991
53,0.35214582,0.3571734,"('uncreative', 'creative')",0.3521458,0.3571734,0.0050276
54,0.862092,1.1079402,"('incapable', 'capable')",0.862092,1.1079402,0.2458482
55,1.4562297,1.490564,"('incompetent', 'clever')",1.4562297,1.490564,0.0343343
56,0.91408944,1.0215137,"('impractical', 'practical')",0.9140894,1.0215137,0.1074243
57,-1.9034525,-2.0097558,"('unimaginative', 'imaginative')",-1.9034525,-2.0097558,-0.1063033
58,0.101382494,-0.0013666414,"('undiscriminating', 'discriminating')",0.1013825,-0.0013666,-0.1027491
59,-0.13794644,-0.026663706,"('foolish', 'wise')",-0.1379464,-0.0266637,0.1112827
60,0.7494242,0.9074606,"('inefficient', 'efficient')",0.7494242,0.9074606,0.1580364
61,0.7180746,0.59003,"('illogical', 'logical')",0.7180746,0.59003,-0.1280446
62,1.5634606,1.7455629,"('incompetent', 'brilliant')",1.5634606,1.7455629,0.1821023
63,1.0615964,1.1661421,"('unperceptive', 'insightful')",1.0615964,1.1661421,0.1045457
64,-5.368701,-5.3377547,"('shy', 'confident')",-5.368701,-5.3377547,0.0309463
65,1.6779501,1.5643228,"('insecure', 'secure')",1.6779501,1.5643228,-0.1136273
66,-0.087560505,-0.17972124,"('inactive', 'active')",-0.0875605,-0.1797212,-0.0921607
67,-0.95427924,-0.784504,"('doubtful', 'determined')",-0.9542792,-0.784504,0.1697752
68,-0.20869684,-0.10412364,"('dependent', 'independent')",-0.2086968,-0.1041236,0.1045732
69,-2.0634654,-1.9531797,"('lazy', 'industrious')",-2.0634654,-1.9531797,0.1102857
70,2.1814427,2.0994596,"('lethargic', 'energetic')",2.1814427,2.0994596,-0.0819831
71,0.26125374,0.46352452,"('diffident', 'self-confident')",0.2612537,0.4635245,0.2022708
72,0.9938178,1.1028935,"('unambitious', 'ambitious')",0.9938178,1.1028935,0.1090757
73,-2.9269412,-2.8361452,"('helpless', 'self-reliant')",-2.9269412,-2.8361452,0.090796
74,0.36160323,0.31057507,"('undedicated', 'dedicated')",0.3616032,0.3105751,-0.0510281
75,-1.0705729,-0.99552524,"('meek', 'impulsive')",-1.0705729,-0.9955252,0.0750477
76,1.4049946,1.294137,"('anxious', 'daring')",1.4049946,1.294137,-0.1108576
77,-1.122303,-0.98844934,"('unmotivated', 'motivated')",-1.122303,-0.9884493,0.1338537
