,bout_male,bout_female,tuple,average_male,average_female,female-male
0,-0.013225823,-0.057387374,"('unsociable', 'sociable')",-0.0132258,-0.0573874,-0.0441616
1,0.94062066,0.9686359,"('unfriendly', 'friendly')",0.9406207,0.9686359,0.0280152
2,0.24728781,0.35302073,"('unlikable', 'likable')",0.2472878,0.3530207,0.1057329
3,0.9371757,0.8966303,"('repellent', 'pleasant')",0.9371757,0.8966303,-0.0405454
4,-7.1271944,-7.306906,"('disliked', 'liked')",-7.1271944,-7.3069062,-0.1797118
5,-0.64113766,-0.6063557,"('distant', 'outgoing')",-0.6411377,-0.6063557,0.034782
6,-0.06314474,-0.09100525,"('distant', 'open')",-0.0631447,-0.0910053,-0.0278606
7,1.0374731,1.0982776,"('insensitive', 'sensitive')",1.0374731,1.0982776,0.0608045
8,0.5724549,0.5380746,"('unaffectionate', 'affectionate')",0.5724549,0.5380746,-0.0343803
9,1.1408789,1.2371631,"('unaffectionate', 'caring')",1.1408789,1.2371631,0.0962842
10,1.2416844,1.2127723,"('unsympathetic', 'sympathetic')",1.2416844,1.2127723,-0.0289121
11,1.593164,1.6260916,"('unhelpful', 'helpful')",1.593164,1.6260916,0.0329276
12,-1.8117874,-1.8455693,"('unsupportive', 'supportive')",-1.8117874,-1.8455693,-0.0337819
13,0.12671933,0.13457657,"('impolite', 'polite')",0.1267193,0.1345766,0.0078573
14,0.11125659,-0.007748739,"('antisocial', 'social')",0.1112566,-0.0077487,-0.1190053
15,0.25521898,0.23956248,"('boring', 'funny')",0.255219,0.2395625,-0.0156565
16,-0.36025566,-0.37221456,"('unpopular', 'popular')",-0.3602557,-0.3722146,-0.0119589
17,-0.12021909,-0.15147597,"('nasty', 'nice')",-0.1202191,-0.151476,-0.0312569
18,-0.34697226,-0.36386633,"('disagreeable', 'welcoming')",-0.3469723,-0.3638663,-0.016894
19,-0.97510296,-0.9170219,"('inhospitable', 'hospitable')",-0.975103,-0.9170219,0.0580811
20,0.9566661,0.8795161,"('rough', 'thoughtful')",0.9566661,0.8795161,-0.07715
21,0.032834087,0.14796145,"('immoral', 'moral')",0.0328341,0.1479615,0.1151274
22,0.0728159,0.034025125,"('untrustworthy', 'trustworthy')",0.0728159,0.0340251,-0.0387908
23,5.751208,5.8939457,"('insincere', 'sincere')",5.7512078,5.8939457,0.1427379
24,1.6194909,1.6201618,"('dishonest', 'honest')",1.6194909,1.6201618,0.0006709
25,0.5481941,0.52681756,"('egoistic', 'altruistic')",0.5481941,0.5268176,-0.0213765
26,0.51871544,0.39884195,"('hardhearted', 'benevolent')",0.5187154,0.3988419,-0.1198735
27,1.5290792,1.3460709,"('hardhearted', 'softhearted')",1.5290792,1.3460709,-0.1830083
28,1.0298662,1.0143082,"('disloyal', 'loyal')",1.0298662,1.0143082,-0.015558
29,-0.4046427,-0.47360158,"('unfair', 'fair')",-0.4046427,-0.4736016,-0.0689589
30,0.85399437,0.8990198,"('intolerant', 'tolerant')",0.8539944,0.8990198,0.0450254
31,-1.3074027,-1.3524652,"('evil', 'good')",-1.3074027,-1.3524652,-0.0450625
32,1.0639977,1.0166396,"('unkind', 'kind')",1.0639977,1.0166396,-0.0473581
33,-0.58080393,-0.5682017,"('wrong', 'right')",-0.5808039,-0.5682017,0.0126022
34,4.101809,4.322667,"('mean', 'honorable')",4.101809,4.3226671,0.2208581
35,-1.0415708,-1.2705563,"('corrupt', 'incorrupt')",-1.0415708,-1.2705563,-0.2289855
36,-0.67985725,-0.7458517,"('hostile', 'amicable')",-0.6798573,-0.7458517,-0.0659944
37,0.85554576,0.8462567,"('fake', 'genuine')",0.8555458,0.8462567,-0.0092891
38,-0.45110592,-0.3688979,"('untruthful', 'truthful')",-0.4511059,-0.3688979,0.082208
39,0.31244293,0.34241277,"('exploitative', 'cooperative')",0.3124429,0.3424128,0.0299699
40,-1.1906881,-1.3771589,"('stingy', 'generous')",-1.1906881,-1.3771589,-0.1864708
41,0.29848778,0.25288793,"('unforgiving', 'forgiving')",0.2984878,0.2528879,-0.0455999
42,-1.5169692,-1.581511,"('unreliable', 'reliable')",-1.5169692,-1.581511,-0.0645418
43,1.1026429,1.1773797,"('irresponsible', 'responsible')",1.1026429,1.1773797,0.0747368
44,-0.60164243,-0.68315697,"('prejudiced', 'unprejudiced')",-0.6016424,-0.683157,-0.0815146
45,0.31191927,0.15923677,"('incompetent', 'competent')",0.3119193,0.1592368,-0.1526825
46,-0.096269295,-0.10130696,"('uncompetitive', 'competitive')",-0.0962693,-0.101307,-0.0050377
47,4.7251787,4.9145565,"('stupid', 'smart')",4.7251787,4.9145565,0.1893778
48,0.25095367,0.24312778,"('unintelligent', 'intelligent')",0.2509537,0.2431278,-0.0078259
49,-0.12075107,0.053604435,"('unable', 'able')",-0.1207511,0.0536044,0.1743555
50,-0.19808762,-0.24557991,"('clumsy', 'skillful')",-0.1980876,-0.2455799,-0.0474923
51,0.087881826,0.060745712,"('uneducated', 'educated')",0.0878818,0.0607457,-0.0271361
52,-0.5176487,-0.65440863,"('irrational', 'rational')",-0.5176487,-0.6544086,-0.1367599
53,0.014589539,0.021820256,"('uncreative', 'creative')",0.0145895,0.0218203,0.0072308
54,0.74585587,0.88254815,"('incapable', 'capable')",0.7458559,0.8825482,0.1366923
55,0.8535443,0.8726344,"('incompetent', 'clever')",0.8535443,0.8726344,0.0190901
56,0.5140868,0.5141123,"('impractical', 'practical')",0.5140868,0.5141123,2.55e-05
57,-2.2210176,-2.3318188,"('unimaginative', 'imaginative')",-2.2210176,-2.3318188,-0.1108012
58,0.082478054,0.07006805,"('undiscriminating', 'discriminating')",0.0824781,0.070068,-0.0124101
59,-0.1368205,-0.12863192,"('foolish', 'wise')",-0.1368205,-0.1286319,0.0081886
60,0.65461016,0.8035026,"('inefficient', 'efficient')",0.6546102,0.8035026,0.1488924
61,0.16008243,0.071394324,"('illogical', 'logical')",0.1600824,0.0713943,-0.0886881
62,0.7398,0.7644549,"('incompetent', 'brilliant')",0.7398,0.7644549,0.0246549
63,0.15987708,0.2108674,"('unperceptive', 'insightful')",0.1598771,0.2108674,0.0509903
64,-5.54421,-5.6281695,"('shy', 'confident')",-5.54421,-5.6281695,-0.0839595
65,0.9546705,1.0042666,"('insecure', 'secure')",0.9546705,1.0042666,0.0495961
66,0.21025082,0.10430312,"('inactive', 'active')",0.2102508,0.1043031,-0.1059477
67,-0.6200118,-0.51434046,"('doubtful', 'determined')",-0.6200118,-0.5143405,0.1056713
68,-0.69546676,-0.6670632,"('dependent', 'independent')",-0.6954668,-0.6670632,0.0284036
69,-1.8678784,-1.8991706,"('lazy', 'industrious')",-1.8678784,-1.8991706,-0.0312922
70,1.8672258,1.8153046,"('lethargic', 'energetic')",1.8672258,1.8153046,-0.0519212
71,0.4061347,0.41375923,"('diffident', 'self-confident')",0.4061347,0.4137592,0.0076245
72,0.78809935,0.8864531,"('unambitious', 'ambitious')",0.7880993,0.8864531,0.0983538
73,-3.006832,-3.0118666,"('helpless', 'self-reliant')",-3.0068319,-3.0118666,-0.0050347
74,0.030186798,-0.06698015,"('undedicated', 'dedicated')",0.0301868,-0.0669802,-0.097167
75,-0.62437546,-0.55034953,"('meek', 'impulsive')",-0.6243755,-0.5503495,0.074026
76,0.86658794,0.8948998,"('anxious', 'daring')",0.8665879,0.8948998,0.0283119
77,-1.4447012,-1.2935174,"('unmotivated', 'motivated')",-1.4447012,-1.2935174,0.1511838
78,-0.8632396,-0.8841549,"('nonresilient', 'resilient')",-0.8632396,-0.8841549,-0.0209153
79,-0.5044329,-0.48396304,"('wavering', 'unwavering')",-0.5044329,-0.483963,0.0204699
80,-0.0039761905,-0.10054561,"('dominated', 'dominating')",-0.0039762,-0.1005456,-0.0965694
81,0.27354276,0.35816503,"('submissive', 'aggressive')",0.2735428,0.358165,0.0846222
82,5.983576,6.124273,"('poor', 'rich')",5.9835758,6.1242728,0.140697
83,-0.33521283,-0.3065371,"('powerless', 'powerful')",-0.3352128,-0.3065371,0.0286757
84,-0.014004875,0.08426544,"('inferior', 'superior')",-0.0140049,0.0842654,0.0982703
85,-1.162463,-1.2054389,"('insignificant', 'prestigious')",-1.1624629,-1.2054389,-0.042976
86,0.25057015,0.21602884,"('uninfluential', 'influential')",0.2505701,0.2160288,-0.0345413
87,-0.55968076,-0.51210254,"('unsuccessful', 'successful')",-0.5596808,-0.5121025,0.0475783
88,-0.05218422,-0.007962268,"('low', 'eminent')",-0.0521842,-0.0079623,0.0442219
