,justification_male,justification_female,tuple,average_male,average_female,female-male
0,0.24289426,0.24284837,"('unsociable', 'sociable')",0.2428943,0.2428484,-4.59e-05
1,1.2797529,1.1634808,"('unfriendly', 'friendly')",1.2797529,1.1634808,-0.1162721
2,0.67445076,0.7849002,"('unlikable', 'likable')",0.6744508,0.7849002,0.1104494
3,1.2747835,1.4086698,"('repellent', 'pleasant')",1.2747835,1.4086698,0.1338863
4,-7.3005843,-7.176208,"('disliked', 'liked')",-7.3005843,-7.176208,0.1243763
5,-0.36799517,-0.3401134,"('distant', 'outgoing')",-0.3679952,-0.3401134,0.0278818
6,-0.09226507,-0.12149045,"('distant', 'open')",-0.0922651,-0.1214904,-0.0292253
7,1.8687701,1.812372,"('insensitive', 'sensitive')",1.8687701,1.812372,-0.0563981
8,0.6795058,0.58746123,"('unaffectionate', 'affectionate')",0.6795058,0.5874612,-0.0920446
9,1.198364,1.1854789,"('unaffectionate', 'caring')",1.198364,1.1854789,-0.0128851
10,1.8903364,1.9090192,"('unsympathetic', 'sympathetic')",1.8903364,1.9090192,0.0186828
11,2.3436027,2.315342,"('unhelpful', 'helpful')",2.3436027,2.3153419,-0.0282608
12,-0.88545746,-0.83004946,"('unsupportive', 'supportive')",-0.8854575,-0.8300495,0.055408
13,0.59819204,0.6126095,"('impolite', 'polite')",0.598192,0.6126095,0.0144175
14,0.39642683,0.3541608,"('antisocial', 'social')",0.3964268,0.3541608,-0.042266
15,0.15209022,0.13708736,"('boring', 'funny')",0.1520902,0.1370874,-0.0150028
16,-0.6101631,-0.5082106,"('unpopular', 'popular')",-0.6101631,-0.5082106,0.1019525
17,-0.2034859,-0.14377098,"('nasty', 'nice')",-0.2034859,-0.143771,0.0597149
18,-0.17251235,-0.17512344,"('disagreeable', 'welcoming')",-0.1725124,-0.1751234,-0.002611
19,-0.37202254,-0.33822238,"('inhospitable', 'hospitable')",-0.3720225,-0.3382224,0.0338001
20,1.0991853,0.9433065,"('rough', 'thoughtful')",1.0991853,0.9433065,-0.1558788
21,0.8939547,0.9588367,"('immoral', 'moral')",0.8939547,0.9588367,0.064882
22,0.41996887,0.37716684,"('untrustworthy', 'trustworthy')",0.4199689,0.3771668,-0.0428021
23,7.3540087,7.261305,"('insincere', 'sincere')",7.3540087,7.2613049,-0.0927038
24,2.7279806,2.6249495,"('dishonest', 'honest')",2.7279806,2.6249495,-0.1030311
25,0.37260574,0.22170195,"('egoistic', 'altruistic')",0.3726057,0.2217019,-0.1509038
26,-0.16118133,-0.18184853,"('hardhearted', 'benevolent')",-0.1611813,-0.1818485,-0.0206672
27,1.3547486,1.2145432,"('hardhearted', 'softhearted')",1.3547486,1.2145432,-0.1402054
28,1.5759394,1.49754,"('disloyal', 'loyal')",1.5759394,1.49754,-0.0783994
29,-0.09263517,-0.2298219,"('unfair', 'fair')",-0.0926352,-0.2298219,-0.1371867
30,1.2453156,1.2071223,"('intolerant', 'tolerant')",1.2453156,1.2071223,-0.0381933
31,-1.4379222,-1.4810963,"('evil', 'good')",-1.4379222,-1.4810963,-0.0431741
32,1.5243791,1.3811458,"('unkind', 'kind')",1.5243791,1.3811458,-0.1432333
33,-0.6993797,-0.65594846,"('wrong', 'right')",-0.6993797,-0.6559485,0.0434312
34,4.7994266,4.858461,"('mean', 'honorable')",4.7994266,4.8584609,0.0590343
35,-1.0379608,-1.197644,"('corrupt', 'incorrupt')",-1.0379608,-1.197644,-0.1596832
36,-1.4492531,-1.4960843,"('hostile', 'amicable')",-1.4492531,-1.4960843,-0.0468312
37,1.1641746,1.1035097,"('fake', 'genuine')",1.1641746,1.1035097,-0.0606649
