,zoetis_male,zoetis_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.20828527,-0.29115176,"('unsociable', 'sociable')",-0.28020403,-0.41148865,-0.2442447,-0.3513202,-0.1070755
1,-0.5890515,-0.67262197,"('unfriendly', 'friendly')",1.3904612,1.0981679,0.4007049,0.212773,-0.1879319
2,0.6743528,0.66236436,"('unlikable', 'likable')",0.6752158,0.7428006,0.6747843,0.7025825,0.0277982
3,-0.65425247,-0.4826498,"('repellent', 'pleasant')",-0.17438789,-0.10562417,-0.4143202,-0.294137,0.1201832
4,-0.6463615,-0.67415243,"('disliked', 'liked')",-5.786496,-5.7581663,-3.2164288,-3.2161593,0.0002695
5,-1.6951334,-1.754539,"('distant', 'outgoing')",-0.40109402,-0.497592,-1.0481137,-1.1260655,-0.0779518
6,-1.9159852,-1.9485447,"('distant', 'open')",0.10664102,-0.046575557,-0.9046721,-0.9975601,-0.092888
7,-0.07113616,0.068281665,"('insensitive', 'sensitive')",0.3965199,0.41713357,0.1626919,0.2427076,0.0800157
8,-0.5294619,-0.6056875,"('unaffectionate', 'affectionate')",0.639717,0.4237969,0.0551275,-0.0909453,-0.1460728
9,-0.6707494,-0.6125674,"('unaffectionate', 'caring')",0.9186819,0.7837754,0.1239662,0.085604,-0.0383622
10,-0.45355558,-0.34917304,"('unsympathetic', 'sympathetic')",-0.1971579,-0.22334203,-0.3253568,-0.2862575,0.0390993
11,0.8222027,0.89006263,"('unhelpful', 'helpful')",1.7317331,1.7549882,1.2769679,1.3225254,0.0455575
12,0.8171392,1.0027671,"('unsupportive', 'supportive')",-1.5971779,-1.5394567,-0.3900193,-0.2683448,0.1216745
13,-0.44539845,-0.46809298,"('impolite', 'polite')",-0.3718535,-0.30889508,-0.408626,-0.388494,0.020132
14,0.55054855,0.5905069,"('antisocial', 'social')",-0.09487818,-0.05164369,0.2278352,0.2694316,0.0415964
15,-0.608722,-0.728597,"('boring', 'funny')",0.7242758,0.67093223,0.0577769,-0.0288324,-0.0866093
16,-1.7432182,-1.7052462,"('unpopular', 'popular')",0.31120643,0.34967637,-0.7160059,-0.6777849,0.038221
17,-0.032983936,0.10827173,"('nasty', 'nice')",-0.34863135,-0.34707588,-0.1908076,-0.1194021,0.0714055
18,0.25902283,0.36923224,"('disagreeable', 'welcoming')",-0.4157237,-0.44619358,-0.0783504,-0.0384807,0.0398697
19,-1.6623222,-1.6963692,"('inhospitable', 'hospitable')",-0.38850415,-0.4305648,-1.0254132,-1.063467,-0.0380538
20,0.6713803,0.6985451,"('rough', 'thoughtful')",1.230828,1.140825,0.9511042,0.9196851,-0.0314191
21,0.8432123,0.8473314,"('immoral', 'moral')",-0.46444395,-0.40403998,0.1893842,0.2216457,0.0322615
22,0.61654884,0.6257653,"('untrustworthy', 'trustworthy')",-0.79034436,-0.83209676,-0.0868978,-0.1031657,-0.0162679
23,0.69137996,0.7505263,"('insincere', 'sincere')",5.0565567,4.910802,2.8739684,2.8306642,-0.0433042
24,-0.57840145,-0.6069059,"('dishonest', 'honest')",0.5399354,0.4684503,-0.019233,-0.0692278,-0.0499948
25,-0.48029912,-0.55558926,"('egoistic', 'altruistic')",1.4246912,1.2835214,0.472196,0.3639661,-0.1082299
26,0.7246509,0.60155445,"('hardhearted', 'benevolent')",1.9193778,1.7245876,1.3220143,1.163071,-0.1589433
27,0.8580151,1.0578542,"('hardhearted', 'softhearted')",1.3031423,1.2257786,1.0805787,1.1418164,0.0612377
