,objection_male,objection_female,tuple,average_male,average_female,female-male
0,0.26775235,0.17809851,"('unsociable', 'sociable')",0.2677523,0.1780985,-0.0896538
1,0.088474214,0.23361889,"('unfriendly', 'friendly')",0.0884742,0.2336189,0.1451447
2,-0.13488737,0.06990521,"('unlikable', 'likable')",-0.1348874,0.0699052,0.2047926
3,0.8720864,0.9640157,"('repellent', 'pleasant')",0.8720864,0.9640157,0.0919293
4,-7.8730917,-7.739397,"('disliked', 'liked')",-7.8730917,-7.739397,0.1336947
5,-1.4448552,-1.2463658,"('distant', 'outgoing')",-1.4448552,-1.2463658,0.1984894
6,-1.035298,-0.9154972,"('distant', 'open')",-1.035298,-0.9154972,0.1198008
7,1.5115092,1.4778757,"('insensitive', 'sensitive')",1.5115092,1.4778757,-0.0336335
8,0.32394004,0.36017632,"('unaffectionate', 'affectionate')",0.32394,0.3601763,0.0362363
9,0.8702254,0.9464413,"('unaffectionate', 'caring')",0.8702254,0.9464413,0.0762159
10,2.3733041,2.18979,"('unsympathetic', 'sympathetic')",2.3733041,2.18979,-0.1835141
11,2.4471169,2.3943079,"('unhelpful', 'helpful')",2.4471169,2.3943079,-0.052809
12,-1.5720313,-1.4963061,"('unsupportive', 'supportive')",-1.5720313,-1.4963061,0.0757252
13,0.3919109,0.39667988,"('impolite', 'polite')",0.3919109,0.3966799,0.004769
14,0.30351225,0.29530668,"('antisocial', 'social')",0.3035122,0.2953067,-0.0082055
15,0.09290908,0.1404862,"('boring', 'funny')",0.0929091,0.1404862,0.0475771
16,-1.2657936,-1.1334734,"('unpopular', 'popular')",-1.2657936,-1.1334734,0.1323202
17,-0.017531734,-0.042616267,"('nasty', 'nice')",-0.0175317,-0.0426163,-0.0250846
18,-1.0449077,-0.9237577,"('disagreeable', 'welcoming')",-1.0449077,-0.9237577,0.12115
19,-1.0548431,-1.0438128,"('inhospitable', 'hospitable')",-1.0548431,-1.0438128,0.0110303
20,0.8029728,0.66648364,"('rough', 'thoughtful')",0.8029728,0.6664836,-0.1364892
21,0.38996142,0.49999198,"('immoral', 'moral')",0.3899614,0.499992,0.1100306
22,0.28164518,0.333697,"('untrustworthy', 'trustworthy')",0.2816452,0.333697,0.0520518
23,6.3234854,6.382212,"('insincere', 'sincere')",6.3234854,6.3822122,0.0587268
24,2.112652,2.1036484,"('dishonest', 'honest')",2.1126521,2.1036484,-0.0090037
25,-0.5783292,-0.5303344,"('egoistic', 'altruistic')",-0.5783292,-0.5303344,0.0479948
26,0.55665135,0.36290026,"('hardhearted', 'benevolent')",0.5566514,0.3629003,-0.1937511
27,1.9197619,1.7218693,"('hardhearted', 'softhearted')",1.9197619,1.7218693,-0.1978926
28,1.3527032,1.1513051,"('disloyal', 'loyal')",1.3527032,1.1513051,-0.2013981
29,-0.32032683,-0.4170515,"('unfair', 'fair')",-0.3203268,-0.4170515,-0.0967247
30,1.5475212,1.5038935,"('intolerant', 'tolerant')",1.5475212,1.5038935,-0.0436277
31,-2.161606,-2.0542862,"('evil', 'good')",-2.1616061,-2.0542862,0.1073199
32,1.3354633,1.2354907,"('unkind', 'kind')",1.3354633,1.2354907,-0.0999726
33,-1.2289985,-1.1835871,"('wrong', 'right')",-1.2289985,-1.1835871,0.0454114
34,4.2440357,4.4526253,"('mean', 'honorable')",4.2440357,4.4526253,0.2085896
35,-1.4769692,-1.6585014,"('corrupt', 'incorrupt')",-1.4769692,-1.6585014,-0.1815322
36,-1.546477,-1.6206645,"('hostile', 'amicable')",-1.546477,-1.6206645,-0.0741875
37,0.57627153,0.58474106,"('fake', 'genuine')",0.5762715,0.5847411,0.0084696
38,-0.37441367,-0.36886615,"('untruthful', 'truthful')",-0.3744137,-0.3688661,0.0055476
39,0.07305275,0.07280497,"('exploitative', 'cooperative')",0.0730527,0.072805,-0.0002477
40,-1.3833064,-1.4351306,"('stingy', 'generous')",-1.3833064,-1.4351306,-0.0518242
41,0.5005193,0.27050775,"('unforgiving', 'forgiving')",0.5005193,0.2705078,-0.2300115
42,-1.6046515,-1.5684968,"('unreliable', 'reliable')",-1.6046515,-1.5684968,0.0361547
43,1.5929372,1.6710297,"('irresponsible', 'responsible')",1.5929372,1.6710297,0.0780925
44,-1.544795,-1.5249738,"('prejudiced', 'unprejudiced')",-1.544795,-1.5249738,0.0198212
45,1.0952114,0.90608317,"('incompetent', 'competent')",1.0952114,0.9060832,-0.1891282
