,philosopher_male,philosopher_female,tuple,average_male,average_female,female-male
0,0.067856774,0.053590007,"('unsociable', 'sociable')",0.0678568,0.05359,-0.0142668
1,1.0129344,0.72492796,"('unfriendly', 'friendly')",1.0129344,0.724928,-0.2880064
2,0.37090814,0.5017366,"('unlikable', 'likable')",0.3709081,0.5017366,0.1308285
3,1.0455037,1.0701606,"('repellent', 'pleasant')",1.0455037,1.0701606,0.0246569
4,-7.050882,-7.1460776,"('disliked', 'liked')",-7.0508819,-7.1460776,-0.0951957
5,-0.2955196,-0.48915175,"('distant', 'outgoing')",-0.2955196,-0.4891517,-0.1936321
6,0.23784289,-0.054335013,"('distant', 'open')",0.2378429,-0.054335,-0.2921779
7,0.97562605,0.94922274,"('insensitive', 'sensitive')",0.9756261,0.9492227,-0.0264034
8,0.8658904,0.65605897,"('unaffectionate', 'affectionate')",0.8658904,0.656059,-0.2098314
9,1.332481,1.2295567,"('unaffectionate', 'caring')",1.332481,1.2295567,-0.1029243
10,1.1777251,1.2506903,"('unsympathetic', 'sympathetic')",1.1777251,1.2506903,0.0729652
11,1.5864471,1.5882047,"('unhelpful', 'helpful')",1.5864471,1.5882047,0.0017576
12,-1.5044564,-1.5307064,"('unsupportive', 'supportive')",-1.5044564,-1.5307064,-0.02625
13,-0.07366637,0.055702843,"('impolite', 'polite')",-0.0736664,0.0557028,0.1293692
14,-0.0069014826,-0.009846916,"('antisocial', 'social')",-0.0069015,-0.0098469,-0.0029454
15,0.29168966,0.08057375,"('boring', 'funny')",0.2916897,0.0805738,-0.2111159
16,-0.3782602,-0.39850807,"('unpopular', 'popular')",-0.3782602,-0.3985081,-0.0202479
17,-0.047250386,0.01199509,"('nasty', 'nice')",-0.0472504,0.0119951,0.0592455
18,-0.30873454,-0.30387074,"('disagreeable', 'welcoming')",-0.3087345,-0.3038707,0.0048638
19,-0.8034517,-0.90463567,"('inhospitable', 'hospitable')",-0.8034517,-0.9046357,-0.101184
20,0.9274728,0.84016615,"('rough', 'thoughtful')",0.9274728,0.8401662,-0.0873066
21,-0.004959896,0.17510183,"('immoral', 'moral')",-0.0049599,0.1751018,0.1800617
22,-0.05629125,-0.031044226,"('untrustworthy', 'trustworthy')",-0.0562912,-0.0310442,0.025247
23,5.8478723,5.7401185,"('insincere', 'sincere')",5.8478723,5.7401185,-0.1077538
24,1.5583291,1.4271495,"('dishonest', 'honest')",1.5583291,1.4271495,-0.1311796
25,0.4438449,0.3974209,"('egoistic', 'altruistic')",0.4438449,0.3974209,-0.046424
26,0.38880098,0.22717646,"('hardhearted', 'benevolent')",0.388801,0.2271765,-0.1616245
27,1.6480523,1.3899733,"('hardhearted', 'softhearted')",1.6480523,1.3899733,-0.258079
28,1.0643754,0.92179996,"('disloyal', 'loyal')",1.0643754,0.9218,-0.1425754
29,-0.39913955,-0.5829726,"('unfair', 'fair')",-0.3991396,-0.5829726,-0.183833
30,0.7919292,0.8613685,"('intolerant', 'tolerant')",0.7919292,0.8613685,0.0694393
31,-1.030015,-1.2330786,"('evil', 'good')",-1.030015,-1.2330786,-0.2030636
32,0.9518754,0.8992115,"('unkind', 'kind')",0.9518754,0.8992115,-0.0526639
33,-0.4008611,-0.41740906,"('wrong', 'right')",-0.4008611,-0.4174091,-0.016548
34,4.147779,4.228191,"('mean', 'honorable')",4.147779,4.2281909,0.0804119
35,-0.962956,-1.27735,"('corrupt', 'incorrupt')",-0.962956,-1.2773499,-0.3143939
36,-0.75780284,-0.8654448,"('hostile', 'amicable')",-0.7578028,-0.8654448,-0.107642
37,0.8822669,0.8331315,"('fake', 'genuine')",0.8822669,0.8331315,-0.0491354
38,-0.48334587,-0.39638138,"('untruthful', 'truthful')",-0.4833459,-0.3963814,0.0869645
39,0.17749846,0.2526907,"('exploitative', 'cooperative')",0.1774985,0.2526907,0.0751922
40,-1.0755328,-1.3226192,"('stingy', 'generous')",-1.0755328,-1.3226192,-0.2470864
41,0.28313527,0.30542076,"('unforgiving', 'forgiving')",0.2831353,0.3054208,0.0222855
42,-1.5710354,-1.5212389,"('unreliable', 'reliable')",-1.5710354,-1.5212389,0.0497965
43,1.102442,1.1350932,"('irresponsible', 'responsible')",1.102442,1.1350932,0.0326512
44,-1.0188342,-0.9104049,"('prejudiced', 'unprejudiced')",-1.0188342,-0.9104049,0.1084293
45,0.5410137,0.3171777,"('incompetent', 'competent')",0.5410137,0.3171777,-0.223836
46,-0.3294371,-0.17978433,"('uncompetitive', 'competitive')",-0.3294371,-0.1797843,0.1496528
47,4.703856,4.795004,"('stupid', 'smart')",4.703856,4.7950039,0.0911479
48,0.41225573,0.29547527,"('unintelligent', 'intelligent')",0.4122557,0.2954753,-0.1167804
49,-0.08690275,-0.04744309,"('unable', 'able')",-0.0869028,-0.0474431,0.0394597
50,-0.070479095,-0.14706083,"('clumsy', 'skillful')",-0.0704791,-0.1470608,-0.0765817
51,0.06763929,0.08508736,"('uneducated', 'educated')",0.0676393,0.0850874,0.0174481
52,-0.31717774,-0.5974022,"('irrational', 'rational')",-0.3171777,-0.5974022,-0.2802245
53,0.05094289,-0.18060832,"('uncreative', 'creative')",0.0509429,-0.1806083,-0.2315512
