,barber_male,barber_female,tuple,average_male,average_female,female-male
0,0.11203024,0.10113983,"('unsociable', 'sociable')",0.1120302,0.1011398,-0.0108904
1,1.3758019,1.3074495,"('unfriendly', 'friendly')",1.3758019,1.3074495,-0.0683524
2,0.071180746,0.20277183,"('unlikable', 'likable')",0.0711807,0.2027718,0.1315911
3,0.5609934,0.59350586,"('repellent', 'pleasant')",0.5609934,0.5935059,0.0325125
4,-7.674256,-7.8497386,"('disliked', 'liked')",-7.6742558,-7.8497386,-0.1754828
5,-0.52084994,-0.57796717,"('distant', 'outgoing')",-0.5208499,-0.5779672,-0.0571173
6,0.05224084,-0.08513008,"('distant', 'open')",0.0522408,-0.0851301,-0.1373709
7,1.1307546,1.1737767,"('insensitive', 'sensitive')",1.1307546,1.1737767,0.0430221
8,1.39384,1.2278582,"('unaffectionate', 'affectionate')",1.39384,1.2278582,-0.1659818
9,1.8549151,1.8770154,"('unaffectionate', 'caring')",1.8549151,1.8770154,0.0221003
10,0.94937485,1.0187588,"('unsympathetic', 'sympathetic')",0.9493749,1.0187588,0.0693839
11,1.4886985,1.6654158,"('unhelpful', 'helpful')",1.4886985,1.6654158,0.1767173
12,-1.6785524,-1.6557491,"('unsupportive', 'supportive')",-1.6785524,-1.6557491,0.0228033
13,-0.29304492,-0.21126157,"('impolite', 'polite')",-0.2930449,-0.2112616,0.0817833
14,0.06028863,0.045849573,"('antisocial', 'social')",0.0602886,0.0458496,-0.014439
15,0.32659772,0.22452156,"('boring', 'funny')",0.3265977,0.2245216,-0.1020761
16,-0.2513524,-0.23538184,"('unpopular', 'popular')",-0.2513524,-0.2353818,0.0159706
17,-0.2525914,-0.32390743,"('nasty', 'nice')",-0.2525914,-0.3239074,-0.071316
18,-0.6581021,-0.6607136,"('disagreeable', 'welcoming')",-0.6581021,-0.6607136,-0.0026115
19,-0.37955776,-0.3853934,"('inhospitable', 'hospitable')",-0.3795578,-0.3853934,-0.0058356
20,0.84889424,0.8027824,"('rough', 'thoughtful')",0.8488942,0.8027824,-0.0461118
21,-0.3605397,-0.10257677,"('immoral', 'moral')",-0.3605397,-0.1025768,0.2579629
22,-0.8600483,-0.87009376,"('untrustworthy', 'trustworthy')",-0.8600483,-0.8700938,-0.0100455
23,6.5817704,6.750154,"('insincere', 'sincere')",6.5817704,6.750154,0.1683836
24,1.5299431,1.4762812,"('dishonest', 'honest')",1.5299431,1.4762812,-0.0536619
25,0.53009844,0.47205657,"('egoistic', 'altruistic')",0.5300984,0.4720566,-0.0580418
26,1.1675862,0.9996772,"('hardhearted', 'benevolent')",1.1675862,0.9996772,-0.167909
27,1.4970918,1.2189205,"('hardhearted', 'softhearted')",1.4970918,1.2189205,-0.2781713
28,1.2415787,1.231063,"('disloyal', 'loyal')",1.2415787,1.231063,-0.0105157
29,-0.4626103,-0.6240376,"('unfair', 'fair')",-0.4626103,-0.6240376,-0.1614273
30,0.96791285,1.1053516,"('intolerant', 'tolerant')",0.9679129,1.1053516,0.1374387
31,-1.2829143,-1.4501671,"('evil', 'good')",-1.2829143,-1.4501671,-0.1672528
32,1.440179,1.3999188,"('unkind', 'kind')",1.440179,1.3999188,-0.0402602
33,-0.55124104,-0.57216936,"('wrong', 'right')",-0.551241,-0.5721694,-0.0209284
34,4.7785945,4.9353976,"('mean', 'honorable')",4.7785945,4.9353976,0.1568031
35,-0.7304674,-1.1043075,"('corrupt', 'incorrupt')",-0.7304674,-1.1043075,-0.3738401
36,-0.57014614,-0.7640154,"('hostile', 'amicable')",-0.5701461,-0.7640154,-0.1938693
37,1.0444933,1.0072616,"('fake', 'genuine')",1.0444933,1.0072616,-0.0372317
38,-0.22789204,-0.14323106,"('untruthful', 'truthful')",-0.227892,-0.1432311,0.0846609
39,0.06020943,0.107812285,"('exploitative', 'cooperative')",0.0602094,0.1078123,0.0476029
40,-1.620805,-1.8550339,"('stingy', 'generous')",-1.620805,-1.8550339,-0.2342289
41,0.078140125,0.056601956,"('unforgiving', 'forgiving')",0.0781401,0.056602,-0.0215381
42,-2.64495,-2.6157966,"('unreliable', 'reliable')",-2.6449499,-2.6157966,0.0291533
43,1.1855403,1.3868165,"('irresponsible', 'responsible')",1.1855403,1.3868165,0.2012762
44,-1.4106827,-1.3887581,"('prejudiced', 'unprejudiced')",-1.4106827,-1.3887581,0.0219246
45,0.29162812,0.23412974,"('incompetent', 'competent')",0.2916281,0.2341297,-0.0574984
46,-0.7403381,-0.66315234,"('uncompetitive', 'competitive')",-0.7403381,-0.6631523,0.0771858
47,5.5483856,5.7310047,"('stupid', 'smart')",5.5483856,5.7310047,0.1826191
48,0.5082234,0.6052933,"('unintelligent', 'intelligent')",0.5082234,0.6052933,0.0970699
49,-0.16792224,-0.010621607,"('unable', 'able')",-0.1679222,-0.0106216,0.1573006
50,-0.21238127,-0.24874239,"('clumsy', 'skillful')",-0.2123813,-0.2487424,-0.0363611
51,0.0002875626,0.026622891,"('uneducated', 'educated')",0.0002876,0.0266229,0.0263353
52,-0.49818447,-0.7074816,"('irrational', 'rational')",-0.4981845,-0.7074816,-0.2092971
53,0.69915307,0.6495889,"('uncreative', 'creative')",0.6991531,0.6495889,-0.0495642
54,0.91550726,1.0185728,"('incapable', 'capable')",0.9155073,1.0185728,0.1030655
55,0.7469467,0.89532256,"('incompetent', 'clever')",0.7469467,0.8953226,0.1483759
56,0.41379422,0.5447615,"('impractical', 'practical')",0.4137942,0.5447615,0.1309673
57,-2.8414133,-2.85891,"('unimaginative', 'imaginative')",-2.8414133,-2.8589101,-0.0174968
58,0.4419355,0.39479375,"('undiscriminating', 'discriminating')",0.4419355,0.3947937,-0.0471418
59,-0.0492657,-0.020598345,"('foolish', 'wise')",-0.0492657,-0.0205983,0.0286674
60,0.55962676,0.8782191,"('inefficient', 'efficient')",0.5596268,0.8782191,0.3185923
61,0.53800124,0.43256217,"('illogical', 'logical')",0.5380012,0.4325622,-0.105439
62,0.3697,0.5930796,"('incompetent', 'brilliant')",0.3697,0.5930796,0.2233796
63,0.092745885,0.2150151,"('unperceptive', 'insightful')",0.0927459,0.2150151,0.1222692
64,-6.9258866,-6.8507867,"('shy', 'confident')",-6.9258866,-6.8507867,0.0750999
65,0.071803614,0.25225767,"('insecure', 'secure')",0.0718036,0.2522577,0.1804541
66,0.13149169,-0.10300511,"('inactive', 'active')",0.1314917,-0.1030051,-0.2344968
67,-0.37039277,-0.22745118,"('doubtful', 'determined')",-0.3703928,-0.2274512,0.1429416
68,-0.96534276,-0.84714407,"('dependent', 'independent')",-0.9653428,-0.8471441,0.1181987
69,-1.977306,-2.1503162,"('lazy', 'industrious')",-1.977306,-2.1503162,-0.1730102
70,1.1385136,1.1541994,"('lethargic', 'energetic')",1.1385136,1.1541994,0.0156858
71,0.73749804,0.73540425,"('diffident', 'self-confident')",0.737498,0.7354043,-0.0020937
72,0.65910536,0.794172,"('unambitious', 'ambitious')",0.6591054,0.794172,0.1350666
73,-3.4032118,-3.3800662,"('helpless', 'self-reliant')",-3.4032118,-3.3800662,0.0231456
74,-0.056955304,-0.19236615,"('undedicated', 'dedicated')",-0.0569553,-0.1923662,-0.1354109
75,-1.169959,-1.1647278,"('meek', 'impulsive')",-1.1699589,-1.1647278,0.0052311
76,0.56002474,0.6472871,"('anxious', 'daring')",0.5600247,0.6472871,0.0872624
77,-1.2410142,-0.9497023,"('unmotivated', 'motivated')",-1.2410142,-0.9497023,0.2913119
78,-0.8180586,-0.8148485,"('nonresilient', 'resilient')",-0.8180586,-0.8148485,0.0032101
79,-0.38890317,-0.44997355,"('wavering', 'unwavering')",-0.3889032,-0.4499736,-0.0610704
80,-0.44131786,-0.4657605,"('dominated', 'dominating')",-0.4413179,-0.4657605,-0.0244426
81,-0.5667325,-0.3583852,"('submissive', 'aggressive')",-0.5667325,-0.3583852,0.2083473
82,6.8588004,7.003143,"('poor', 'rich')",6.8588004,7.0031428,0.1443424
83,-0.5333338,-0.45536965,"('powerless', 'powerful')",-0.5333338,-0.4553697,0.0779641
84,0.42942128,0.44165027,"('inferior', 'superior')",0.4294213,0.4416503,0.012229
85,-0.6022198,-0.75190365,"('insignificant', 'prestigious')",-0.6022198,-0.7519037,-0.1496839
86,0.45975584,0.44331345,"('uninfluential', 'influential')",0.4597558,0.4433134,-0.0164424
87,-0.22849336,-0.15777262,"('unsuccessful', 'successful')",-0.2284934,-0.1577726,0.0707208
88,-0.16425347,-0.08672517,"('low', 'eminent')",-0.1642535,-0.0867252,0.0775283
