,teleflex_male,teleflex_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.6425687,-1.7406917,"('unsociable', 'sociable')",-0.23212968,-0.44349635,-0.9373492,-1.0920939,-0.1547447
1,-1.6734624,-1.790262,"('unfriendly', 'friendly')",1.2165443,1.1212394,-0.2284591,-0.3345113,-0.1060522
2,0.46928754,0.5059152,"('unlikable', 'likable')",0.9662877,1.0718728,0.7177876,0.7888941,0.0711065
3,-0.58360183,-0.53062123,"('repellent', 'pleasant')",0.18238492,0.18109319,-0.2006085,-0.174764,0.0258445
4,0.18643618,0.12710147,"('disliked', 'liked')",-5.40787,-5.514264,-2.6107168,-2.6935813,-0.0828645
5,-0.4554625,-0.43876034,"('distant', 'outgoing')",-0.37854895,-0.2766842,-0.4170057,-0.3577223,0.0592834
6,-0.6882019,-0.71718097,"('distant', 'open')",-0.20802584,-0.114127934,-0.4481139,-0.4156545,0.0324594
7,-1.0437202,-1.0275594,"('insensitive', 'sensitive')",-0.021565259,-0.0046188347,-0.5326427,-0.5160891,0.0165536
8,-1.3073194,-1.3587319,"('unaffectionate', 'affectionate')",0.24931553,0.27834666,-0.529002,-0.5401926,-0.0111906
9,-1.6199895,-1.6867069,"('unaffectionate', 'caring')",0.61633706,0.6442794,-0.5018262,-0.5212138,-0.0193876
10,-1.9101889,-1.957148,"('unsympathetic', 'sympathetic')",-0.7516845,-0.83564657,-1.3309367,-1.3963972,-0.0654605
11,-0.97886914,-0.9507343,"('unhelpful', 'helpful')",1.533117,1.5920315,0.277124,0.3206486,0.0435246
12,-1.6825522,-1.5929854,"('unsupportive', 'supportive')",-1.9962789,-1.9224757,-1.8394156,-1.7577305,0.0816851
13,-0.700935,-0.70267385,"('impolite', 'polite')",-0.4401561,-0.4701311,-0.5705456,-0.5864025,-0.0158569
14,0.12719984,0.15712692,"('antisocial', 'social')",-0.24213898,-0.36751258,-0.0574696,-0.1051928,-0.0477232
15,0.7947979,0.70284855,"('boring', 'funny')",0.84155935,0.7839817,0.8181787,0.7434151,-0.0747636
16,0.01426968,-0.024105731,"('unpopular', 'popular')",0.8028194,0.78601587,0.4085445,0.3809551,-0.0275894
17,-0.08243808,-0.032433476,"('nasty', 'nice')",-0.4459679,-0.46828413,-0.264203,-0.2503588,0.0138442
18,-0.3257101,-0.33425733,"('disagreeable', 'welcoming')",-0.3772835,-0.39138886,-0.3514968,-0.3628231,-0.0113263
19,-0.877328,-0.9368032,"('inhospitable', 'hospitable')",-0.3972067,-0.28599727,-0.6372674,-0.6114002,0.0258672
20,-0.26576388,-0.2626708,"('rough', 'thoughtful')",1.0201554,0.9450219,0.3771958,0.3411756,-0.0360202
21,-0.13183916,-0.21400031,"('immoral', 'moral')",-0.24547963,-0.3669058,-0.1886594,-0.2904531,-0.1017937
22,-0.6369772,-0.6807484,"('untrustworthy', 'trustworthy')",-0.74711174,-0.9114575,-0.6920445,-0.7961029,-0.1040584
23,-1.5447572,-1.6159663,"('insincere', 'sincere')",4.808103,4.747096,1.6316729,1.5655649,-0.066108
24,-0.828777,-0.8200215,"('dishonest', 'honest')",0.5468988,0.5165142,-0.1409391,-0.1517537,-0.0108146
25,0.50783604,0.44409314,"('egoistic', 'altruistic')",1.3822895,1.3446738,0.9450628,0.8943834,-0.0506794
26,-0.33937427,-0.40728337,"('hardhearted', 'benevolent')",1.737272,1.6184479,0.6989489,0.6055822,-0.0933667
27,-1.1025383,-1.0263371,"('hardhearted', 'softhearted')",0.697464,0.72207534,-0.2025372,-0.1521309,0.0504063
28,-0.7228179,-0.8802879,"('disloyal', 'loyal')",0.6831504,0.5172458,-0.0198337,-0.181521,-0.1616873
29,-0.47691292,-0.5001368,"('unfair', 'fair')",-0.6430055,-0.77636576,-0.5599592,-0.6382513,-0.0782921
30,-0.27927637,-0.27640107,"('intolerant', 'tolerant')",1.5844461,1.4630561,0.6525849,0.5933275,-0.0592574
31,-0.41576442,-0.3749142,"('evil', 'good')",-1.1417068,-1.2108992,-0.7787356,-0.7929067,-0.0141711
32,-0.0630929,-0.09783697,"('unkind', 'kind')",0.9657916,0.8137093,0.4513493,0.3579362,-0.0934131
33,0.06633144,-0.020537872,"('wrong', 'right')",-0.53871423,-0.5740405,-0.2361914,-0.2972892,-0.0610978
34,-0.46890852,-0.35933536,"('mean', 'honorable')",5.3285923,5.535969,2.429842,2.5883167,0.1584747
35,1.2422167,1.1476514,"('corrupt', 'incorrupt')",-0.09273866,-0.20709033,0.574739,0.4702806,-0.1044584
36,-0.15704733,-0.33933976,"('hostile', 'amicable')",0.22876455,0.0014102161,0.0358586,-0.1689648,-0.2048234
37,-0.48948932,-0.4514434,"('fake', 'genuine')",-0.14439403,-0.08216122,-0.3169417,-0.2668023,0.0501394
38,-0.89920926,-0.9250842,"('untruthful', 'truthful')",-0.27344877,-0.18919449,-0.586329,-0.5571393,0.0291897
39,0.9367371,0.91144687,"('exploitative', 'cooperative')",0.12633029,0.07287812,0.5315337,0.4921625,-0.0393712
40,-0.06863238,-0.052958593,"('stingy', 'generous')",-1.7105249,-1.8216269,-0.8895786,-0.9372928,-0.0477142
41,-0.70764446,-0.72397953,"('unforgiving', 'forgiving')",0.20414698,0.058213376,-0.2517487,-0.3328831,-0.0811344
42,0.20594558,0.28789708,"('unreliable', 'reliable')",-2.9192376,-2.8335829,-1.3566461,-1.2728429,0.0838032
43,-1.4393715,-1.3619318,"('irresponsible', 'responsible')",0.19408485,0.26095235,-0.6226433,-0.5504897,0.0721536
44,1.0989192,1.1328039,"('prejudiced', 'unprejudiced')",-1.1738005,-1.117107,-0.0374407,0.0078484,0.0452891
45,-1.597446,-1.5561491,"('incompetent', 'competent')",-0.2517205,-0.28266698,-0.9245832,-0.9194081,0.0051751
46,-1.4506625,-1.4747496,"('uncompetitive', 'competitive')",-0.50911784,-0.57408893,-0.9798902,-1.0244193,-0.0445291
47,0.09747813,0.20146072,"('stupid', 'smart')",5.0650516,5.215511,2.5812647,2.7084858,0.1272211
48,-0.9271705,-0.94025105,"('unintelligent', 'intelligent')",0.7657609,0.73208165,-0.0807048,-0.1040847,-0.0233799
49,-0.36563608,-0.32338607,"('unable', 'able')",0.020480342,0.144476,-0.1725779,-0.089455,0.0831229
50,0.26344275,0.25676638,"('clumsy', 'skillful')",0.12656267,0.16154838,0.1950027,0.2091574,0.0141547
51,-0.45043087,-0.531121,"('uneducated', 'educated')",0.6514785,0.54919106,0.1005238,0.009035,-0.0914888
52,0.15966499,-0.061358448,"('irrational', 'rational')",0.29634967,0.14161612,0.2280073,0.0401288,-0.1878785
53,-0.94234765,-1.0551847,"('uncreative', 'creative')",0.7521492,0.7095259,-0.0950992,-0.1728294,-0.0777302
54,-0.95084935,-1.0526406,"('incapable', 'capable')",0.87639976,0.9492641,-0.0372248,-0.0516882,-0.0144634
55,-1.2291083,-1.201123,"('incompetent', 'clever')",0.09016544,0.04758126,-0.5694714,-0.5767708,-0.0072994
56,0.4317718,0.38457978,"('impractical', 'practical')",0.23369077,0.20937172,0.3327313,0.2969757,-0.0357556
57,-1.0073917,-1.10084,"('unimaginative', 'imaginative')",-2.262182,-2.3849285,-1.6347868,-1.7428842,-0.1080974
58,-1.0563686,-1.1176444,"('undiscriminating', 'discriminating')",-0.30803373,-0.34346685,-0.6822011,-0.7305557,-0.0483546
59,0.56963027,0.5402042,"('foolish', 'wise')",0.51388264,0.48432657,0.5417565,0.5122654,-0.0294911
60,-0.48966113,-0.40635985,"('inefficient', 'efficient')",-0.11001745,0.012404952,-0.2998393,-0.1969775,0.1028618
61,-0.5500611,-0.682665,"('illogical', 'logical')",0.24122287,0.052259248,-0.1544191,-0.3152029,-0.1607838
62,-0.7177542,-0.6073786,"('incompetent', 'brilliant')",0.1695053,0.35145608,-0.2741244,-0.1279613,0.1461631
63,-1.5420527,-1.5016819,"('unperceptive', 'insightful')",0.76763564,0.8645566,-0.3872086,-0.3185627,0.0686459
64,0.12745735,0.1457554,"('shy', 'confident')",-5.6308136,-5.7278996,-2.7516782,-2.7910721,-0.0393939
65,-0.4765398,-0.5360489,"('insecure', 'secure')",-0.20291555,-0.3001783,-0.3397277,-0.4181136,-0.0783859
66,-0.4163707,-0.44531304,"('inactive', 'active')",0.43065977,0.45088485,0.0071445,0.0027859,-0.0043586
67,0.7025606,0.70019495,"('doubtful', 'determined')",-0.27864155,-0.25459456,0.2119595,0.2228002,0.0108407
68,-0.6667165,-0.7503154,"('dependent', 'independent')",-0.44026196,-0.4895401,-0.5534892,-0.6199278,-0.0664386
69,1.2098895,1.2066596,"('lazy', 'industrious')",-0.38710812,-0.30528116,0.4113907,0.4506892,0.0392985
70,-0.9626729,-0.9014662,"('lethargic', 'energetic')",0.3510514,0.42054638,-0.3058107,-0.2404599,0.0653508
71,-0.0871452,-0.034395248,"('diffident', 'self-confident')",0.47134227,0.5138038,0.1920985,0.2397043,0.0476058
72,-0.39845127,-0.3350037,"('unambitious', 'ambitious')",-1.199804,-1.1041136,-0.7991276,-0.7195587,0.0795689
73,0.6576383,0.6453652,"('helpless', 'self-reliant')",-2.770013,-2.737132,-1.0561874,-1.0458834,0.010304
74,-0.6458185,-0.65235764,"('undedicated', 'dedicated')",0.086849436,0.091662586,-0.2794845,-0.2803475,-0.000863
75,0.41679806,0.46634817,"('meek', 'impulsive')",-0.27664155,-0.15700778,0.0700783,0.1546702,0.0845919
76,0.1484847,0.22483867,"('anxious', 'daring')",0.32718027,0.3826118,0.2378325,0.3037252,0.0658927
77,-0.3889196,-0.4295228,"('unmotivated', 'motivated')",-0.99334955,-0.94460547,-0.6911346,-0.6870642,0.0040704
78,-1.5073755,-1.4641749,"('nonresilient', 'resilient')",-0.09224593,0.005986966,-0.7998107,-0.729094,0.0707167
79,-0.16056308,-0.24636248,"('wavering', 'unwavering')",-0.30382708,-0.2561945,-0.2321951,-0.2512785,-0.0190834
80,0.23607127,0.24996346,"('dominated', 'dominating')",-1.2599126,-1.2082103,-0.5119207,-0.4791234,0.0327973
81,0.09573724,0.11706351,"('submissive', 'aggressive')",-0.50452703,-0.5400412,-0.2043949,-0.2114888,-0.0070939
82,-0.15665191,-0.18463448,"('poor', 'rich')",5.8250484,5.909481,2.8341982,2.8624232,0.028225
83,-0.121646374,-0.15824783,"('powerless', 'powerful')",-0.818213,-0.8597537,-0.4699297,-0.5090008,-0.0390711
84,0.053812318,-0.0018778183,"('inferior', 'superior')",0.8804809,0.8147539,0.4671466,0.406438,-0.0607086
85,-0.26006687,-0.31543803,"('insignificant', 'prestigious')",0.6580014,0.6656475,0.1989673,0.1751047,-0.0238626
86,-1.9598583,-2.1219637,"('uninfluential', 'influential')",-0.11275201,-0.29733926,-1.0363052,-1.2096515,-0.1733463
87,0.28376836,0.23434085,"('unsuccessful', 'successful')",1.167757,1.1789075,0.7257627,0.7066242,-0.0191385
88,-0.31864855,-0.40665358,"('low', 'eminent')",0.45629108,0.4081686,0.0688213,0.0007575,-0.0680638
