,monument_male,monument_female,tuple,average_male,average_female,female-male
0,0.3488816,0.19028871,"('unsociable', 'sociable')",0.3488816,0.1902887,-0.1585929
1,1.0409687,1.0162657,"('unfriendly', 'friendly')",1.0409687,1.0162657,-0.024703
2,0.012550129,0.08417615,"('unlikable', 'likable')",0.0125501,0.0841762,0.0716261
3,0.7024469,0.7889145,"('repellent', 'pleasant')",0.7024469,0.7889145,0.0864676
4,-7.421191,-7.5734825,"('disliked', 'liked')",-7.4211912,-7.5734825,-0.1522913
5,-1.4148108,-1.2670776,"('distant', 'outgoing')",-1.4148108,-1.2670776,0.1477332
6,-0.66541404,-0.6394952,"('distant', 'open')",-0.665414,-0.6394952,0.0259188
7,1.8261796,1.6890523,"('insensitive', 'sensitive')",1.8261796,1.6890523,-0.1371273
8,1.1828539,1.1190464,"('unaffectionate', 'affectionate')",1.1828539,1.1190464,-0.0638075
9,1.6747612,1.7255708,"('unaffectionate', 'caring')",1.6747612,1.7255708,0.0508096
10,1.4971659,1.4615444,"('unsympathetic', 'sympathetic')",1.4971659,1.4615444,-0.0356215
11,1.6340176,1.6918378,"('unhelpful', 'helpful')",1.6340176,1.6918378,0.0578202
12,-1.4485365,-1.4887921,"('unsupportive', 'supportive')",-1.4485365,-1.4887921,-0.0402556
13,-0.08353482,-0.08906914,"('impolite', 'polite')",-0.0835348,-0.0890691,-0.0055343
14,0.4821927,0.39016557,"('antisocial', 'social')",0.4821927,0.3901656,-0.0920271
15,0.37927452,0.28627786,"('boring', 'funny')",0.3792745,0.2862779,-0.0929966
16,-0.2078223,-0.23966792,"('unpopular', 'popular')",-0.2078223,-0.2396679,-0.0318456
17,-0.2578696,-0.24793532,"('nasty', 'nice')",-0.2578696,-0.2479353,0.0099343
18,-0.96141183,-0.8299207,"('disagreeable', 'welcoming')",-0.9614118,-0.8299207,0.1314911
19,-0.9523781,-0.916928,"('inhospitable', 'hospitable')",-0.9523781,-0.916928,0.0354501
20,0.9801871,0.95709187,"('rough', 'thoughtful')",0.9801871,0.9570919,-0.0230952
21,-0.20250088,-0.029172055,"('immoral', 'moral')",-0.2025009,-0.0291721,0.1733288
22,-0.35794163,-0.3806365,"('untrustworthy', 'trustworthy')",-0.3579416,-0.3806365,-0.0226949
23,6.403591,6.477123,"('insincere', 'sincere')",6.4035912,6.4771228,0.0735316
24,1.5715163,1.5140061,"('dishonest', 'honest')",1.5715163,1.5140061,-0.0575102
25,0.41348115,0.40301982,"('egoistic', 'altruistic')",0.4134811,0.4030198,-0.0104613
26,1.4359087,1.1871611,"('hardhearted', 'benevolent')",1.4359087,1.1871611,-0.2487476
27,1.3911386,1.3280522,"('hardhearted', 'softhearted')",1.3911386,1.3280522,-0.0630864
28,1.721044,1.6511993,"('disloyal', 'loyal')",1.7210439,1.6511993,-0.0698446
29,-0.44328958,-0.5715631,"('unfair', 'fair')",-0.4432896,-0.5715631,-0.1282735
30,0.795402,0.8934856,"('intolerant', 'tolerant')",0.795402,0.8934856,0.0980836
31,-1.5315509,-1.5325735,"('evil', 'good')",-1.5315509,-1.5325735,-0.0010226
32,1.7886593,1.6015277,"('unkind', 'kind')",1.7886593,1.6015277,-0.1871316
33,-0.5908051,-0.7312487,"('wrong', 'right')",-0.5908051,-0.7312487,-0.1404436
34,4.654257,4.7780766,"('mean', 'honorable')",4.6542568,4.7780766,0.1238198
