,laboratory_male,laboratory_female,tuple,average_male,average_female,female-male
0,-0.50150585,-0.5593912,"('unsociable', 'sociable')",-0.5015059,-0.5593912,-0.0578853
1,2.0579362,1.9464449,"('unfriendly', 'friendly')",2.0579362,1.9464449,-0.1114913
2,0.3157111,0.40361702,"('unlikable', 'likable')",0.3157111,0.403617,0.0879059
3,-0.19964926,-0.050280347,"('repellent', 'pleasant')",-0.1996493,-0.0502803,0.149369
4,-6.9159617,-7.2134304,"('disliked', 'liked')",-6.9159617,-7.2134304,-0.2974687
5,0.11363478,0.10791387,"('distant', 'outgoing')",0.1136348,0.1079139,-0.0057209
6,0.6563863,0.6099066,"('distant', 'open')",0.6563863,0.6099066,-0.0464797
7,0.57453364,0.6402279,"('insensitive', 'sensitive')",0.5745336,0.6402279,0.0656943
8,1.7912893,1.7112427,"('unaffectionate', 'affectionate')",1.7912893,1.7112427,-0.0800466
9,1.7797036,1.7890823,"('unaffectionate', 'caring')",1.7797036,1.7890823,0.0093787
10,-0.17698137,-0.06655197,"('unsympathetic', 'sympathetic')",-0.1769814,-0.066552,0.1104294
11,1.5661833,1.6741905,"('unhelpful', 'helpful')",1.5661833,1.6741905,0.1080072
12,-1.5204389,-1.5551081,"('unsupportive', 'supportive')",-1.5204389,-1.5551081,-0.0346692
13,-0.94970834,-0.77551997,"('impolite', 'polite')",-0.9497083,-0.77552,0.1741883
14,-0.2181797,-0.20094925,"('antisocial', 'social')",-0.2181797,-0.2009493,0.0172304
15,0.82172936,0.71168745,"('boring', 'funny')",0.8217294,0.7116874,-0.110042
16,-0.03222233,-0.13021457,"('unpopular', 'popular')",-0.0322223,-0.1302146,-0.0979923
17,0.22929356,0.26796898,"('nasty', 'nice')",0.2292936,0.267969,0.0386754
18,-0.35482776,-0.36576045,"('disagreeable', 'welcoming')",-0.3548278,-0.3657604,-0.0109326
19,-0.04161913,0.006807614,"('inhospitable', 'hospitable')",-0.0416191,0.0068076,0.0484267
20,0.6559574,0.5998244,"('rough', 'thoughtful')",0.6559574,0.5998244,-0.056133
21,-1.4513557,-1.2377317,"('immoral', 'moral')",-1.4513557,-1.2377317,0.213624
22,-0.82904506,-0.7904863,"('untrustworthy', 'trustworthy')",-0.8290451,-0.7904863,0.0385588
23,6.013381,6.2502956,"('insincere', 'sincere')",6.013381,6.2502956,0.2369146
24,0.9124765,0.9376214,"('dishonest', 'honest')",0.9124765,0.9376214,0.0251449
25,1.4441519,1.4221014,"('egoistic', 'altruistic')",1.4441519,1.4221014,-0.0220505
26,2.2166538,2.0480587,"('hardhearted', 'benevolent')",2.2166538,2.0480587,-0.1685951
27,1.7109021,1.5795583,"('hardhearted', 'softhearted')",1.7109021,1.5795583,-0.1313438
28,1.3958788,1.2610315,"('disloyal', 'loyal')",1.3958788,1.2610315,-0.1348473
29,-0.18125382,-0.37100378,"('unfair', 'fair')",-0.1812538,-0.3710038,-0.18975
30,0.27626342,0.36087447,"('intolerant', 'tolerant')",0.2762634,0.3608745,0.0846111
31,-0.16367361,-0.30618566,"('evil', 'good')",-0.1636736,-0.3061857,-0.1425121
32,0.9815802,0.95572513,"('unkind', 'kind')",0.9815802,0.9557251,-0.0258551
33,0.27997637,0.15113026,"('wrong', 'right')",0.2799764,0.1511303,-0.1288461
34,4.8290973,5.0884366,"('mean', 'honorable')",4.8290973,5.0884366,0.2593393
35,0.004839829,-0.2839699,"('corrupt', 'incorrupt')",0.0048398,-0.2839699,-0.2888097
36,0.16732974,-0.08831665,"('hostile', 'amicable')",0.1673297,-0.0883166,-0.2556463
37,0.2679303,0.32310507,"('fake', 'genuine')",0.2679303,0.3231051,0.0551748
38,0.25639737,0.30923942,"('untruthful', 'truthful')",0.2563974,0.3092394,0.052842
39,-0.050594114,0.083958,"('exploitative', 'cooperative')",-0.0505941,0.083958,0.1345521
40,-1.4873174,-1.7376901,"('stingy', 'generous')",-1.4873174,-1.7376901,-0.2503727
41,0.7495914,0.5653938,"('unforgiving', 'forgiving')",0.7495914,0.5653938,-0.1841976
42,-3.186628,-3.203084,"('unreliable', 'reliable')",-3.1866281,-3.203084,-0.0164559
43,0.59101975,0.69713765,"('irresponsible', 'responsible')",0.5910197,0.6971377,0.106118
44,-1.5173116,-1.4467043,"('prejudiced', 'unprejudiced')",-1.5173116,-1.4467043,0.0706073
45,0.12582138,-0.026676547,"('incompetent', 'competent')",0.1258214,-0.0266765,-0.1524979
46,-1.5035708,-1.6266044,"('uncompetitive', 'competitive')",-1.5035708,-1.6266044,-0.1230336
47,5.083984,5.3170414,"('stupid', 'smart')",5.0839839,5.3170414,0.2330575
48,0.20701909,0.19447184,"('unintelligent', 'intelligent')",0.2070191,0.1944718,-0.0125473
49,-0.4322996,-0.23492812,"('unable', 'able')",-0.4322996,-0.2349281,0.1973715
50,-0.5134682,-0.5248235,"('clumsy', 'skillful')",-0.5134682,-0.5248235,-0.0113553
51,-0.21431011,-0.19174981,"('uneducated', 'educated')",-0.2143101,-0.1917498,0.0225603
52,0.7788175,0.5906166,"('irrational', 'rational')",0.7788175,0.5906166,-0.1882009
53,0.6193112,0.5464948,"('uncreative', 'creative')",0.6193112,0.5464948,-0.0728164
54,0.9890658,1.1662525,"('incapable', 'capable')",0.9890658,1.1662525,0.1771867
