,elk_male,elk_female,tuple,average_male,average_female,female-male
0,-0.22377321,-0.3195768,"('unsociable', 'sociable')",-0.2237732,-0.3195768,-0.0958036
1,1.1567925,1.2312465,"('unfriendly', 'friendly')",1.1567925,1.2312465,0.074454
2,0.27862877,0.3431097,"('unlikable', 'likable')",0.2786288,0.3431097,0.0644809
3,0.5597848,0.5805274,"('repellent', 'pleasant')",0.5597848,0.5805274,0.0207426
4,-7.1958895,-7.2368836,"('disliked', 'liked')",-7.1958895,-7.2368836,-0.0409941
5,-0.36033377,-0.2702583,"('distant', 'outgoing')",-0.3603338,-0.2702583,0.0900755
6,0.26135182,0.30269086,"('distant', 'open')",0.2613518,0.3026909,0.0413391
7,0.69573236,0.7240157,"('insensitive', 'sensitive')",0.6957324,0.7240157,0.0282833
8,1.2637854,1.2216914,"('unaffectionate', 'affectionate')",1.2637854,1.2216914,-0.042094
9,1.4435664,1.4564037,"('unaffectionate', 'caring')",1.4435664,1.4564037,0.0128373
10,0.7542686,0.6939715,"('unsympathetic', 'sympathetic')",0.7542686,0.6939715,-0.0602971
11,1.2477721,1.2700653,"('unhelpful', 'helpful')",1.2477721,1.2700653,0.0222932
12,-1.5634704,-1.587409,"('unsupportive', 'supportive')",-1.5634704,-1.587409,-0.0239386
13,-0.6340849,-0.6899544,"('impolite', 'polite')",-0.6340849,-0.6899544,-0.0558695
14,0.02115251,-0.07728186,"('antisocial', 'social')",0.0211525,-0.0772819,-0.0984344
15,0.43218222,0.37892506,"('boring', 'funny')",0.4321822,0.3789251,-0.0532571
16,-0.54260635,-0.46908373,"('unpopular', 'popular')",-0.5426064,-0.4690837,0.0735227
17,-0.5002607,-0.45106226,"('nasty', 'nice')",-0.5002607,-0.4510623,0.0491984
18,-0.03283295,-0.09488705,"('disagreeable', 'welcoming')",-0.032833,-0.094887,-0.062054
19,-0.32249814,-0.2658868,"('inhospitable', 'hospitable')",-0.3224981,-0.2658868,0.0566113
20,0.73509717,0.68775207,"('rough', 'thoughtful')",0.7350972,0.6877521,-0.0473451
21,-0.47272414,-0.44811085,"('immoral', 'moral')",-0.4727241,-0.4481108,0.0246133
22,-0.38869885,-0.44246432,"('untrustworthy', 'trustworthy')",-0.3886988,-0.4424643,-0.0537655
23,6.226615,6.2188487,"('insincere', 'sincere')",6.226615,6.2188487,-0.0077663
24,1.702533,1.5319322,"('dishonest', 'honest')",1.702533,1.5319322,-0.1706008
25,0.84511346,0.83934104,"('egoistic', 'altruistic')",0.8451135,0.839341,-0.0057725
26,0.7098086,0.6846578,"('hardhearted', 'benevolent')",0.7098086,0.6846578,-0.0251508
27,1.4569988,1.3177595,"('hardhearted', 'softhearted')",1.4569988,1.3177595,-0.1392393
28,0.96031064,0.93693966,"('disloyal', 'loyal')",0.9603106,0.9369397,-0.0233709
29,-0.5897699,-0.66435444,"('unfair', 'fair')",-0.5897699,-0.6643544,-0.0745845
30,0.95053536,0.88100964,"('intolerant', 'tolerant')",0.9505354,0.8810096,-0.0695258
31,-1.0721904,-0.9380413,"('evil', 'good')",-1.0721904,-0.9380413,0.1341491
32,0.79056376,0.69937,"('unkind', 'kind')",0.7905638,0.69937,-0.0911938
33,-0.6766039,-0.6527439,"('wrong', 'right')",-0.6766039,-0.6527439,0.02386
34,4.7948236,4.8888526,"('mean', 'honorable')",4.7948236,4.8888526,0.094029
35,-0.5179181,-0.6861028,"('corrupt', 'incorrupt')",-0.5179181,-0.6861028,-0.1681847
36,-0.67033094,-0.622663,"('hostile', 'amicable')",-0.6703309,-0.622663,0.0476679
37,0.94903874,0.9874297,"('fake', 'genuine')",0.9490387,0.9874297,0.038391
38,-0.39245546,-0.33510417,"('untruthful', 'truthful')",-0.3924555,-0.3351042,0.0573513
39,0.65638155,0.5768056,"('exploitative', 'cooperative')",0.6563815,0.5768056,-0.0795759
40,-1.064633,-1.2284049,"('stingy', 'generous')",-1.064633,-1.2284049,-0.1637719
41,-0.025445122,-0.03999135,"('unforgiving', 'forgiving')",-0.0254451,-0.0399913,-0.0145462
42,-2.2772455,-2.3464587,"('unreliable', 'reliable')",-2.2772455,-2.3464587,-0.0692132
43,1.0463316,1.0138732,"('irresponsible', 'responsible')",1.0463316,1.0138732,-0.0324584
44,-1.0143431,-1.0337026,"('prejudiced', 'unprejudiced')",-1.0143431,-1.0337026,-0.0193595
45,-0.24004902,-0.28929472,"('incompetent', 'competent')",-0.240049,-0.2892947,-0.0492457
46,-0.7244255,-0.8396735,"('uncompetitive', 'competitive')",-0.7244255,-0.8396735,-0.115248
47,5.0095434,5.130474,"('stupid', 'smart')",5.0095434,5.1304741,0.1209307
48,0.38720822,0.27884752,"('unintelligent', 'intelligent')",0.3872082,0.2788475,-0.1083607
49,0.27116683,0.26471898,"('unable', 'able')",0.2711668,0.264719,-0.0064478
50,-0.3559112,-0.36792108,"('clumsy', 'skillful')",-0.3559112,-0.3679211,-0.0120099
51,0.3659584,0.2861898,"('uneducated', 'educated')",0.3659584,0.2861898,-0.0797686
52,-0.55352,-0.5546169,"('irrational', 'rational')",-0.55352,-0.5546169,-0.0010969
53,0.18423328,0.16397193,"('uncreative', 'creative')",0.1842333,0.1639719,-0.0202614
