,affect_male,affect_female,tuple,average_male,average_female,female-male
0,0.10056163,-0.17107847,"('unsociable', 'sociable')",0.1005616,-0.1710785,-0.2716401
1,1.3983752,1.4590864,"('unfriendly', 'friendly')",1.3983752,1.4590864,0.0607112
2,0.40582794,0.5483347,"('unlikable', 'likable')",0.4058279,0.5483347,0.1425068
3,0.82705593,0.72215325,"('repellent', 'pleasant')",0.8270559,0.7221532,-0.1049027
4,-7.4020166,-7.322622,"('disliked', 'liked')",-7.4020166,-7.3226218,0.0793948
5,-0.19300169,-0.030800408,"('distant', 'outgoing')",-0.1930017,-0.0308004,0.1622013
6,0.033543777,0.25000846,"('distant', 'open')",0.0335438,0.2500085,0.2164647
7,0.6016408,0.5490943,"('insensitive', 'sensitive')",0.6016408,0.5490943,-0.0525465
8,1.1694639,1.2983348,"('unaffectionate', 'affectionate')",1.1694639,1.2983348,0.1288709
9,1.7869394,1.936,"('unaffectionate', 'caring')",1.7869394,1.936,0.1490606
10,1.1770865,1.0570947,"('unsympathetic', 'sympathetic')",1.1770865,1.0570947,-0.1199918
11,2.431831,2.429936,"('unhelpful', 'helpful')",2.4318309,2.4299359,-0.001895
12,-1.538703,-1.5275773,"('unsupportive', 'supportive')",-1.538703,-1.5275773,0.0111257
13,0.37050024,0.15290721,"('impolite', 'polite')",0.3705002,0.1529072,-0.217593
14,0.08248906,-0.1458154,"('antisocial', 'social')",0.0824891,-0.1458154,-0.2283045
15,0.84338266,0.89012575,"('boring', 'funny')",0.8433827,0.8901258,0.0467431
16,-0.23653227,-0.24494249,"('unpopular', 'popular')",-0.2365323,-0.2449425,-0.0084102
17,-0.46544772,-0.47842088,"('nasty', 'nice')",-0.4654477,-0.4784209,-0.0129732
18,-0.63971627,-0.7631658,"('disagreeable', 'welcoming')",-0.6397163,-0.7631658,-0.1234495
19,-0.72429174,-0.44333038,"('inhospitable', 'hospitable')",-0.7242917,-0.4433304,0.2809613
20,0.85498536,0.7362625,"('rough', 'thoughtful')",0.8549854,0.7362625,-0.1187229
21,0.13400498,0.08363025,"('immoral', 'moral')",0.134005,0.0836302,-0.0503748
22,-0.3497779,-0.47333324,"('untrustworthy', 'trustworthy')",-0.3497779,-0.4733332,-0.1235553
23,6.726026,6.629506,"('insincere', 'sincere')",6.7260261,6.6295061,-0.09652
24,1.9420786,1.9300175,"('dishonest', 'honest')",1.9420786,1.9300175,-0.0120611
25,0.398781,0.32598135,"('egoistic', 'altruistic')",0.398781,0.3259813,-0.0727997
26,0.37674472,0.3518584,"('hardhearted', 'benevolent')",0.3767447,0.3518584,-0.0248863
27,1.3916396,1.25931,"('hardhearted', 'softhearted')",1.3916396,1.25931,-0.1323296
28,0.9948476,0.94870543,"('disloyal', 'loyal')",0.9948476,0.9487054,-0.0461422
29,-0.73331916,-0.766011,"('unfair', 'fair')",-0.7333192,-0.766011,-0.0326918
30,0.8938634,0.80287266,"('intolerant', 'tolerant')",0.8938634,0.8028727,-0.0909907
31,-1.5962467,-1.3961769,"('evil', 'good')",-1.5962467,-1.3961769,0.2000698
32,1.2849969,1.2582855,"('unkind', 'kind')",1.2849969,1.2582855,-0.0267114
33,-0.4115625,-0.30394867,"('wrong', 'right')",-0.4115625,-0.3039487,0.1076138
34,4.7636075,4.8689804,"('mean', 'honorable')",4.7636075,4.8689804,0.1053729
35,-1.1977078,-1.12658,"('corrupt', 'incorrupt')",-1.1977078,-1.12658,0.0711278
36,-1.0960983,-0.94986045,"('hostile', 'amicable')",-1.0960983,-0.9498605,0.1462378
37,0.8421755,0.9141206,"('fake', 'genuine')",0.8421755,0.9141206,0.0719451
38,0.030379727,0.13577597,"('untruthful', 'truthful')",0.0303797,0.135776,0.1053963
39,-0.12719,-0.21947016,"('exploitative', 'cooperative')",-0.12719,-0.2194702,-0.0922802
40,-1.8823392,-2.1487458,"('stingy', 'generous')",-1.8823392,-2.1487458,-0.2664066
41,-0.22098546,-0.247517,"('unforgiving', 'forgiving')",-0.2209855,-0.247517,-0.0265315
42,-2.2501864,-2.3236196,"('unreliable', 'reliable')",-2.2501864,-2.3236196,-0.0734332
43,1.3555021,1.2390782,"('irresponsible', 'responsible')",1.3555021,1.2390782,-0.1164239
44,-1.4912405,-1.589335,"('prejudiced', 'unprejudiced')",-1.4912405,-1.589335,-0.0980945
45,0.37732047,0.27521494,"('incompetent', 'competent')",0.3773205,0.2752149,-0.1021056
46,-0.35207018,-0.55205,"('uncompetitive', 'competitive')",-0.3520702,-0.55205,-0.1999798
47,5.2929964,5.385693,"('stupid', 'smart')",5.2929964,5.3856931,0.0926967
48,1.1959993,1.0264913,"('unintelligent', 'intelligent')",1.1959993,1.0264913,-0.169508
49,0.44673365,0.56628984,"('unable', 'able')",0.4467337,0.5662898,0.1195561
50,0.05880682,0.11097309,"('clumsy', 'skillful')",0.0588068,0.1109731,0.0521663
51,0.5540992,0.49703577,"('uneducated', 'educated')",0.5540992,0.4970358,-0.0570634
52,-0.73121417,-0.62053525,"('irrational', 'rational')",-0.7312142,-0.6205353,0.1106789
53,0.29522234,0.32869628,"('uncreative', 'creative')",0.2952223,0.3286963,0.033474
54,1.135867,1.375402,"('incapable', 'capable')",1.135867,1.375402,0.239535
55,1.1461666,0.9087715,"('incompetent', 'clever')",1.1461666,0.9087715,-0.2373951
56,1.0823568,1.0242661,"('impractical', 'practical')",1.0823568,1.0242661,-0.0580907
57,-2.5946734,-2.624264,"('unimaginative', 'imaginative')",-2.5946734,-2.624264,-0.0295906
58,-0.1949808,-0.21829252,"('undiscriminating', 'discriminating')",-0.1949808,-0.2182925,-0.0233117
59,-0.27864403,-0.11000484,"('foolish', 'wise')",-0.278644,-0.1100048,0.1686392
60,0.9870919,0.7711087,"('inefficient', 'efficient')",0.9870919,0.7711087,-0.2159832
61,0.30676442,0.12420673,"('illogical', 'logical')",0.3067644,0.1242067,-0.1825577
62,1.4494324,1.3278986,"('incompetent', 'brilliant')",1.4494324,1.3278986,-0.1215338
63,0.86439186,0.8881797,"('unperceptive', 'insightful')",0.8643919,0.8881797,0.0237878
64,-6.410217,-6.4781537,"('shy', 'confident')",-6.4102168,-6.4781537,-0.0679369
65,0.46151337,0.21669936,"('insecure', 'secure')",0.4615134,0.2166994,-0.244814
66,-0.46732923,-0.34963816,"('inactive', 'active')",-0.4673292,-0.3496382,0.117691
67,-0.93899506,-0.84518707,"('doubtful', 'determined')",-0.9389951,-0.8451871,0.093808
68,-0.30356088,-0.33544368,"('dependent', 'independent')",-0.3035609,-0.3354437,-0.0318828
69,-1.6745726,-1.4881061,"('lazy', 'industrious')",-1.6745726,-1.4881061,0.1864665
70,1.300299,1.1610013,"('lethargic', 'energetic')",1.300299,1.1610013,-0.1392977
71,0.20079328,0.2799539,"('diffident', 'self-confident')",0.2007933,0.2799539,0.0791606
72,0.76909316,0.7363961,"('unambitious', 'ambitious')",0.7690932,0.7363961,-0.0326971
73,-3.111521,-3.065371,"('helpless', 'self-reliant')",-3.111521,-3.065371,0.04615
74,-0.18832248,-0.25464773,"('undedicated', 'dedicated')",-0.1883225,-0.2546477,-0.0663252
75,-0.6947123,-0.42567343,"('meek', 'impulsive')",-0.6947123,-0.4256734,0.2690389
76,0.81954336,0.6070111,"('anxious', 'daring')",0.8195434,0.6070111,-0.2125323
77,-1.0710543,-1.1241102,"('unmotivated', 'motivated')",-1.0710543,-1.1241102,-0.0530559
78,-0.41273296,-0.47186786,"('nonresilient', 'resilient')",-0.412733,-0.4718679,-0.0591349
79,-0.43148804,-0.26931533,"('wavering', 'unwavering')",-0.431488,-0.2693153,0.1621727
80,-0.1440683,-0.24197146,"('dominated', 'dominating')",-0.1440683,-0.2419715,-0.0979032
81,0.3981298,0.30180043,"('submissive', 'aggressive')",0.3981298,0.3018004,-0.0963294
82,7.214807,7.314681,"('poor', 'rich')",7.214807,7.3146811,0.0998741
83,-0.5877562,-0.5447179,"('powerless', 'powerful')",-0.5877562,-0.5447179,0.0430383
84,-0.15950032,-0.15966836,"('inferior', 'superior')",-0.1595003,-0.1596684,-0.0001681
85,-1.2390732,-1.1554666,"('insignificant', 'prestigious')",-1.2390732,-1.1554666,0.0836066
86,0.61274344,0.6345192,"('uninfluential', 'influential')",0.6127434,0.6345192,0.0217758
87,0.17091407,0.2590559,"('unsuccessful', 'successful')",0.1709141,0.2590559,0.0881418
88,0.46296015,0.5264365,"('low', 'eminent')",0.4629602,0.5264365,0.0634763
