,supervision_male,supervision_female,tuple,average_male,average_female,female-male
0,0.07044916,-0.15103798,"('unsociable', 'sociable')",0.0704492,-0.151038,-0.2214872
1,0.8904986,0.90024316,"('unfriendly', 'friendly')",0.8904986,0.9002432,0.0097446
2,0.13076203,0.2947798,"('unlikable', 'likable')",0.130762,0.2947798,0.1640178
3,0.57668656,0.67269105,"('repellent', 'pleasant')",0.5766866,0.672691,0.0960044
4,-7.244612,-7.3250384,"('disliked', 'liked')",-7.2446122,-7.3250384,-0.0804262
5,-0.6909709,-0.34695593,"('distant', 'outgoing')",-0.6909709,-0.3469559,0.344015
6,-0.5211782,-0.17858666,"('distant', 'open')",-0.5211782,-0.1785867,0.3425915
7,0.36242306,0.37098253,"('insensitive', 'sensitive')",0.3624231,0.3709825,0.0085594
8,0.84583545,0.95211995,"('unaffectionate', 'affectionate')",0.8458354,0.9521199,0.1062845
9,1.781761,1.9151895,"('unaffectionate', 'caring')",1.7817611,1.9151895,0.1334284
10,0.4264744,0.49193287,"('unsympathetic', 'sympathetic')",0.4264744,0.4919329,0.0654585
11,2.307962,2.252,"('unhelpful', 'helpful')",2.3079619,2.2520001,-0.0559618
12,-1.5191611,-1.4624051,"('unsupportive', 'supportive')",-1.5191611,-1.4624051,0.056756
13,0.2488462,0.20030732,"('impolite', 'polite')",0.2488462,0.2003073,-0.0485389
14,0.10884801,-0.18468945,"('antisocial', 'social')",0.108848,-0.1846894,-0.2935374
15,0.31815004,0.23305391,"('boring', 'funny')",0.31815,0.2330539,-0.0850961
16,0.11366589,0.07998464,"('unpopular', 'popular')",0.1136659,0.0799846,-0.0336813
17,0.12748957,0.13411964,"('nasty', 'nice')",0.1274896,0.1341196,0.00663
18,-0.7690259,-0.8215558,"('disagreeable', 'welcoming')",-0.7690259,-0.8215558,-0.0525299
19,-0.7612738,-0.50518787,"('inhospitable', 'hospitable')",-0.7612738,-0.5051879,0.2560859
20,0.6811699,0.49278516,"('rough', 'thoughtful')",0.6811699,0.4927852,-0.1883847
21,-0.10876246,-0.1687181,"('immoral', 'moral')",-0.1087625,-0.1687181,-0.0599556
22,-0.64449,-0.65073836,"('untrustworthy', 'trustworthy')",-0.64449,-0.6507384,-0.0062484
23,6.498406,6.5057383,"('insincere', 'sincere')",6.4984059,6.5057383,0.0073324
24,1.0240575,1.1134766,"('dishonest', 'honest')",1.0240575,1.1134766,0.0894191
25,0.6228086,0.4092202,"('egoistic', 'altruistic')",0.6228086,0.4092202,-0.2135884
26,1.0841314,0.7406607,"('hardhearted', 'benevolent')",1.0841314,0.7406607,-0.3434707
27,1.101941,0.9703751,"('hardhearted', 'softhearted')",1.101941,0.9703751,-0.1315659
28,0.83533883,0.74957436,"('disloyal', 'loyal')",0.8353388,0.7495744,-0.0857644
29,-1.0584091,-1.0952067,"('unfair', 'fair')",-1.0584091,-1.0952067,-0.0367976
30,0.87959206,0.70584273,"('intolerant', 'tolerant')",0.8795921,0.7058427,-0.1737494
31,-1.7767998,-1.6547471,"('evil', 'good')",-1.7767998,-1.6547471,0.1220527
32,1.2284666,1.0918293,"('unkind', 'kind')",1.2284666,1.0918293,-0.1366373
33,-0.17280112,-0.16972148,"('wrong', 'right')",-0.1728011,-0.1697215,0.0030796
34,4.898967,5.075456,"('mean', 'honorable')",4.8989668,5.0754561,0.1764893
35,-1.029804,-1.0825622,"('corrupt', 'incorrupt')",-1.029804,-1.0825622,-0.0527582
36,-0.2740652,-0.3158361,"('hostile', 'amicable')",-0.2740652,-0.3158361,-0.0417709
37,0.35707033,0.3843636,"('fake', 'genuine')",0.3570703,0.3843636,0.0272933
38,0.28681594,0.24510962,"('untruthful', 'truthful')",0.2868159,0.2451096,-0.0417063
39,0.031626254,-0.004246052,"('exploitative', 'cooperative')",0.0316263,-0.0042461,-0.0358724
40,-2.505511,-2.477378,"('stingy', 'generous')",-2.505511,-2.4773779,0.0281331
41,0.073335245,-0.102314875,"('unforgiving', 'forgiving')",0.0733352,-0.1023149,-0.1756501
42,-2.5914662,-2.5358808,"('unreliable', 'reliable')",-2.5914662,-2.5358808,0.0555854
43,1.0095799,1.0278248,"('irresponsible', 'responsible')",1.0095799,1.0278248,0.0182449
44,-1.4136816,-1.4761729,"('prejudiced', 'unprejudiced')",-1.4136816,-1.4761729,-0.0624913
45,0.096736744,0.08518543,"('incompetent', 'competent')",0.0967367,0.0851854,-0.0115513
46,-1.0793109,-1.0086066,"('uncompetitive', 'competitive')",-1.0793109,-1.0086066,0.0707043
47,5.350217,5.572472,"('stupid', 'smart')",5.3502169,5.5724721,0.2222552
48,0.4614519,0.37991172,"('unintelligent', 'intelligent')",0.4614519,0.3799117,-0.0815402
49,0.05114345,0.13178834,"('unable', 'able')",0.0511434,0.1317883,0.0806449
50,-0.01551614,0.0870715,"('clumsy', 'skillful')",-0.0155161,0.0870715,0.1025876
51,0.18309848,0.1542298,"('uneducated', 'educated')",0.1830985,0.1542298,-0.0288687
52,0.022389552,-0.1215325,"('irrational', 'rational')",0.0223896,-0.1215325,-0.1439221
53,-0.09911747,-0.044470802,"('uncreative', 'creative')",-0.0991175,-0.0444708,0.0546467
54,0.885568,1.055675,"('incapable', 'capable')",0.885568,1.055675,0.170107
55,0.14706585,0.08544537,"('incompetent', 'clever')",0.1470658,0.0854454,-0.0616204
56,1.160104,1.0922799,"('impractical', 'practical')",1.160104,1.0922799,-0.0678241
57,-3.154378,-3.124559,"('unimaginative', 'imaginative')",-3.1543779,-3.1245589,0.029819
58,-0.16791457,-0.19755481,"('undiscriminating', 'discriminating')",-0.1679146,-0.1975548,-0.0296402
59,0.19946295,0.30823147,"('foolish', 'wise')",0.199463,0.3082315,0.1087685
60,0.74856466,0.7900074,"('inefficient', 'efficient')",0.7485647,0.7900074,0.0414427
61,0.3711239,0.123039804,"('illogical', 'logical')",0.3711239,0.1230398,-0.2480841
62,0.8950427,1.0564654,"('incompetent', 'brilliant')",0.8950427,1.0564654,0.1614227
63,0.30391595,0.45197096,"('unperceptive', 'insightful')",0.3039159,0.451971,0.1480551
64,-5.9406934,-5.9589963,"('shy', 'confident')",-5.9406934,-5.9589963,-0.0183029
65,0.5278383,0.55966896,"('insecure', 'secure')",0.5278383,0.559669,0.0318307
66,-0.6027321,-0.49633914,"('inactive', 'active')",-0.6027321,-0.4963391,0.106393
67,-0.23670952,-0.29502422,"('doubtful', 'determined')",-0.2367095,-0.2950242,-0.0583147
68,-0.6649666,-0.589145,"('dependent', 'independent')",-0.6649666,-0.589145,0.0758216
69,-1.4762524,-1.3977863,"('lazy', 'industrious')",-1.4762524,-1.3977863,0.0784661
70,0.5685235,0.5901234,"('lethargic', 'energetic')",0.5685235,0.5901234,0.0215999
71,0.27783528,0.34313762,"('diffident', 'self-confident')",0.2778353,0.3431376,0.0653023
72,0.6592436,0.8326038,"('unambitious', 'ambitious')",0.6592436,0.8326038,0.1733602
73,-3.457053,-3.3848648,"('helpless', 'self-reliant')",-3.4570529,-3.3848648,0.0721881
74,-0.25688368,-0.35793993,"('undedicated', 'dedicated')",-0.2568837,-0.3579399,-0.1010562
75,-1.0018497,-0.76863116,"('meek', 'impulsive')",-1.0018497,-0.7686312,0.2332185
76,-0.32122844,-0.34211624,"('anxious', 'daring')",-0.3212284,-0.3421162,-0.0208878
77,-1.0849245,-1.0813903,"('unmotivated', 'motivated')",-1.0849245,-1.0813903,0.0035342
78,-0.35539493,-0.354051,"('nonresilient', 'resilient')",-0.3553949,-0.354051,0.0013439
79,-0.14189242,-0.009383147,"('wavering', 'unwavering')",-0.1418924,-0.0093831,0.1325093
80,-0.23960058,-0.40221187,"('dominated', 'dominating')",-0.2396006,-0.4022119,-0.1626113
81,-0.2595597,-0.26006487,"('submissive', 'aggressive')",-0.2595597,-0.2600649,-0.0005052
82,6.328182,6.654886,"('poor', 'rich')",6.3281822,6.6548858,0.3267036
83,-0.5208184,-0.61848223,"('powerless', 'powerful')",-0.5208184,-0.6184822,-0.0976638
84,0.24311408,0.20969181,"('inferior', 'superior')",0.2431141,0.2096918,-0.0334223
85,-0.6074343,-0.87009215,"('insignificant', 'prestigious')",-0.6074343,-0.8700922,-0.2626579
86,0.08061009,0.074006915,"('uninfluential', 'influential')",0.0806101,0.0740069,-0.0066032
87,-0.069227606,-0.0062570684,"('unsuccessful', 'successful')",-0.0692276,-0.0062571,0.0629705
88,0.31059846,0.103069715,"('low', 'eminent')",0.3105985,0.1030697,-0.2075288
