,typewriter_male,typewriter_female,tuple,average_male,average_female,female-male
0,-0.15002808,-0.21606494,"('unsociable', 'sociable')",-0.1500281,-0.2160649,-0.0660368
1,1.0877401,1.0047424,"('unfriendly', 'friendly')",1.0877401,1.0047424,-0.0829977
2,0.060268477,0.09638815,"('unlikable', 'likable')",0.0602685,0.0963881,0.0361196
3,-0.56698936,-0.51842695,"('repellent', 'pleasant')",-0.5669894,-0.518427,0.0485624
4,-3.6753924,-3.6902955,"('disliked', 'liked')",-3.6753924,-3.6902955,-0.0149031
5,0.4032888,0.46209386,"('distant', 'outgoing')",0.4032888,0.4620939,0.0588051
6,0.2429409,0.32065868,"('distant', 'open')",0.2429409,0.3206587,0.0777178
7,-0.13231488,-0.0963687,"('insensitive', 'sensitive')",-0.1323149,-0.0963687,0.0359462
8,0.54729915,0.48108172,"('unaffectionate', 'affectionate')",0.5472991,0.4810817,-0.0662174
9,1.0952541,1.042767,"('unaffectionate', 'caring')",1.0952541,1.042767,-0.0524871
10,-0.61293095,-0.60150117,"('unsympathetic', 'sympathetic')",-0.612931,-0.6015012,0.0114298
11,0.73550373,0.79514265,"('unhelpful', 'helpful')",0.7355037,0.7951427,0.059639
12,-0.90194905,-0.8729292,"('unsupportive', 'supportive')",-0.901949,-0.8729292,0.0290198
13,0.15604411,0.16904712,"('impolite', 'polite')",0.1560441,0.1690471,0.013003
14,-0.75848997,-0.8315921,"('antisocial', 'social')",-0.75849,-0.8315921,-0.0731021
15,0.79457635,0.7344206,"('boring', 'funny')",0.7945763,0.7344206,-0.0601557
16,-0.21655717,-0.2702859,"('unpopular', 'popular')",-0.2165572,-0.2702859,-0.0537287
17,0.16234095,0.2220564,"('nasty', 'nice')",0.162341,0.2220564,0.0597154
18,-1.0189078,-1.0588206,"('disagreeable', 'welcoming')",-1.0189078,-1.0588206,-0.0399128
19,-0.640506,-0.62792575,"('inhospitable', 'hospitable')",-0.640506,-0.6279258,0.0125802
20,0.33013082,0.3033652,"('rough', 'thoughtful')",0.3301308,0.3033652,-0.0267656
21,-0.42829493,-0.39429128,"('immoral', 'moral')",-0.4282949,-0.3942913,0.0340036
22,-0.8491803,-0.8326935,"('untrustworthy', 'trustworthy')",-0.8491803,-0.8326935,0.0164868
23,3.2576344,3.2626991,"('insincere', 'sincere')",3.2576344,3.2626991,0.0050647
24,0.87892544,0.89852214,"('dishonest', 'honest')",0.8789254,0.8985221,0.0195967
25,1.1250523,1.0777167,"('egoistic', 'altruistic')",1.1250523,1.0777167,-0.0473356
26,1.7291654,1.5325522,"('hardhearted', 'benevolent')",1.7291654,1.5325522,-0.1966132
27,0.35147604,0.29004115,"('hardhearted', 'softhearted')",0.351476,0.2900411,-0.0614349
28,0.72566605,0.5792592,"('disloyal', 'loyal')",0.725666,0.5792592,-0.1464068
29,-0.48477384,-0.50678307,"('unfair', 'fair')",-0.4847738,-0.5067831,-0.0220093
30,0.37186295,0.34358996,"('intolerant', 'tolerant')",0.3718629,0.34359,-0.0282729
31,-0.7736028,-0.77543813,"('evil', 'good')",-0.7736028,-0.7754381,-0.0018353
32,0.6713807,0.621355,"('unkind', 'kind')",0.6713807,0.621355,-0.0500257
33,0.65187305,0.6229511,"('wrong', 'right')",0.6518731,0.6229511,-0.028922
