,gamebird_male,gamebird_female,tuple,average_male,average_female,female-male
0,0.7346302,0.6069473,"('unsociable', 'sociable')",0.7346302,0.6069473,-0.1276829
1,0.33031327,0.22360498,"('unfriendly', 'friendly')",0.3303133,0.223605,-0.1067083
2,-0.13309076,-0.058454406,"('unlikable', 'likable')",-0.1330908,-0.0584544,0.0746364
3,-0.16080844,-0.11753226,"('repellent', 'pleasant')",-0.1608084,-0.1175323,0.0432761
4,-4.418408,-4.5639424,"('disliked', 'liked')",-4.4184079,-4.5639424,-0.1455345
5,-0.5484893,-0.53535557,"('distant', 'outgoing')",-0.5484893,-0.5353556,0.0131337
6,-0.6966462,-0.67422765,"('distant', 'open')",-0.6966462,-0.6742277,0.0224185
7,0.5334076,0.58380514,"('insensitive', 'sensitive')",0.5334076,0.5838051,0.0503975
8,0.4287836,0.40156978,"('unaffectionate', 'affectionate')",0.4287836,0.4015698,-0.0272138
9,1.0172716,1.0038886,"('unaffectionate', 'caring')",1.0172716,1.0038886,-0.013383
10,0.09695922,0.10042547,"('unsympathetic', 'sympathetic')",0.0969592,0.1004255,0.0034663
11,1.1535782,1.2166247,"('unhelpful', 'helpful')",1.1535782,1.2166247,0.0630465
12,-0.92065066,-0.95055676,"('unsupportive', 'supportive')",-0.9206507,-0.9505568,-0.0299061
13,0.31444138,0.22929768,"('impolite', 'polite')",0.3144414,0.2292977,-0.0851437
14,0.936362,0.87885755,"('antisocial', 'social')",0.936362,0.8788576,-0.0575044
15,0.55465645,0.47531858,"('boring', 'funny')",0.5546564,0.4753186,-0.0793378
16,-0.7339772,-0.71561885,"('unpopular', 'popular')",-0.7339772,-0.7156188,0.0183584
17,-0.28982922,-0.2295444,"('nasty', 'nice')",-0.2898292,-0.2295444,0.0602848
18,-0.5490866,-0.57647246,"('disagreeable', 'welcoming')",-0.5490866,-0.5764725,-0.0273859
19,-0.858279,-0.85950804,"('inhospitable', 'hospitable')",-0.858279,-0.859508,-0.001229
20,-0.05546062,0.009182961,"('rough', 'thoughtful')",-0.0554606,0.009183,0.0646436
21,0.41444996,0.48256046,"('immoral', 'moral')",0.41445,0.4825605,0.0681105
22,-0.49069807,-0.5398212,"('untrustworthy', 'trustworthy')",-0.4906981,-0.5398212,-0.0491231
23,3.5043893,3.540763,"('insincere', 'sincere')",3.5043893,3.5407629,0.0363736
24,0.7472997,0.6829847,"('dishonest', 'honest')",0.7472997,0.6829847,-0.064315
25,0.7078142,0.7035923,"('egoistic', 'altruistic')",0.7078142,0.7035923,-0.0042219
26,0.7623535,0.60814726,"('hardhearted', 'benevolent')",0.7623535,0.6081473,-0.1542062
27,0.7918944,0.7749098,"('hardhearted', 'softhearted')",0.7918944,0.7749098,-0.0169846
28,1.196121,1.0795885,"('disloyal', 'loyal')",1.196121,1.0795885,-0.1165325
29,-0.26764277,-0.36167097,"('unfair', 'fair')",-0.2676428,-0.361671,-0.0940282
30,0.97121257,0.9807766,"('intolerant', 'tolerant')",0.9712126,0.9807766,0.009564
31,-1.8988425,-1.8629297,"('evil', 'good')",-1.8988425,-1.8629297,0.0359128
32,1.0540801,0.99557763,"('unkind', 'kind')",1.0540801,0.9955776,-0.0585025
33,-0.29255295,-0.3214573,"('wrong', 'right')",-0.2925529,-0.3214573,-0.0289044
34,1.9195938,2.110356,"('mean', 'honorable')",1.9195938,2.1103561,0.1907623
35,-0.7665669,-0.82439524,"('corrupt', 'incorrupt')",-0.7665669,-0.8243952,-0.0578283
36,-1.5877445,-1.6191096,"('hostile', 'amicable')",-1.5877445,-1.6191096,-0.0313651
37,0.0875593,0.05294045,"('fake', 'genuine')",0.0875593,0.0529405,-0.0346188
38,-0.46797222,-0.47820437,"('untruthful', 'truthful')",-0.4679722,-0.4782044,-0.0102322
39,0.42998734,0.5157999,"('exploitative', 'cooperative')",0.4299873,0.5157999,0.0858126
40,-1.6449841,-1.7263494,"('stingy', 'generous')",-1.6449841,-1.7263494,-0.0813653
41,0.20582244,0.10425891,"('unforgiving', 'forgiving')",0.2058224,0.1042589,-0.1015635
42,-2.0010593,-2.0077534,"('unreliable', 'reliable')",-2.0010593,-2.0077534,-0.0066941
43,0.6929737,0.6984371,"('irresponsible', 'responsible')",0.6929737,0.6984371,0.0054634
44,-1.3505567,-1.3287337,"('prejudiced', 'unprejudiced')",-1.3505567,-1.3287337,0.021823
45,0.13542014,0.020481825,"('incompetent', 'competent')",0.1354201,0.0204818,-0.1149383
46,-0.2150308,-0.22609192,"('uncompetitive', 'competitive')",-0.2150308,-0.2260919,-0.0110611
47,2.4096136,2.5060675,"('stupid', 'smart')",2.4096136,2.5060675,0.0964539
48,0.9311454,0.94478106,"('unintelligent', 'intelligent')",0.9311454,0.9447811,0.0136357
49,0.28632522,0.40071663,"('unable', 'able')",0.2863252,0.4007166,0.1143914
50,-0.37442952,-0.36338648,"('clumsy', 'skillful')",-0.3744295,-0.3633865,0.011043
51,0.03170442,-0.03607669,"('uneducated', 'educated')",0.0317044,-0.0360767,-0.0677811
52,-0.47451434,-0.564463,"('irrational', 'rational')",-0.4745143,-0.564463,-0.0899487
53,-0.37268668,-0.42892286,"('uncreative', 'creative')",-0.3726867,-0.4289229,-0.0562362
54,0.7803024,0.7747219,"('incapable', 'capable')",0.7803024,0.7747219,-0.0055805
55,0.9920298,1.0300485,"('incompetent', 'clever')",0.9920298,1.0300485,0.0380187
56,0.93141365,0.898996,"('impractical', 'practical')",0.9314137,0.898996,-0.0324177
57,-1.5319699,-1.6023341,"('unimaginative', 'imaginative')",-1.5319699,-1.6023341,-0.0703642
58,-0.46896267,-0.49286807,"('undiscriminating', 'discriminating')",-0.4689627,-0.4928681,-0.0239054
59,-0.31996447,-0.29961032,"('foolish', 'wise')",-0.3199645,-0.2996103,0.0203542
60,1.0933214,1.2000087,"('inefficient', 'efficient')",1.0933214,1.2000087,0.1066873
61,0.43695548,0.3698013,"('illogical', 'logical')",0.4369555,0.3698013,-0.0671542
62,0.7588286,0.82419693,"('incompetent', 'brilliant')",0.7588286,0.8241969,0.0653683
63,0.15266676,0.20481513,"('unperceptive', 'insightful')",0.1526668,0.2048151,0.0521483
64,-3.2268069,-3.3126879,"('shy', 'confident')",-3.2268069,-3.3126879,-0.085881
65,0.38365722,0.41725007,"('insecure', 'secure')",0.3836572,0.4172501,0.0335929
66,-1.198593,-1.2291982,"('inactive', 'active')",-1.198593,-1.2291982,-0.0306052
67,0.2655992,0.29285315,"('doubtful', 'determined')",0.2655992,0.2928531,0.0272539
68,-0.735404,-0.68977576,"('dependent', 'independent')",-0.735404,-0.6897758,0.0456282
69,-1.6070288,-1.562803,"('lazy', 'industrious')",-1.6070288,-1.562803,0.0442258
70,-0.028265927,-0.062864736,"('lethargic', 'energetic')",-0.0282659,-0.0628647,-0.0345988
71,0.56556714,0.5877074,"('diffident', 'self-confident')",0.5655671,0.5877074,0.0221403
72,-0.17084016,-0.1330459,"('unambitious', 'ambitious')",-0.1708402,-0.1330459,0.0377943
73,-2.3935962,-2.4368613,"('helpless', 'self-reliant')",-2.3935962,-2.4368613,-0.0432651
74,0.071422204,0.07527779,"('undedicated', 'dedicated')",0.0714222,0.0752778,0.0038556
75,-1.152259,-1.1694987,"('meek', 'impulsive')",-1.152259,-1.1694987,-0.0172397
76,0.02852762,0.08905433,"('anxious', 'daring')",0.0285276,0.0890543,0.0605267
77,-0.708761,-0.60382843,"('unmotivated', 'motivated')",-0.708761,-0.6038284,0.1049326
78,-0.017530363,0.037446678,"('nonresilient', 'resilient')",-0.0175304,0.0374467,0.0549771
79,-1.2287714,-1.2072892,"('wavering', 'unwavering')",-1.2287714,-1.2072892,0.0214822
80,-0.033240926,-0.10665302,"('dominated', 'dominating')",-0.0332409,-0.106653,-0.0734121
81,0.062484827,0.0882602,"('submissive', 'aggressive')",0.0624848,0.0882602,0.0257754
82,2.8276434,2.867589,"('poor', 'rich')",2.8276434,2.867589,0.0399456
83,-0.32045597,-0.28788528,"('powerless', 'powerful')",-0.320456,-0.2878853,0.0325707
84,0.28712326,0.2795509,"('inferior', 'superior')",0.2871233,0.2795509,-0.0075724
85,-1.3098464,-1.2835505,"('insignificant', 'prestigious')",-1.3098464,-1.2835505,0.0262959
86,0.16276975,-0.0071769226,"('uninfluential', 'influential')",0.1627697,-0.0071769,-0.1699466
87,0.18416691,0.18005762,"('unsuccessful', 'successful')",0.1841669,0.1800576,-0.0041093
88,-0.3869344,-0.40074578,"('low', 'eminent')",-0.3869344,-0.4007458,-0.0138114
