,amphenol_male,amphenol_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.70273894,-0.78235835,"('unsociable', 'sociable')",0.25657797,0.07185432,-0.2230805,-0.355252,-0.1321715
1,-1.0729696,-1.1649939,"('unfriendly', 'friendly')",1.0618927,0.8890203,-0.0055384,-0.1379868,-0.1324484
2,0.73660624,0.70296186,"('unlikable', 'likable')",0.85971993,0.8021544,0.7981631,0.7525581,-0.045605
3,-0.653742,-0.6241869,"('repellent', 'pleasant')",0.9404293,0.9653585,0.1433436,0.1705858,0.0272422
4,0.25759014,0.16137798,"('disliked', 'liked')",-6.4040613,-6.547086,-3.0732355,-3.1928539,-0.1196184
5,-0.70983726,-0.6577257,"('distant', 'outgoing')",-1.0419348,-1.0781418,-0.8758861,-0.8679338,0.0079523
6,-0.8127212,-0.7566058,"('distant', 'open')",-1.0005023,-1.076288,-0.9066118,-0.9164469,-0.0098351
7,-1.4492255,-1.4593157,"('insensitive', 'sensitive')",0.39428538,0.38529402,-0.5274701,-0.5370108,-0.0095407
8,-0.72059715,-0.8178673,"('unaffectionate', 'affectionate')",0.30481482,0.24890795,-0.2078912,-0.2844797,-0.0765885
9,-1.3233212,-1.3902469,"('unaffectionate', 'caring')",0.6785998,0.6435101,-0.3223607,-0.3733684,-0.0510077
10,-1.4606402,-1.5098442,"('unsympathetic', 'sympathetic')",-0.48468643,-0.5144836,-0.9726633,-1.0121639,-0.0395006
11,-0.7727581,-0.78310055,"('unhelpful', 'helpful')",1.524489,1.5628266,0.3758655,0.389863,0.0139975
12,-0.6866503,-0.66310877,"('unsupportive', 'supportive')",-1.9828115,-2.0126185,-1.3347309,-1.3378637,-0.0031328
13,-1.0437888,-1.0079036,"('impolite', 'polite')",-0.975756,-0.9401411,-1.0097724,-0.9740223,0.0357501
14,-0.32456824,-0.34202045,"('antisocial', 'social')",0.47910658,0.3610374,0.0772692,0.0095085,-0.0677607
15,-0.014885025,-0.10583406,"('boring', 'funny')",0.044415742,0.018552847,0.0147654,-0.0436406,-0.058406
16,-0.048491254,-0.072380245,"('unpopular', 'popular')",0.44775936,0.37022611,0.199634,0.1489229,-0.0507111
17,-0.10421057,-0.07204191,"('nasty', 'nice')",-0.4507013,-0.38708803,-0.2774559,-0.229565,0.0478909
18,-0.4344688,-0.43580914,"('disagreeable', 'welcoming')",-0.5267804,-0.66735274,-0.4806246,-0.5515809,-0.0709563
19,-1.7323484,-1.7346957,"('inhospitable', 'hospitable')",-0.9009944,-0.8595497,-1.3166714,-1.2971227,0.0195487
20,-0.13563532,-0.1422583,"('rough', 'thoughtful')",0.84017926,0.79809,0.352272,0.3279158,-0.0243562
21,-0.24636169,-0.28408295,"('immoral', 'moral')",-0.067694485,-0.055523954,-0.1570281,-0.1698035,-0.0127754
22,-0.70114607,-0.7258921,"('untrustworthy', 'trustworthy')",-0.6842052,-0.820616,-0.6926756,-0.773254,-0.0805784
23,-1.4816213,-1.569288,"('insincere', 'sincere')",5.384842,5.331249,1.9516103,1.8809806,-0.0706297
24,-0.97843426,-1.0046785,"('dishonest', 'honest')",0.43481055,0.40283686,-0.2718118,-0.3009208,-0.029109
25,-0.076662704,-0.06085241,"('egoistic', 'altruistic')",1.2253736,1.2367187,0.5743555,0.5879331,0.0135776
26,-0.48660094,-0.5547637,"('hardhearted', 'benevolent')",1.824937,1.7163942,0.669168,0.5808153,-0.0883527
27,-0.11864143,-0.02715274,"('hardhearted', 'softhearted')",1.0312536,0.9838425,0.4563061,0.4783449,0.0220388
28,-0.92442775,-1.076982,"('disloyal', 'loyal')",1.0203013,0.8842166,0.0479368,-0.0963827,-0.1443195
29,-0.57061374,-0.62593675,"('unfair', 'fair')",-0.41580507,-0.5621494,-0.4932094,-0.5940431,-0.1008337
30,-0.58330846,-0.6537839,"('intolerant', 'tolerant')",1.111806,1.0179759,0.2642488,0.182096,-0.0821528
31,-0.5725735,-0.50722677,"('evil', 'good')",-0.82438534,-0.91426206,-0.6984794,-0.7107444,-0.012265
32,-0.5106243,-0.53088427,"('unkind', 'kind')",0.69883835,0.5747582,0.094107,0.021937,-0.07217
33,-0.1115245,-0.1569468,"('wrong', 'right')",-0.9138298,-0.9485229,-0.5126771,-0.5527349,-0.0400578
34,-0.15988243,-0.08104985,"('mean', 'honorable')",5.2630496,5.4273815,2.5515835,2.6731658,0.1215823
35,0.47211358,0.4261149,"('corrupt', 'incorrupt')",-0.38242996,-0.44959515,0.0448418,-0.0117401,-0.0565819
36,-0.59972155,-0.7036255,"('hostile', 'amicable')",-0.36842468,-0.54254174,-0.4840731,-0.6230836,-0.1390105
37,-0.23566821,-0.25814483,"('fake', 'genuine')",-0.24627304,-0.23236164,-0.2409706,-0.2452532,-0.0042826
38,-0.65170795,-0.6809562,"('untruthful', 'truthful')",-0.4386197,-0.41477937,-0.5451638,-0.5478678,-0.002704
39,0.19074696,0.196725,"('exploitative', 'cooperative')",0.317986,0.36075768,0.2543665,0.2787413,0.0243748
40,0.30000466,0.27418193,"('stingy', 'generous')",-1.6684269,-1.8039982,-0.6842111,-0.7649081,-0.080697
41,-0.5256966,-0.59322345,"('unforgiving', 'forgiving')",-0.068816245,-0.25347537,-0.2972564,-0.4233494,-0.126093
42,0.15453538,0.1693547,"('unreliable', 'reliable')",-3.3210437,-3.3966231,-1.5832542,-1.6136342,-0.03038
43,-1.0723648,-1.0171611,"('irresponsible', 'responsible')",0.3286457,0.33015522,-0.3718596,-0.3435029,0.0283567
44,0.60906076,0.6653066,"('prejudiced', 'unprejudiced')",-1.395509,-1.4279042,-0.3932241,-0.3812988,0.0119253
45,-1.3831453,-1.4339674,"('incompetent', 'competent')",0.16777743,0.029240254,-0.607684,-0.7023636,-0.0946796
46,-0.54523206,-0.5513473,"('uncompetitive', 'competitive')",-0.6220064,-0.62690854,-0.5836192,-0.5891279,-0.0055087
47,-0.037677035,-0.0016460642,"('stupid', 'smart')",5.098278,5.181576,2.5303006,2.5899649,0.0596643
48,-0.0242798,-0.07308945,"('unintelligent', 'intelligent')",1.0898793,1.1393403,0.5327997,0.5331254,0.0003257
49,0.247067,0.33837792,"('unable', 'able')",-0.17575422,-0.14924306,0.0356564,0.0945674,0.058911
50,0.350836,0.27847713,"('clumsy', 'skillful')",-0.13311143,-0.24937227,0.1088623,0.0145524,-0.0943099
51,-0.75053644,-0.8487422,"('uneducated', 'educated')",0.51155156,0.43770278,-0.1194924,-0.2055197,-0.0860273
52,-0.3235611,-0.46147525,"('irrational', 'rational')",-0.017747808,-0.1861499,-0.1706545,-0.3238126,-0.1531581
53,-1.3600651,-1.4330726,"('uncreative', 'creative')",0.23783718,0.1078272,-0.561114,-0.6626227,-0.1015087
54,-0.9381669,-1.0152781,"('incapable', 'capable')",0.6200551,0.61002755,-0.1590559,-0.2026253,-0.0435694
55,-0.5987569,-0.6136853,"('incompetent', 'clever')",0.6714327,0.6497065,0.0363379,0.0180106,-0.0183273
56,0.09734082,0.032419913,"('impractical', 'practical')",-0.51165736,-0.57460415,-0.2071583,-0.2710921,-0.0639338
57,-0.89977,-0.95348644,"('unimaginative', 'imaginative')",-2.7449234,-2.8207407,-1.8223467,-1.8871136,-0.0647669
58,0.004511837,-0.027496345,"('undiscriminating', 'discriminating')",0.065661065,-0.04788953,0.0350865,-0.0376929,-0.0727794
59,0.29299662,0.27508423,"('foolish', 'wise')",-0.04059346,-0.050465927,0.1262016,0.1123092,-0.0138924
60,-0.14360936,-0.109387375,"('inefficient', 'efficient')",-0.0072009787,0.102238595,-0.0754052,-0.0035744,0.0718308
61,-0.70814186,-0.78883815,"('illogical', 'logical')",0.6112988,0.45134678,-0.0484215,-0.1687457,-0.1203242
62,-0.43541667,-0.41557196,"('incompetent', 'brilliant')",0.43202257,0.5038419,-0.001697,0.044135,0.045832
63,-0.61380184,-0.60202634,"('unperceptive', 'insightful')",0.3939176,0.41937956,-0.1099421,-0.0913234,0.0186187
64,0.37835535,0.3595459,"('shy', 'confident')",-5.965423,-6.074244,-2.7935338,-2.8573492,-0.0638154
65,-0.42541724,-0.48537377,"('insecure', 'secure')",-0.06260295,-0.021351116,-0.2440101,-0.2533624,-0.0093523
66,-0.42252767,-0.43380803,"('inactive', 'active')",0.31020883,0.34536004,-0.0561594,-0.044224,0.0119354
67,0.1032675,0.07932978,"('doubtful', 'determined')",-0.4220683,-0.46876574,-0.1594004,-0.194718,-0.0353176
68,0.33812073,0.37772927,"('dependent', 'independent')",-0.4775697,-0.4993119,-0.0697245,-0.0607913,0.0089332
69,1.115854,1.1332736,"('lazy', 'industrious')",-0.5408506,-0.5135885,0.2875017,0.3098426,0.0223409
70,-1.1303409,-1.1307726,"('lethargic', 'energetic')",-0.02990704,-0.04677809,-0.580124,-0.5887753,-0.0086513
71,0.1557284,0.16074055,"('diffident', 'self-confident')",0.39221534,0.36463556,0.2739719,0.262688,-0.0112839
72,-0.42367935,-0.45400602,"('unambitious', 'ambitious')",-0.46436408,-0.45997694,-0.4440217,-0.4569915,-0.0129698
73,1.1995504,1.1847272,"('helpless', 'self-reliant')",-3.1280797,-3.1467502,-0.9642646,-0.9810115,-0.0167469
74,-0.56109655,-0.5772382,"('undedicated', 'dedicated')",-0.16299593,-0.30988345,-0.3620462,-0.4435608,-0.0815146
75,0.69864035,0.69860154,"('meek', 'impulsive')",-0.59746945,-0.52010936,0.0505854,0.0892461,0.0386607
76,-0.035614178,-0.008958189,"('anxious', 'daring')",-0.32911387,-0.2532431,-0.182364,-0.1311006,0.0512634
77,-0.50052613,-0.4836426,"('unmotivated', 'motivated')",-1.027136,-0.9043807,-0.763831,-0.6940116,0.0698194
78,-0.13765936,-0.10057713,"('nonresilient', 'resilient')",0.028012924,0.037113793,-0.0548232,-0.0317317,0.0230915
79,-0.18310411,-0.21903083,"('wavering', 'unwavering')",-0.7193211,-0.7110346,-0.4512126,-0.4650327,-0.0138201
80,-0.104294926,-0.072366625,"('dominated', 'dominating')",-0.62456816,-0.4418456,-0.3644316,-0.2571061,0.1073255
81,0.05526375,-0.00025895052,"('submissive', 'aggressive')",-0.44440538,-0.30819207,-0.1945708,-0.1542255,0.0403453
82,-0.9899552,-1.0245777,"('poor', 'rich')",5.9323306,5.9118414,2.4711876,2.4436319,-0.0275557
83,0.1274072,0.11238974,"('powerless', 'powerful')",-1.0118703,-1.0106016,-0.4422315,-0.4491059,-0.0068744
84,0.15641885,0.12507755,"('inferior', 'superior')",1.0367014,0.9772539,0.5965601,0.5511657,-0.0453944
85,0.63463926,0.6132789,"('insignificant', 'prestigious')",0.12744336,0.05633658,0.3810413,0.3348078,-0.0462335
86,-1.4653337,-1.5806783,"('uninfluential', 'influential')",-0.36236387,-0.4555245,-0.9138488,-1.0181015,-0.1042527
87,-0.05537214,-0.11390733,"('unsuccessful', 'successful')",0.9700447,1.023449,0.4573363,0.4547708,-0.0025655
88,0.004769622,-0.0803759,"('low', 'eminent')",-0.036068898,-0.12483118,-0.0156496,-0.1026035,-0.0869539
