,sediment_male,sediment_female,tuple,average_male,average_female,female-male
0,0.4825782,0.42669612,"('unsociable', 'sociable')",0.4825782,0.4266961,-0.0558821
1,1.4420079,1.562175,"('unfriendly', 'friendly')",1.4420079,1.562175,0.1201671
2,0.22237383,0.46945363,"('unlikable', 'likable')",0.2223738,0.4694536,0.2470798
3,1.3812999,1.4491879,"('repellent', 'pleasant')",1.3812999,1.4491879,0.067888
4,-7.1740127,-7.0091367,"('disliked', 'liked')",-7.1740127,-7.0091367,0.164876
5,-0.38049704,-0.04342723,"('distant', 'outgoing')",-0.380497,-0.0434272,0.3370698
6,-0.09962413,0.18026632,"('distant', 'open')",-0.0996241,0.1802663,0.2798904
7,1.5510323,1.6494097,"('insensitive', 'sensitive')",1.5510323,1.6494097,0.0983774
8,0.8718084,0.8579601,"('unaffectionate', 'affectionate')",0.8718084,0.8579601,-0.0138483
9,1.4972216,1.6146972,"('unaffectionate', 'caring')",1.4972216,1.6146972,0.1174756
10,1.422563,1.450671,"('unsympathetic', 'sympathetic')",1.422563,1.450671,0.028108
11,2.2747908,2.2606816,"('unhelpful', 'helpful')",2.2747908,2.2606816,-0.0141092
12,-1.0428838,-0.6960618,"('unsupportive', 'supportive')",-1.0428838,-0.6960618,0.346822
13,0.42198792,0.30801442,"('impolite', 'polite')",0.4219879,0.3080144,-0.1139735
14,0.31746987,0.20941544,"('antisocial', 'social')",0.3174699,0.2094154,-0.1080545
15,0.39185318,0.42832112,"('boring', 'funny')",0.3918532,0.4283211,0.0364679
16,-0.6399967,-0.59124255,"('unpopular', 'popular')",-0.6399967,-0.5912426,0.0487541
17,-0.59079427,-0.5093629,"('nasty', 'nice')",-0.5907943,-0.5093629,0.0814314
18,-0.3161364,-0.19727072,"('disagreeable', 'welcoming')",-0.3161364,-0.1972707,0.1188657
19,-0.46331832,-0.09346491,"('inhospitable', 'hospitable')",-0.4633183,-0.0934649,0.3698534
20,0.46391952,0.33225375,"('rough', 'thoughtful')",0.4639195,0.3322538,-0.1316657
21,0.42829633,0.66978526,"('immoral', 'moral')",0.4282963,0.6697853,0.241489
22,-0.0043273885,0.17730324,"('untrustworthy', 'trustworthy')",-0.0043274,0.1773032,0.1816306
23,7.121992,7.099502,"('insincere', 'sincere')",7.1219921,7.0995021,-0.02249
24,1.9978061,2.2240198,"('dishonest', 'honest')",1.9978061,2.2240198,0.2262137
