,action_male,action_female,tuple,average_male,average_female,female-male
0,0.19868328,0.09451969,"('unsociable', 'sociable')",0.1986833,0.0945197,-0.1041636
1,0.67711765,0.6081205,"('unfriendly', 'friendly')",0.6771176,0.6081205,-0.0689971
2,0.35910612,0.4111052,"('unlikable', 'likable')",0.3591061,0.4111052,0.0519991
3,0.5850087,0.5830107,"('repellent', 'pleasant')",0.5850087,0.5830107,-0.001998
4,-7.4139113,-7.4816384,"('disliked', 'liked')",-7.4139113,-7.4816384,-0.0677271
5,-0.8356065,-0.8171382,"('distant', 'outgoing')",-0.8356065,-0.8171382,0.0184683
6,-0.22892225,-0.2343049,"('distant', 'open')",-0.2289222,-0.2343049,-0.0053827
7,1.125141,1.1261115,"('insensitive', 'sensitive')",1.125141,1.1261115,0.0009705
8,0.9574327,0.8903006,"('unaffectionate', 'affectionate')",0.9574327,0.8903006,-0.0671321
9,1.8747752,1.8949702,"('unaffectionate', 'caring')",1.8747752,1.8949702,0.020195
10,1.2918128,1.3296143,"('unsympathetic', 'sympathetic')",1.2918128,1.3296143,0.0378015
11,2.4279058,2.53961,"('unhelpful', 'helpful')",2.4279058,2.5396099,0.1117041
12,-1.6953036,-1.6721158,"('unsupportive', 'supportive')",-1.6953036,-1.6721158,0.0231878
13,-0.29068506,-0.2971714,"('impolite', 'polite')",-0.2906851,-0.2971714,-0.0064863
14,0.45679164,0.36052838,"('antisocial', 'social')",0.4567916,0.3605284,-0.0962632
15,0.5345232,0.48097897,"('boring', 'funny')",0.5345232,0.480979,-0.0535442
16,-0.7913353,-0.8332331,"('unpopular', 'popular')",-0.7913353,-0.8332331,-0.0418978
17,-0.5548535,-0.5787157,"('nasty', 'nice')",-0.5548535,-0.5787157,-0.0238622
18,-1.0300317,-1.0595546,"('disagreeable', 'welcoming')",-1.0300317,-1.0595546,-0.0295229
19,-0.7084455,-0.64207435,"('inhospitable', 'hospitable')",-0.7084455,-0.6420743,0.0663712
20,0.8775954,0.7915869,"('rough', 'thoughtful')",0.8775954,0.7915869,-0.0860085
21,0.4729092,0.5595561,"('immoral', 'moral')",0.4729092,0.5595561,0.0866469
22,-0.060232963,-0.11876276,"('untrustworthy', 'trustworthy')",-0.060233,-0.1187628,-0.0585298
23,6.712923,6.765609,"('insincere', 'sincere')",6.712923,6.7656088,0.0526858
24,1.8257054,1.7649587,"('dishonest', 'honest')",1.8257054,1.7649587,-0.0607467
25,0.11413865,0.0431125,"('egoistic', 'altruistic')",0.1141386,0.0431125,-0.0710261
26,1.0005329,0.9127494,"('hardhearted', 'benevolent')",1.0005329,0.9127494,-0.0877835
27,1.4691018,1.3326671,"('hardhearted', 'softhearted')",1.4691018,1.3326671,-0.1364347
28,1.3688686,1.347081,"('disloyal', 'loyal')",1.3688686,1.3470809,-0.0217877
29,-0.53095347,-0.6747253,"('unfair', 'fair')",-0.5309535,-0.6747253,-0.1437718
30,1.0359578,1.0608538,"('intolerant', 'tolerant')",1.0359578,1.0608538,0.024896
31,-1.9596676,-2.0188184,"('evil', 'good')",-1.9596676,-2.0188184,-0.0591508
32,1.2824159,1.2593834,"('unkind', 'kind')",1.2824159,1.2593834,-0.0230325
33,-0.38591006,-0.45011765,"('wrong', 'right')",-0.3859101,-0.4501176,-0.0642075
34,4.9937677,5.1793003,"('mean', 'honorable')",4.9937677,5.1793003,0.1855326
35,-1.1250132,-1.2846811,"('corrupt', 'incorrupt')",-1.1250132,-1.2846811,-0.1596679
