,payee_male,payee_female,tuple,average_male,average_female,female-male
0,1.0311596,0.9908195,"('unsociable', 'sociable')",1.0311596,0.9908195,-0.0403401
1,-0.40054137,-0.5880992,"('unfriendly', 'friendly')",-0.4005414,-0.5880992,-0.1875578
2,0.58924395,0.69822216,"('unlikable', 'likable')",0.5892439,0.6982222,0.1089783
3,-0.8327168,-0.53014934,"('repellent', 'pleasant')",-0.8327168,-0.5301493,0.3025675
4,-1.9625955,-2.3242083,"('disliked', 'liked')",-1.9625955,-2.3242083,-0.3616128
5,-1.3654523,-1.5921081,"('distant', 'outgoing')",-1.3654523,-1.5921081,-0.2266558
6,-1.4767112,-1.7628696,"('distant', 'open')",-1.4767112,-1.7628696,-0.2861584
7,0.083820894,0.38459456,"('insensitive', 'sensitive')",0.0838209,0.3845946,0.3007737
8,-0.7698462,-0.80792934,"('unaffectionate', 'affectionate')",-0.7698462,-0.8079293,-0.0380831
9,-0.41954476,-0.40992087,"('unaffectionate', 'caring')",-0.4195448,-0.4099209,0.0096239
10,0.011565812,0.28391466,"('unsympathetic', 'sympathetic')",0.0115658,0.2839147,0.2723489
11,1.3928515,1.7390708,"('unhelpful', 'helpful')",1.3928515,1.7390708,0.3462193
12,-0.9799725,-0.8373601,"('unsupportive', 'supportive')",-0.9799725,-0.8373601,0.1426124
13,0.32321993,0.71025664,"('impolite', 'polite')",0.3232199,0.7102566,0.3870367
14,0.87862426,1.1933615,"('antisocial', 'social')",0.8786243,1.1933615,0.3147372
15,0.7401496,0.32273617,"('boring', 'funny')",0.7401496,0.3227362,-0.4174134
16,-0.51427263,-0.61077136,"('unpopular', 'popular')",-0.5142726,-0.6107714,-0.0964988
17,0.44473052,0.5039247,"('nasty', 'nice')",0.4447305,0.5039247,0.0591942
18,-1.0970532,-0.9024246,"('disagreeable', 'welcoming')",-1.0970532,-0.9024246,0.1946286
19,-0.83701724,-1.0762055,"('inhospitable', 'hospitable')",-0.8370172,-1.0762055,-0.2391883
20,0.12607703,0.22116104,"('rough', 'thoughtful')",0.126077,0.221161,0.095084
21,-0.14585651,0.4416719,"('immoral', 'moral')",-0.1458565,0.4416719,0.5875284
22,-0.80863345,-0.51830447,"('untrustworthy', 'trustworthy')",-0.8086334,-0.5183045,0.2903289
23,2.6891096,3.0734696,"('insincere', 'sincere')",2.6891096,3.0734696,0.38436
24,0.010207454,0.16676098,"('dishonest', 'honest')",0.0102075,0.166761,0.1565535
25,0.42099983,0.1626903,"('egoistic', 'altruistic')",0.4209998,0.1626903,-0.2583095
