,everybody_male,everybody_female,tuple,average_male,average_female,female-male
0,0.053127576,-0.11205788,"('unsociable', 'sociable')",0.0531276,-0.1120579,-0.1651855
1,1.6019813,1.6564593,"('unfriendly', 'friendly')",1.6019813,1.6564593,0.054478
2,0.58633024,0.6561955,"('unlikable', 'likable')",0.5863302,0.6561955,0.0698653
3,0.93518245,0.9559722,"('repellent', 'pleasant')",0.9351825,0.9559722,0.0207897
4,-6.7716312,-6.7210546,"('disliked', 'liked')",-6.7716312,-6.7210546,0.0505766
5,0.20641738,0.29673353,"('distant', 'outgoing')",0.2064174,0.2967335,0.0903161
6,0.24328464,0.34817305,"('distant', 'open')",0.2432846,0.3481731,0.1048885
7,1.2169566,1.1736298,"('insensitive', 'sensitive')",1.2169566,1.1736298,-0.0433268
8,0.88620937,0.9244061,"('unaffectionate', 'affectionate')",0.8862094,0.9244061,0.0381967
9,1.4829193,1.5349228,"('unaffectionate', 'caring')",1.4829193,1.5349228,0.0520035
10,1.0427614,1.023373,"('unsympathetic', 'sympathetic')",1.0427614,1.023373,-0.0193884
11,2.360859,2.333547,"('unhelpful', 'helpful')",2.3608589,2.3335471,-0.0273118
12,-1.2436044,-1.239852,"('unsupportive', 'supportive')",-1.2436044,-1.239852,0.0037524
13,0.14028358,0.0418765,"('impolite', 'polite')",0.1402836,0.0418765,-0.0984071
14,-0.0407006,-0.26362285,"('antisocial', 'social')",-0.0407006,-0.2636229,-0.2229223
15,0.60263944,0.6128819,"('boring', 'funny')",0.6026394,0.6128819,0.0102425
16,-0.50493246,-0.44506413,"('unpopular', 'popular')",-0.5049325,-0.4450641,0.0598684
17,-0.056587342,-0.018898662,"('nasty', 'nice')",-0.0565873,-0.0188987,0.0376886
18,-0.42668992,-0.46542773,"('disagreeable', 'welcoming')",-0.4266899,-0.4654277,-0.0387378
19,0.16483414,0.22516957,"('inhospitable', 'hospitable')",0.1648341,0.2251696,0.0603355
20,0.72718,0.599517,"('rough', 'thoughtful')",0.72718,0.599517,-0.127663
21,0.455133,0.45476505,"('immoral', 'moral')",0.455133,0.4547651,-0.0003679
22,0.24958056,0.1950484,"('untrustworthy', 'trustworthy')",0.2495806,0.1950484,-0.0545322
23,6.934979,6.9119754,"('insincere', 'sincere')",6.934979,6.9119754,-0.0230036
24,2.1876297,2.220465,"('dishonest', 'honest')",2.1876297,2.2204649,0.0328352
25,0.22340497,0.19914514,"('egoistic', 'altruistic')",0.223405,0.1991451,-0.0242599
26,0.038219772,0.039273098,"('hardhearted', 'benevolent')",0.0382198,0.0392731,0.0010533
27,1.297571,1.2734466,"('hardhearted', 'softhearted')",1.2975709,1.2734466,-0.0241243
28,1.2151026,1.1914285,"('disloyal', 'loyal')",1.2151026,1.1914285,-0.0236741
29,-0.06594999,-0.1893522,"('unfair', 'fair')",-0.06595,-0.1893522,-0.1234022
