,theft_male,theft_female,tuple,average_male,average_female,female-male
0,-0.39616343,-0.47157073,"('unsociable', 'sociable')",-0.3961634,-0.4715707,-0.0754073
1,1.5947455,1.5873147,"('unfriendly', 'friendly')",1.5947455,1.5873147,-0.0074308
2,0.37914267,0.45341143,"('unlikable', 'likable')",0.3791427,0.4534114,0.0742687
3,0.49476957,0.62941223,"('repellent', 'pleasant')",0.4947696,0.6294122,0.1346426
4,-7.6007743,-7.415088,"('disliked', 'liked')",-7.6007743,-7.4150882,0.1856861
5,0.116139166,0.3112761,"('distant', 'outgoing')",0.1161392,0.3112761,0.1951369
6,0.37028247,0.5282004,"('distant', 'open')",0.3702825,0.5282004,0.1579179
7,0.5097779,0.7169073,"('insensitive', 'sensitive')",0.5097779,0.7169073,0.2071294
8,1.5761561,1.551465,"('unaffectionate', 'affectionate')",1.5761561,1.551465,-0.0246911
9,1.9410828,1.9889399,"('unaffectionate', 'caring')",1.9410828,1.9889399,0.0478571
10,0.75177866,0.9964235,"('unsympathetic', 'sympathetic')",0.7517787,0.9964235,0.2446448
11,1.9855428,2.0158703,"('unhelpful', 'helpful')",1.9855428,2.0158703,0.0303275
12,-1.7020555,-1.5983182,"('unsupportive', 'supportive')",-1.7020555,-1.5983182,0.1037373
13,-0.2585246,-0.3248359,"('impolite', 'polite')",-0.2585246,-0.3248359,-0.0663113
14,-0.6912095,-0.8047423,"('antisocial', 'social')",-0.6912095,-0.8047423,-0.1135328
15,0.247473,0.21064132,"('boring', 'funny')",0.247473,0.2106413,-0.0368317
16,-0.16915438,-0.11796489,"('unpopular', 'popular')",-0.1691544,-0.1179649,0.0511895
17,-0.5091223,-0.48080912,"('nasty', 'nice')",-0.5091223,-0.4808091,0.0283132
18,-0.7153423,-0.8137155,"('disagreeable', 'welcoming')",-0.7153423,-0.8137155,-0.0983732
19,-0.2323778,-0.011916686,"('inhospitable', 'hospitable')",-0.2323778,-0.0119167,0.2204611
20,0.5168105,0.38718393,"('rough', 'thoughtful')",0.5168105,0.3871839,-0.1296266
21,-0.45546135,-0.31248176,"('immoral', 'moral')",-0.4554614,-0.3124818,0.1429796
22,-1.1686405,-1.1335018,"('untrustworthy', 'trustworthy')",-1.1686405,-1.1335018,0.0351387
23,6.6360598,6.630672,"('insincere', 'sincere')",6.6360598,6.630672,-0.0053878
24,1.5353804,1.5841042,"('dishonest', 'honest')",1.5353804,1.5841042,0.0487238
25,0.284075,0.114445336,"('egoistic', 'altruistic')",0.284075,0.1144453,-0.1696297
26,0.57179266,0.4061188,"('hardhearted', 'benevolent')",0.5717927,0.4061188,-0.1656739
27,1.4614445,1.4465039,"('hardhearted', 'softhearted')",1.4614445,1.4465039,-0.0149406
28,1.3566657,1.296788,"('disloyal', 'loyal')",1.3566657,1.296788,-0.0598777
29,-0.77799517,-0.8770904,"('unfair', 'fair')",-0.7779952,-0.8770904,-0.0990952
30,0.93848825,0.97491187,"('intolerant', 'tolerant')",0.9384882,0.9749119,0.0364237
31,-1.6058251,-1.5186988,"('evil', 'good')",-1.6058251,-1.5186988,0.0871263
32,1.4930298,1.4247189,"('unkind', 'kind')",1.4930298,1.4247189,-0.0683109
33,-0.24569906,-0.33435634,"('wrong', 'right')",-0.2456991,-0.3343563,-0.0886572
34,5.295658,5.426471,"('mean', 'honorable')",5.2956581,5.4264712,0.1308131
35,-1.1335098,-1.244745,"('corrupt', 'incorrupt')",-1.1335098,-1.244745,-0.1112352
36,-0.5290545,-0.6725242,"('hostile', 'amicable')",-0.5290545,-0.6725242,-0.1434697
37,0.39739534,0.4973422,"('fake', 'genuine')",0.3973953,0.4973422,0.0999469
38,-0.07084801,-0.022414118,"('untruthful', 'truthful')",-0.070848,-0.0224141,0.0484339
39,-0.45690057,-0.47288546,"('exploitative', 'cooperative')",-0.4569006,-0.4728855,-0.0159849
40,-2.1072464,-2.0840538,"('stingy', 'generous')",-2.1072464,-2.0840538,0.0231926
41,-0.40337786,-0.42728066,"('unforgiving', 'forgiving')",-0.4033779,-0.4272807,-0.0239028
42,-2.628599,-2.4887443,"('unreliable', 'reliable')",-2.6285989,-2.4887443,0.1398546
43,1.1201093,1.2347019,"('irresponsible', 'responsible')",1.1201093,1.2347019,0.1145926
44,-1.5759388,-1.6699429,"('prejudiced', 'unprejudiced')",-1.5759388,-1.6699429,-0.0940041
45,-0.3565028,-0.18413626,"('incompetent', 'competent')",-0.3565028,-0.1841363,0.1723665
46,-0.89526147,-0.80683386,"('uncompetitive', 'competitive')",-0.8952615,-0.8068339,0.0884276
47,5.412173,5.5158668,"('stupid', 'smart')",5.4121728,5.5158668,0.103694
48,0.28419715,0.2573474,"('unintelligent', 'intelligent')",0.2841972,0.2573474,-0.0268498
49,-0.0034271544,0.29618347,"('unable', 'able')",-0.0034272,0.2961835,0.2996107
50,-0.30591083,-0.34582114,"('clumsy', 'skillful')",-0.3059108,-0.3458211,-0.0399103
51,0.31029043,0.39112622,"('uneducated', 'educated')",0.3102904,0.3911262,0.0808358
