,query_male,query_female,tuple,average_male,average_female,female-male
0,0.3463348,0.2719909,"('unsociable', 'sociable')",0.3463348,0.2719909,-0.0743439
1,1.1052966,1.2469997,"('unfriendly', 'friendly')",1.1052966,1.2469997,0.1417031
2,0.6204241,0.7415475,"('unlikable', 'likable')",0.6204241,0.7415475,0.1211234
3,0.9865923,1.1637334,"('repellent', 'pleasant')",0.9865923,1.1637334,0.1771411
4,-7.279814,-7.241653,"('disliked', 'liked')",-7.2798138,-7.241653,0.0381608
5,-0.70523685,-0.29799312,"('distant', 'outgoing')",-0.7052369,-0.2979931,0.4072438
6,-0.27990806,0.14767721,"('distant', 'open')",-0.2799081,0.1476772,0.4275853
7,0.9554754,1.2033315,"('insensitive', 'sensitive')",0.9554754,1.2033315,0.2478561
8,0.79197913,0.92015857,"('unaffectionate', 'affectionate')",0.7919791,0.9201586,0.1281795
9,1.3714331,1.6075584,"('unaffectionate', 'caring')",1.3714331,1.6075584,0.2361253
10,1.6967034,1.8508648,"('unsympathetic', 'sympathetic')",1.6967034,1.8508648,0.1541614
11,2.2104802,2.2966542,"('unhelpful', 'helpful')",2.2104802,2.2966542,0.086174
12,-1.6376712,-1.4420379,"('unsupportive', 'supportive')",-1.6376712,-1.4420379,0.1956333
13,0.8108725,0.67605454,"('impolite', 'polite')",0.8108725,0.6760545,-0.134818
14,0.06352321,-0.025465127,"('antisocial', 'social')",0.0635232,-0.0254651,-0.0889883
15,0.17329139,0.11097796,"('boring', 'funny')",0.1732914,0.110978,-0.0623134
16,-0.47552198,-0.32909748,"('unpopular', 'popular')",-0.475522,-0.3290975,0.1464245
17,-0.19363819,-0.19985084,"('nasty', 'nice')",-0.1936382,-0.1998508,-0.0062126
18,-0.706886,-0.70292073,"('disagreeable', 'welcoming')",-0.706886,-0.7029207,0.0039653
19,-0.94565994,-0.66086745,"('inhospitable', 'hospitable')",-0.9456599,-0.6608675,0.2847924
20,1.0187445,0.95460916,"('rough', 'thoughtful')",1.0187445,0.9546092,-0.0641353
21,0.3994388,0.52922964,"('immoral', 'moral')",0.3994388,0.5292296,0.1297908
22,-0.012178352,0.038996536,"('untrustworthy', 'trustworthy')",-0.0121784,0.0389965,0.0511749
23,6.4213157,6.6414704,"('insincere', 'sincere')",6.4213157,6.6414704,0.2201547
24,2.028531,2.2889423,"('dishonest', 'honest')",2.0285311,2.2889423,0.2604112
25,0.2750991,0.17170104,"('egoistic', 'altruistic')",0.2750991,0.171701,-0.1033981
26,0.32399303,0.19083112,"('hardhearted', 'benevolent')",0.323993,0.1908311,-0.1331619
27,1.5933775,1.6087902,"('hardhearted', 'softhearted')",1.5933775,1.6087902,0.0154127
28,1.3560286,1.3907135,"('disloyal', 'loyal')",1.3560286,1.3907135,0.0346849
29,-0.84055674,-0.7873701,"('unfair', 'fair')",-0.8405567,-0.7873701,0.0531866
30,1.0822909,1.0563707,"('intolerant', 'tolerant')",1.0822909,1.0563707,-0.0259202
31,-1.9899782,-1.7624927,"('evil', 'good')",-1.9899782,-1.7624927,0.2274855
32,1.7628548,1.744259,"('unkind', 'kind')",1.7628548,1.744259,-0.0185958
33,-0.61334985,-0.5283791,"('wrong', 'right')",-0.6133499,-0.5283791,0.0849708
34,4.377765,4.734931,"('mean', 'honorable')",4.3777652,4.734931,0.3571658
