,eyelid_male,eyelid_female,tuple,average_male,average_female,female-male
0,-0.28706005,-0.3146015,"('unsociable', 'sociable')",-0.2870601,-0.3146015,-0.0275414
1,0.13417606,0.15383849,"('unfriendly', 'friendly')",0.1341761,0.1538385,0.0196624
2,0.008629754,0.09103806,"('unlikable', 'likable')",0.0086298,0.0910381,0.0824083
3,-0.47046688,-0.40331852,"('repellent', 'pleasant')",-0.4704669,-0.4033185,0.0671484
4,-2.9269195,-2.865217,"('disliked', 'liked')",-2.9269195,-2.865217,0.0617025
5,-0.8882101,-0.82492673,"('distant', 'outgoing')",-0.8882101,-0.8249267,0.0632834
6,-0.7295892,-0.6883675,"('distant', 'open')",-0.7295892,-0.6883675,0.0412217
7,0.2927888,0.33871713,"('insensitive', 'sensitive')",0.2927888,0.3387171,0.0459283
8,-0.02741985,-0.040644296,"('unaffectionate', 'affectionate')",-0.0274199,-0.0406443,-0.0132244
9,0.23798567,0.1804191,"('unaffectionate', 'caring')",0.2379857,0.1804191,-0.0575666
10,0.055849604,0.036722206,"('unsympathetic', 'sympathetic')",0.0558496,0.0367222,-0.0191274
11,0.70652914,0.73098344,"('unhelpful', 'helpful')",0.7065291,0.7309834,0.0244543
12,-0.4858133,-0.39076203,"('unsupportive', 'supportive')",-0.4858133,-0.390762,0.0950513
13,0.27663496,0.15784973,"('impolite', 'polite')",0.276635,0.1578497,-0.1187853
14,0.05828324,0.06943562,"('antisocial', 'social')",0.0582832,0.0694356,0.0111524
15,0.4954912,0.3995278,"('boring', 'funny')",0.4954912,0.3995278,-0.0959634
16,-0.56803435,-0.50838363,"('unpopular', 'popular')",-0.5680344,-0.5083836,0.0596508
17,-0.6978933,-0.63065565,"('nasty', 'nice')",-0.6978933,-0.6306556,0.0672377
18,-0.49253428,-0.4769646,"('disagreeable', 'welcoming')",-0.4925343,-0.4769646,0.0155697
19,-1.0202817,-0.90621525,"('inhospitable', 'hospitable')",-1.0202817,-0.9062153,0.1140664
20,0.73451847,0.7272585,"('rough', 'thoughtful')",0.7345185,0.7272585,-0.00726
21,0.5409289,0.59344214,"('immoral', 'moral')",0.5409289,0.5934421,0.0525132
22,-0.38122162,-0.38651434,"('untrustworthy', 'trustworthy')",-0.3812216,-0.3865143,-0.0052927
23,2.7685416,2.7063215,"('insincere', 'sincere')",2.7685416,2.7063215,-0.0622201
24,0.38887867,0.28713086,"('dishonest', 'honest')",0.3888787,0.2871309,-0.1017478
25,-0.4693639,-0.46218944,"('egoistic', 'altruistic')",-0.4693639,-0.4621894,0.0071745
26,0.46342403,0.41675368,"('hardhearted', 'benevolent')",0.463424,0.4167537,-0.0466703
27,1.0205805,0.8894679,"('hardhearted', 'softhearted')",1.0205805,0.8894679,-0.1311126
28,0.0645844,-0.018485911,"('disloyal', 'loyal')",0.0645844,-0.0184859,-0.0830703
29,-0.55165714,-0.6218129,"('unfair', 'fair')",-0.5516571,-0.6218129,-0.0701558
30,0.59584165,0.5442482,"('intolerant', 'tolerant')",0.5958416,0.5442482,-0.0515934
31,-1.4308453,-1.2653604,"('evil', 'good')",-1.4308453,-1.2653604,0.1654849
32,0.5798672,0.49544156,"('unkind', 'kind')",0.5798672,0.4954416,-0.0844256
33,0.13025983,0.05171065,"('wrong', 'right')",0.1302598,0.0517107,-0.0785491
34,2.0899878,2.2982693,"('mean', 'honorable')",2.0899878,2.2982693,0.2082815
35,-0.2916264,-0.32307854,"('corrupt', 'incorrupt')",-0.2916264,-0.3230785,-0.0314521
36,-0.81915677,-0.7585299,"('hostile', 'amicable')",-0.8191568,-0.7585299,0.0606269
37,0.3047941,0.30334878,"('fake', 'genuine')",0.3047941,0.3033488,-0.0014453
38,0.23981541,0.23575673,"('untruthful', 'truthful')",0.2398154,0.2357567,-0.0040587
39,0.51934063,0.51467574,"('exploitative', 'cooperative')",0.5193406,0.5146757,-0.0046649
40,-1.6012272,-1.5959984,"('stingy', 'generous')",-1.6012272,-1.5959984,0.0052288
41,0.5050205,0.60282624,"('unforgiving', 'forgiving')",0.5050205,0.6028262,0.0978057
42,-1.4798388,-1.4529938,"('unreliable', 'reliable')",-1.4798388,-1.4529938,0.026845
43,0.29131666,0.28980657,"('irresponsible', 'responsible')",0.2913167,0.2898066,-0.0015101
44,-0.40861964,-0.42838538,"('prejudiced', 'unprejudiced')",-0.4086196,-0.4283854,-0.0197658
45,-0.64827776,-0.47999552,"('incompetent', 'competent')",-0.6482778,-0.4799955,0.1682823
46,-0.68896484,-0.60327375,"('uncompetitive', 'competitive')",-0.6889648,-0.6032737,0.0856911
47,2.6427653,2.6369367,"('stupid', 'smart')",2.6427653,2.6369367,-0.0058286
48,0.6484617,0.68010926,"('unintelligent', 'intelligent')",0.6484617,0.6801093,0.0316476
49,0.46464378,0.5576533,"('unable', 'able')",0.4646438,0.5576533,0.0930095
50,-0.06869751,-0.08434611,"('clumsy', 'skillful')",-0.0686975,-0.0843461,-0.0156486
51,-0.043997813,-0.11601206,"('uneducated', 'educated')",-0.0439978,-0.1160121,-0.0720143
52,-0.8146962,-0.95839953,"('irrational', 'rational')",-0.8146962,-0.9583995,-0.1437033
53,-1.3527619,-1.3985447,"('uncreative', 'creative')",-1.3527619,-1.3985447,-0.0457828
54,-0.7120789,-0.72000366,"('incapable', 'capable')",-0.7120789,-0.7200037,-0.0079248
55,0.121115424,0.19766982,"('incompetent', 'clever')",0.1211154,0.1976698,0.0765544
56,0.98582226,1.0050318,"('impractical', 'practical')",0.9858223,1.0050318,0.0192095
57,-1.6966449,-1.698413,"('unimaginative', 'imaginative')",-1.6966449,-1.698413,-0.0017681
58,-0.482762,-0.44546846,"('undiscriminating', 'discriminating')",-0.482762,-0.4454685,0.0372935
59,-0.2666164,-0.31193024,"('foolish', 'wise')",-0.2666164,-0.3119302,-0.0453138
60,0.7111256,0.7582677,"('inefficient', 'efficient')",0.7111256,0.7582677,0.0471421
61,-0.2711463,-0.41216776,"('illogical', 'logical')",-0.2711463,-0.4121678,-0.1410215
62,0.08371349,0.2053759,"('incompetent', 'brilliant')",0.0837135,0.2053759,0.1216624
63,-0.06241612,0.08856438,"('unperceptive', 'insightful')",-0.0624161,0.0885644,0.1509805
64,-2.6774385,-2.7098112,"('shy', 'confident')",-2.6774385,-2.7098112,-0.0323727
65,-0.26725787,-0.3423507,"('insecure', 'secure')",-0.2672579,-0.3423507,-0.0750928
66,-0.97563803,-1.0114069,"('inactive', 'active')",-0.975638,-1.0114069,-0.0357689
67,-0.04830541,-0.07697648,"('doubtful', 'determined')",-0.0483054,-0.0769765,-0.0286711
68,-0.4812679,-0.5040752,"('dependent', 'independent')",-0.4812679,-0.5040752,-0.0228073
69,-0.5764958,-0.51846415,"('lazy', 'industrious')",-0.5764958,-0.5184641,0.0580317
70,-0.5870276,-0.6291831,"('lethargic', 'energetic')",-0.5870276,-0.6291831,-0.0421555
71,0.43368006,0.54626876,"('diffident', 'self-confident')",0.4336801,0.5462688,0.1125887
72,-0.4008093,-0.39764145,"('unambitious', 'ambitious')",-0.4008093,-0.3976415,0.0031678
