,interaction_male,interaction_female,tuple,average_male,average_female,female-male
0,-0.08819763,-0.07633966,"('unsociable', 'sociable')",-0.0881976,-0.0763397,0.0118579
1,0.8282988,0.71721727,"('unfriendly', 'friendly')",0.8282988,0.7172173,-0.1110815
2,-0.100431226,-0.026877724,"('unlikable', 'likable')",-0.1004312,-0.0268777,0.0735535
3,0.80257905,0.87908864,"('repellent', 'pleasant')",0.802579,0.8790886,0.0765096
4,-7.3700476,-7.5148,"('disliked', 'liked')",-7.3700476,-7.5148001,-0.1447525
5,-0.85322875,-0.8670574,"('distant', 'outgoing')",-0.8532287,-0.8670574,-0.0138287
6,-0.25595114,-0.3452603,"('distant', 'open')",-0.2559511,-0.3452603,-0.0893092
7,0.7484774,0.81442565,"('insensitive', 'sensitive')",0.7484774,0.8144256,0.0659482
8,0.92807543,0.7747766,"('unaffectionate', 'affectionate')",0.9280754,0.7747766,-0.1532988
9,1.1807356,1.1435522,"('unaffectionate', 'caring')",1.1807356,1.1435522,-0.0371834
10,1.2008219,1.2394898,"('unsympathetic', 'sympathetic')",1.2008219,1.2394898,0.0386679
11,1.4379095,1.4523957,"('unhelpful', 'helpful')",1.4379095,1.4523957,0.0144862
12,-1.8277673,-1.8700646,"('unsupportive', 'supportive')",-1.8277673,-1.8700646,-0.0422973
13,-0.17243499,-0.12794371,"('impolite', 'polite')",-0.172435,-0.1279437,0.0444913
14,0.52813524,0.51921856,"('antisocial', 'social')",0.5281352,0.5192186,-0.0089166
15,-0.032912444,-0.136787,"('boring', 'funny')",-0.0329124,-0.136787,-0.1038746
16,-0.70218223,-0.72033966,"('unpopular', 'popular')",-0.7021822,-0.7203397,-0.0181575
17,-0.4832712,-0.37973708,"('nasty', 'nice')",-0.4832712,-0.3797371,0.1035341
18,-0.13775821,-0.19591388,"('disagreeable', 'welcoming')",-0.1377582,-0.1959139,-0.0581557
19,-0.9673431,-1.0289737,"('inhospitable', 'hospitable')",-0.9673431,-1.0289737,-0.0616306
20,1.0482703,0.9710007,"('rough', 'thoughtful')",1.0482703,0.9710007,-0.0772696
21,-0.33376446,-0.22292769,"('immoral', 'moral')",-0.3337645,-0.2229277,0.1108368
22,-0.30426335,-0.2946518,"('untrustworthy', 'trustworthy')",-0.3042634,-0.2946518,0.0096116
23,6.1161857,6.1440744,"('insincere', 'sincere')",6.1161857,6.1440744,0.0278887
24,1.3847932,1.2611264,"('dishonest', 'honest')",1.3847932,1.2611264,-0.1236668
25,0.73952305,0.6591787,"('egoistic', 'altruistic')",0.7395231,0.6591787,-0.0803444
26,0.79473615,0.66835153,"('hardhearted', 'benevolent')",0.7947361,0.6683515,-0.1263846
