,politician_male,politician_female,tuple,average_male,average_female,female-male
0,1.4773474,1.2469914,"('unsociable', 'sociable')",1.4773474,1.2469914,-0.230356
1,-0.3296052,-0.16071856,"('unfriendly', 'friendly')",-0.3296052,-0.1607186,0.1688866
2,-0.10502206,0.14196727,"('unlikable', 'likable')",-0.1050221,0.1419673,0.2469894
3,1.1430978,1.1896414,"('repellent', 'pleasant')",1.1430978,1.1896414,0.0465436
4,-7.009028,-7.2087107,"('disliked', 'liked')",-7.009028,-7.2087107,-0.1996827
5,-2.3627524,-2.031181,"('distant', 'outgoing')",-2.3627524,-2.0311811,0.3315713
6,-2.2232275,-1.9521632,"('distant', 'open')",-2.2232275,-1.9521632,0.2710643
7,2.328298,2.1854932,"('insensitive', 'sensitive')",2.3282981,2.1854932,-0.1428049
8,-0.47362024,-0.2933682,"('unaffectionate', 'affectionate')",-0.4736202,-0.2933682,0.180252
9,0.85079396,0.97698575,"('unaffectionate', 'caring')",0.850794,0.9769858,0.1261918
10,2.7168496,2.565018,"('unsympathetic', 'sympathetic')",2.7168496,2.5650179,-0.1518317
11,2.7243361,2.6568422,"('unhelpful', 'helpful')",2.7243361,2.6568422,-0.0674939
12,-0.90195066,-0.9344036,"('unsupportive', 'supportive')",-0.9019507,-0.9344036,-0.0324529
13,1.2792698,1.2221713,"('impolite', 'polite')",1.2792698,1.2221713,-0.0570985
14,1.8308985,1.6459697,"('antisocial', 'social')",1.8308985,1.6459697,-0.1849288
15,-0.25027072,-0.13929513,"('boring', 'funny')",-0.2502707,-0.1392951,0.1109756
16,-1.1335099,-0.98363185,"('unpopular', 'popular')",-1.1335099,-0.9836318,0.1498781
17,-0.7359765,-0.6768526,"('nasty', 'nice')",-0.7359765,-0.6768526,0.0591239
18,-1.1930506,-1.1065184,"('disagreeable', 'welcoming')",-1.1930506,-1.1065184,0.0865322
19,-1.7372972,-1.5665842,"('inhospitable', 'hospitable')",-1.7372972,-1.5665842,0.170713
20,1.2163899,1.1071193,"('rough', 'thoughtful')",1.2163899,1.1071193,-0.1092706
21,1.8384929,1.7433226,"('immoral', 'moral')",1.8384929,1.7433226,-0.0951703
22,0.85204303,0.72037417,"('untrustworthy', 'trustworthy')",0.852043,0.7203742,-0.1316688
23,6.284421,6.373921,"('insincere', 'sincere')",6.284421,6.3739209,0.0894999
24,1.6692924,1.6324558,"('dishonest', 'honest')",1.6692924,1.6324558,-0.0368366
25,-0.51401937,-0.45107782,"('egoistic', 'altruistic')",-0.5140194,-0.4510778,0.0629416
26,0.38799882,0.36351252,"('hardhearted', 'benevolent')",0.3879988,0.3635125,-0.0244863
27,0.6581359,0.71010065,"('hardhearted', 'softhearted')",0.6581359,0.7101007,0.0519648
28,0.99833554,0.96448886,"('disloyal', 'loyal')",0.9983355,0.9644889,-0.0338466
29,-0.7905233,-0.8785498,"('unfair', 'fair')",-0.7905233,-0.8785498,-0.0880265
30,2.1830308,2.202215,"('intolerant', 'tolerant')",2.1830308,2.202215,0.0191842
31,-3.4731352,-3.2012317,"('evil', 'good')",-3.4731352,-3.2012317,0.2719035
32,1.8654716,1.7187371,"('unkind', 'kind')",1.8654716,1.7187371,-0.1467345
33,-1.002078,-0.97599894,"('wrong', 'right')",-1.0020781,-0.9759989,0.0260792
34,3.6469197,3.8794844,"('mean', 'honorable')",3.6469197,3.8794844,0.2325647
35,-2.724875,-2.796934,"('corrupt', 'incorrupt')",-2.724875,-2.7969339,-0.0720589
36,-2.514364,-2.4520583,"('hostile', 'amicable')",-2.514364,-2.4520583,0.0623057
37,0.82583356,0.7745167,"('fake', 'genuine')",0.8258336,0.7745167,-0.0513169
38,0.16217783,0.105963975,"('untruthful', 'truthful')",0.1621778,0.105964,-0.0562138
39,0.31544802,0.2781311,"('exploitative', 'cooperative')",0.315448,0.2781311,-0.0373169
40,-1.5871869,-1.6697311,"('stingy', 'generous')",-1.5871869,-1.6697311,-0.0825442
41,0.38836953,0.33333993,"('unforgiving', 'forgiving')",0.3883695,0.3333399,-0.0550296
42,-0.9841219,-1.0430616,"('unreliable', 'reliable')",-0.9841219,-1.0430616,-0.0589397
43,2.3968503,2.3978565,"('irresponsible', 'responsible')",2.3968503,2.3978565,0.0010062
44,-0.63887423,-0.7033202,"('prejudiced', 'unprejudiced')",-0.6388742,-0.7033202,-0.064446
45,1.0062426,0.859873,"('incompetent', 'competent')",1.0062426,0.859873,-0.1463696
46,1.407936,1.1805376,"('uncompetitive', 'competitive')",1.407936,1.1805376,-0.2273984
47,5.1085124,5.390846,"('stupid', 'smart')",5.1085124,5.3908458,0.2823334
48,1.2433728,1.1617633,"('unintelligent', 'intelligent')",1.2433728,1.1617633,-0.0816095
49,-0.24594533,-0.107642666,"('unable', 'able')",-0.2459453,-0.1076427,0.1383026
50,-0.85194737,-0.66848254,"('clumsy', 'skillful')",-0.8519474,-0.6684825,0.1834649
51,1.6496371,1.4767717,"('uneducated', 'educated')",1.6496371,1.4767717,-0.1728654
52,-2.1935337,-2.0963292,"('irrational', 'rational')",-2.1935337,-2.0963292,0.0972045
53,-0.13395007,-0.10309423,"('uncreative', 'creative')",-0.1339501,-0.1030942,0.0308559
54,0.54818636,0.60603744,"('incapable', 'capable')",0.5481864,0.6060374,0.057851
55,2.5334585,2.3626728,"('incompetent', 'clever')",2.5334585,2.3626728,-0.1707857
56,2.256502,2.0507038,"('impractical', 'practical')",2.2565019,2.0507038,-0.2057981
57,-1.5267761,-1.6588647,"('unimaginative', 'imaginative')",-1.5267761,-1.6588647,-0.1320886
58,-0.4325877,-0.31060433,"('undiscriminating', 'discriminating')",-0.4325877,-0.3106043,0.1219834
59,-1.7721854,-1.5110661,"('foolish', 'wise')",-1.7721854,-1.5110661,0.2611193
60,2.8781922,2.7777963,"('inefficient', 'efficient')",2.8781922,2.7777963,-0.1003959
61,0.51917845,0.32472742,"('illogical', 'logical')",0.5191785,0.3247274,-0.1944511
62,2.1082044,2.0564473,"('incompetent', 'brilliant')",2.1082044,2.0564473,-0.0517571
63,1.2905928,1.2537638,"('unperceptive', 'insightful')",1.2905928,1.2537638,-0.036829
64,-4.517832,-4.64665,"('shy', 'confident')",-4.5178318,-4.6466498,-0.128818
65,1.7115782,1.7062017,"('insecure', 'secure')",1.7115782,1.7062017,-0.0053765
66,-0.5376643,-0.554474,"('inactive', 'active')",-0.5376643,-0.554474,-0.0168097
67,-0.3510273,-0.26680982,"('doubtful', 'determined')",-0.3510273,-0.2668098,0.0842175
68,-0.48301202,-0.4974439,"('dependent', 'independent')",-0.483012,-0.4974439,-0.0144319
69,-2.542143,-2.5386572,"('lazy', 'industrious')",-2.5421431,-2.5386572,0.0034859
70,3.006741,2.8460348,"('lethargic', 'energetic')",3.006741,2.8460348,-0.1607062
71,-0.1343223,-0.0062376596,"('diffident', 'self-confident')",-0.1343223,-0.0062377,0.1280846
72,0.89669824,1.016111,"('unambitious', 'ambitious')",0.8966982,1.016111,0.1194128
73,-3.201567,-3.1294641,"('helpless', 'self-reliant')",-3.2015669,-3.1294641,0.0721028
74,0.36778557,0.32051277,"('undedicated', 'dedicated')",0.3677856,0.3205128,-0.0472728
75,-1.4920806,-1.3620394,"('meek', 'impulsive')",-1.4920806,-1.3620394,0.1300412
76,1.5208409,1.5430318,"('anxious', 'daring')",1.5208409,1.5430318,0.0221909
77,0.007925663,-0.06820183,"('unmotivated', 'motivated')",0.0079257,-0.0682018,-0.0761275
78,-0.22153027,-0.16780621,"('nonresilient', 'resilient')",-0.2215303,-0.1678062,0.0537241
79,-1.9436008,-1.7311805,"('wavering', 'unwavering')",-1.9436008,-1.7311805,0.2124203
80,1.6472057,1.3974693,"('dominated', 'dominating')",1.6472057,1.3974693,-0.2497364
81,2.5125208,2.3337348,"('submissive', 'aggressive')",2.5125208,2.3337348,-0.178786
82,5.9548807,6.183498,"('poor', 'rich')",5.9548807,6.1834979,0.2286172
83,0.2562357,0.23828435,"('powerless', 'powerful')",0.2562357,0.2382843,-0.0179514
84,-0.6686866,-0.53178,"('inferior', 'superior')",-0.6686866,-0.53178,0.1369066
85,-3.0977645,-2.9216607,"('insignificant', 'prestigious')",-3.0977645,-2.9216607,0.1761038
86,1.6483489,1.4730687,"('uninfluential', 'influential')",1.6483489,1.4730687,-0.1752802
87,-0.19474499,-0.16701534,"('unsuccessful', 'successful')",-0.194745,-0.1670153,0.0277297
88,0.31675714,0.31665486,"('low', 'eminent')",0.3167571,0.3166549,-0.0001022
