,perkinelmer_male,perkinelmer_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.015124417,-0.14219427,"('unsociable', 'sociable')",-0.39005446,-0.56879514,-0.2025894,-0.3554947,-0.1529053
1,-1.3865557,-1.524523,"('unfriendly', 'friendly')",1.6827242,1.5449251,0.1480843,0.010201,-0.1378833
2,0.760732,0.7485989,"('unlikable', 'likable')",0.75869113,0.8467062,0.7597116,0.7976525,0.0379409
3,-0.6455356,-0.63710344,"('repellent', 'pleasant')",0.2658041,0.3360536,-0.1898657,-0.1505249,0.0393408
4,-0.22951266,-0.28137782,"('disliked', 'liked')",-6.335777,-6.3043222,-3.2826447,-3.29285,-0.0102053
5,-1.5141485,-1.4675252,"('distant', 'outgoing')",-0.15380809,-0.13037708,-0.8339783,-0.7989511,0.0350272
6,-1.7063363,-1.6715605,"('distant', 'open')",0.28311086,0.31768775,-0.7116127,-0.6769364,0.0346763
7,-0.43382934,-0.40789294,"('insensitive', 'sensitive')",0.16755235,0.24352151,-0.1331385,-0.0821857,0.0509528
8,-1.2522588,-1.3373445,"('unaffectionate', 'affectionate')",1.0259748,0.9598803,-0.113142,-0.1887321,-0.0755901
9,-1.5047718,-1.5818537,"('unaffectionate', 'caring')",0.98104274,0.95478415,-0.2618645,-0.3135348,-0.0516703
10,-0.88069916,-0.93553317,"('unsympathetic', 'sympathetic')",-0.5752767,-0.57614416,-0.7279879,-0.7558386,-0.0278507
11,-0.21987674,-0.25421065,"('unhelpful', 'helpful')",1.4956257,1.5397104,0.6378745,0.6427499,0.0048754
12,-0.3285218,-0.23287275,"('unsupportive', 'supportive')",-2.1512592,-2.0646214,-1.2398905,-1.1487471,0.0911434
13,0.021582678,-0.00084366,"('impolite', 'polite')",-0.78034425,-0.7577439,-0.3793808,-0.3792938,8.7e-05
14,0.6639039,0.6542506,"('antisocial', 'social')",-0.4563911,-0.55271095,0.1037564,0.0507698,-0.0529866
15,0.3385647,0.26825956,"('boring', 'funny')",0.6590663,0.6044133,0.4988155,0.4363364,-0.0624791
16,-0.7120852,-0.70943123,"('unpopular', 'popular')",0.56801635,0.61068,-0.0720344,-0.0493756,0.0226588
17,0.1596683,0.18511583,"('nasty', 'nice')",-0.36380178,-0.333681,-0.1020667,-0.0742826,0.0277841
18,-0.086576104,-0.029535364,"('disagreeable', 'welcoming')",-0.17273697,-0.165791,-0.1296565,-0.0976632,0.0319933
19,-1.5827212,-1.5748296,"('inhospitable', 'hospitable')",-0.035105973,0.08057232,-0.8089136,-0.7471286,0.061785
20,-0.016566426,0.035154067,"('rough', 'thoughtful')",1.2356253,1.1911204,0.6095294,0.6131372,0.0036078
21,0.1562617,0.07812049,"('immoral', 'moral')",-0.6224463,-0.5769215,-0.2330923,-0.2494005,-0.0163082
22,-0.12762617,-0.16166215,"('untrustworthy', 'trustworthy')",-0.6178086,-0.76403666,-0.3727174,-0.4628494,-0.090132
23,-0.7243207,-0.8298959,"('insincere', 'sincere')",5.364788,5.222595,2.3202336,2.1963496,-0.123884
24,-0.78963256,-0.8221981,"('dishonest', 'honest')",0.70639676,0.6217622,-0.0416179,-0.1002179,-0.0586
25,-0.77802235,-0.76492274,"('egoistic', 'altruistic')",1.4488063,1.3923886,0.335392,0.3137329,-0.0216591
26,-0.04589549,-0.1388024,"('hardhearted', 'benevolent')",1.7507519,1.6067363,0.8524282,0.7339669,-0.1184613
27,-0.5870397,-0.47256336,"('hardhearted', 'softhearted')",1.3917476,1.3491023,0.4023539,0.4382694,0.0359155
28,-0.2639187,-0.39274615,"('disloyal', 'loyal')",0.9404299,0.81006664,0.3382556,0.2086602,-0.1295954
29,-0.6790728,-0.6745327,"('unfair', 'fair')",-0.11610282,-0.32551864,-0.3975878,-0.5000257,-0.1024379
30,0.6542891,0.5681964,"('intolerant', 'tolerant')",1.314546,1.313086,0.9844176,0.9406412,-0.0437764
31,-1.3682294,-1.2812121,"('evil', 'good')",-0.77860856,-0.87459296,-1.073419,-1.0779026,-0.0044836
32,0.16401267,0.09114212,"('unkind', 'kind')",0.87562454,0.7050313,0.5198186,0.3980867,-0.1217319
33,-0.01601594,-0.065061204,"('wrong', 'right')",-0.58348787,-0.6866722,-0.2997519,-0.3758667,-0.0761148
34,-0.63233274,-0.5184047,"('mean', 'honorable')",6.137588,6.2964864,2.7526276,2.8890409,0.1364133
35,-0.6963607,-0.75596243,"('corrupt', 'incorrupt')",0.02523905,-0.10370465,-0.3355608,-0.4298335,-0.0942727
36,-1.7198371,-1.8239592,"('hostile', 'amicable')",0.5223831,0.28250557,-0.598727,-0.7707268,-0.1719998
37,0.34136412,0.29803526,"('fake', 'genuine')",0.30237484,0.28168386,0.3218695,0.2898596,-0.0320099
38,-0.9242083,-0.99223995,"('untruthful', 'truthful')",-0.30539453,-0.2620121,-0.6148014,-0.627126,-0.0123246
39,0.8945086,0.8898272,"('exploitative', 'cooperative')",0.25272167,0.23385936,0.5736151,0.5618433,-0.0117718
40,0.39831096,0.35985836,"('stingy', 'generous')",-1.6236458,-1.6928933,-0.6126674,-0.6665174,-0.05385
41,0.074771926,0.09086942,"('unforgiving', 'forgiving')",0.15969153,0.11520627,0.1172317,0.1030378,-0.0141939
42,0.5582698,0.6129662,"('unreliable', 'reliable')",-3.2935524,-3.115937,-1.3676413,-1.2514853,0.116156
43,0.052295506,0.07931742,"('irresponsible', 'responsible')",0.45365894,0.44313654,0.2529772,0.261227,0.0082498
44,0.70439,0.68459195,"('prejudiced', 'unprejudiced')",-1.4190128,-1.4096153,-0.3573114,-0.3625117,-0.0052003
45,0.20482904,0.14580484,"('incompetent', 'competent')",-0.15944238,-0.18686292,0.0226933,-0.020529,-0.0432223
46,-0.08021581,-0.06529403,"('uncompetitive', 'competitive')",-0.7096756,-0.62442815,-0.3949457,-0.3448611,0.0500846
47,0.19766542,0.26175636,"('stupid', 'smart')",5.637767,5.683663,2.917716,2.9727097,0.0549937
48,0.16732071,0.17717819,"('unintelligent', 'intelligent')",0.58360195,0.6642922,0.3754613,0.4207352,0.0452739
49,0.00999352,0.19515125,"('unable', 'able')",-0.022108626,0.14374039,-0.0060576,0.1694458,0.1755034
50,0.19964218,0.20459065,"('clumsy', 'skillful')",0.17558187,0.20019649,0.187612,0.2023936,0.0147816
51,-0.09647643,-0.2567237,"('uneducated', 'educated')",0.23321581,0.16822773,0.0683697,-0.044248,-0.1126177
52,-0.7706895,-0.97636336,"('irrational', 'rational')",0.57874364,0.40489644,-0.0959729,-0.2857335,-0.1897606
53,-1.6741718,-1.6600641,"('uncreative', 'creative')",0.73984784,0.7247269,-0.467162,-0.4676686,-0.0005066
