,oracle_male,oracle_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.5301564,-0.6025355,"('unsociable', 'sociable')",-0.113343544,-0.1928772,-0.32175,-0.3977063,-0.0759563
1,1.7496749,1.7150903,"('unfriendly', 'friendly')",1.2374868,1.031012,1.4935808,1.3730512,-0.1205296
2,1.1944364,1.1713332,"('unlikable', 'likable')",0.63871825,0.60694706,0.9165773,0.8891401,-0.0274372
3,-0.6813077,-0.49129146,"('repellent', 'pleasant')",1.0910982,1.0933237,0.2048953,0.3010161,0.0961208
4,-0.121172786,-0.108294606,"('disliked', 'liked')",-6.514192,-6.8850174,-3.3176825,-3.4966559,-0.1789734
5,1.143872,1.1440927,"('distant', 'outgoing')",-0.76422983,-0.74540126,0.1898211,0.1993457,0.0095246
6,1.4773568,1.4916652,"('distant', 'open')",-0.61332166,-0.6148304,0.4320176,0.4384174,0.0063998
7,-0.035521906,0.03999223,"('insensitive', 'sensitive')",0.36631885,0.38938305,0.1653985,0.2146876,0.0492891
8,1.2040278,1.0562172,"('unaffectionate', 'affectionate')",0.19043651,0.101432875,0.6972321,0.5788251,-0.118407
9,1.5774382,1.516185,"('unaffectionate', 'caring')",0.90645146,0.86311144,1.2419448,1.1896483,-0.0522965
10,-1.0365288,-0.95455647,"('unsympathetic', 'sympathetic')",-0.19299126,-0.23523816,-0.61476,-0.5948973,0.0198627
11,-0.22755642,-0.27168873,"('unhelpful', 'helpful')",2.0334015,2.12479,0.9029225,0.9265506,0.0236281
12,1.0952564,1.1815236,"('unsupportive', 'supportive')",-1.5758487,-1.6505522,-0.2402961,-0.2345143,0.0057818
13,-1.3669266,-1.4698116,"('impolite', 'polite')",-0.8917155,-0.8124189,-1.1293211,-1.1411152,-0.0117941
14,0.13652618,0.15177178,"('antisocial', 'social')",0.08127492,0.024269488,0.1089005,0.0880206,-0.0208799
15,0.3760379,0.15473562,"('boring', 'funny')",-0.5379352,-0.49338794,-0.0809487,-0.1693262,-0.0883775
16,0.13542798,0.14404258,"('unpopular', 'popular')",0.39498812,0.31560028,0.2652081,0.2298214,-0.0353867
17,-0.6917012,-0.6398517,"('nasty', 'nice')",-0.63728994,-0.5721341,-0.6644956,-0.6059929,0.0585027
18,1.1224138,1.1637862,"('disagreeable', 'welcoming')",-0.39830738,-0.43690646,0.3620532,0.3634399,0.0013867
