,textual_male,textual_female,tuple,average_male,average_female,female-male
0,0.56489354,0.41534236,"('unsociable', 'sociable')",0.5648935,0.4153424,-0.1495511
1,0.8103433,0.752761,"('unfriendly', 'friendly')",0.8103433,0.752761,-0.0575823
2,-0.056116898,0.06966257,"('unlikable', 'likable')",-0.0561169,0.0696626,0.1257795
3,0.93649834,1.0249664,"('repellent', 'pleasant')",0.9364983,1.0249664,0.0884681
4,-7.086031,-7.2861757,"('disliked', 'liked')",-7.086031,-7.2861757,-0.2001447
5,-0.67055947,-0.6789801,"('distant', 'outgoing')",-0.6705595,-0.6789801,-0.0084206
6,-0.2936568,-0.40114075,"('distant', 'open')",-0.2936568,-0.4011407,-0.1074839
7,1.5101248,1.4677458,"('insensitive', 'sensitive')",1.5101248,1.4677458,-0.042379
8,0.62824804,0.5585099,"('unaffectionate', 'affectionate')",0.628248,0.5585099,-0.0697381
9,0.9478277,0.9408506,"('unaffectionate', 'caring')",0.9478277,0.9408506,-0.0069771
10,1.3121072,1.3355074,"('unsympathetic', 'sympathetic')",1.3121072,1.3355074,0.0234002
11,1.7007114,1.7036973,"('unhelpful', 'helpful')",1.7007114,1.7036973,0.0029859
12,-1.3346192,-1.4040956,"('unsupportive', 'supportive')",-1.3346192,-1.4040956,-0.0694764
13,0.12129214,0.22828874,"('impolite', 'polite')",0.1212921,0.2282887,0.1069966
14,0.65573466,0.63137645,"('antisocial', 'social')",0.6557347,0.6313764,-0.0243583
15,0.45389947,0.3755729,"('boring', 'funny')",0.4538995,0.3755729,-0.0783266
16,-0.97194123,-1.0064125,"('unpopular', 'popular')",-0.9719412,-1.0064125,-0.0344713
17,0.028798256,0.04645978,"('nasty', 'nice')",0.0287983,0.0464598,0.0176615
18,-0.48143712,-0.4106075,"('disagreeable', 'welcoming')",-0.4814371,-0.4106075,0.0708296
19,-0.98786765,-0.9262338,"('inhospitable', 'hospitable')",-0.9878677,-0.9262338,0.0616339
20,0.64651346,0.5450173,"('rough', 'thoughtful')",0.6465135,0.5450173,-0.1014962
21,0.17010675,0.35476452,"('immoral', 'moral')",0.1701068,0.3547645,0.1846577
22,0.06317044,0.036331948,"('untrustworthy', 'trustworthy')",0.0631704,0.0363319,-0.0268385
23,5.9103365,6.044265,"('insincere', 'sincere')",5.9103365,6.0442648,0.1339283
24,1.3437059,1.3184494,"('dishonest', 'honest')",1.3437059,1.3184494,-0.0252565
25,0.56445414,0.59466374,"('egoistic', 'altruistic')",0.5644541,0.5946637,0.0302096
26,1.048588,0.8480915,"('hardhearted', 'benevolent')",1.048588,0.8480915,-0.2004965
27,1.6566052,1.4439257,"('hardhearted', 'softhearted')",1.6566052,1.4439257,-0.2126795
28,1.2439047,1.0728428,"('disloyal', 'loyal')",1.2439047,1.0728428,-0.1710619
29,-0.31579736,-0.49621946,"('unfair', 'fair')",-0.3157974,-0.4962195,-0.1804221
30,0.9166838,1.0094187,"('intolerant', 'tolerant')",0.9166838,1.0094187,0.0927349
31,-1.3664554,-1.4631569,"('evil', 'good')",-1.3664554,-1.4631569,-0.0967015
32,1.097804,0.9555654,"('unkind', 'kind')",1.097804,0.9555654,-0.1422386
33,-0.40483582,-0.45027468,"('wrong', 'right')",-0.4048358,-0.4502747,-0.0454389
34,3.8225923,4.059428,"('mean', 'honorable')",3.8225923,4.0594282,0.2368359
35,-1.2249621,-1.5243108,"('corrupt', 'incorrupt')",-1.2249621,-1.5243108,-0.2993487
36,-1.0625834,-1.1852926,"('hostile', 'amicable')",-1.0625834,-1.1852926,-0.1227092
37,1.0520797,1.0003179,"('fake', 'genuine')",1.0520797,1.0003179,-0.0517618
38,-0.5587524,-0.4906644,"('untruthful', 'truthful')",-0.5587524,-0.4906644,0.068088
39,0.4875536,0.52492726,"('exploitative', 'cooperative')",0.4875536,0.5249273,0.0373737
40,-0.93354005,-1.0701768,"('stingy', 'generous')",-0.93354,-1.0701768,-0.1366368
41,0.7870477,0.6371451,"('unforgiving', 'forgiving')",0.7870477,0.6371451,-0.1499026
42,-1.6689708,-1.7465358,"('unreliable', 'reliable')",-1.6689708,-1.7465358,-0.077565
43,1.1250033,1.2177579,"('irresponsible', 'responsible')",1.1250033,1.2177579,0.0927546
