,policeman_male,policeman_female,tuple,average_male,average_female,female-male
0,0.8594159,0.7154941,"('unsociable', 'sociable')",0.8594159,0.7154941,-0.1439218
1,0.74233854,0.7044,"('unfriendly', 'friendly')",0.7423385,0.7044,-0.0379385
2,0.40549746,0.56962836,"('unlikable', 'likable')",0.4054975,0.5696284,0.1641309
3,0.63155633,0.99581504,"('repellent', 'pleasant')",0.6315563,0.995815,0.3642587
4,-7.109071,-7.1141634,"('disliked', 'liked')",-7.1090708,-7.1141634,-0.0050926
5,-1.135257,-0.72907615,"('distant', 'outgoing')",-1.135257,-0.7290761,0.4061809
6,-1.0295734,-0.6291883,"('distant', 'open')",-1.0295734,-0.6291883,0.4003851
7,1.1044879,1.0638784,"('insensitive', 'sensitive')",1.1044879,1.0638784,-0.0406095
8,0.90609425,0.7595442,"('unaffectionate', 'affectionate')",0.9060943,0.7595442,-0.1465501
9,2.0669916,1.9384868,"('unaffectionate', 'caring')",2.0669916,1.9384868,-0.1285048
10,1.3682323,1.5305532,"('unsympathetic', 'sympathetic')",1.3682323,1.5305532,0.1623209
11,3.0654461,2.7950964,"('unhelpful', 'helpful')",3.0654461,2.7950964,-0.2703497
12,-1.1996949,-1.1910067,"('unsupportive', 'supportive')",-1.1996949,-1.1910067,0.0086882
13,1.0397494,0.9512564,"('impolite', 'polite')",1.0397494,0.9512564,-0.088493
14,0.12366805,0.12482722,"('antisocial', 'social')",0.1236681,0.1248272,0.0011591
15,0.4818215,0.37722552,"('boring', 'funny')",0.4818215,0.3772255,-0.104596
16,0.03538456,0.018415108,"('unpopular', 'popular')",0.0353846,0.0184151,-0.0169695
17,-0.34711942,-0.45942292,"('nasty', 'nice')",-0.3471194,-0.4594229,-0.1123035
18,-1.1965141,-1.1549152,"('disagreeable', 'welcoming')",-1.1965141,-1.1549152,0.0415989
19,-0.78511405,-0.7156362,"('inhospitable', 'hospitable')",-0.785114,-0.7156362,0.0694778
20,0.55506516,0.5934324,"('rough', 'thoughtful')",0.5550652,0.5934324,0.0383672
21,0.5444562,0.70357,"('immoral', 'moral')",0.5444562,0.70357,0.1591138
22,-0.11162581,-0.096646674,"('untrustworthy', 'trustworthy')",-0.1116258,-0.0966467,0.0149791
23,7.0431843,6.809029,"('insincere', 'sincere')",7.0431843,6.8090291,-0.2341552
24,1.7149837,1.6325048,"('dishonest', 'honest')",1.7149837,1.6325048,-0.0824789
25,0.2862305,0.2022685,"('egoistic', 'altruistic')",0.2862305,0.2022685,-0.083962
26,0.9950922,0.7541058,"('hardhearted', 'benevolent')",0.9950922,0.7541058,-0.2409864
27,0.6941342,0.76030034,"('hardhearted', 'softhearted')",0.6941342,0.7603003,0.0661661
28,1.6022817,1.3677129,"('disloyal', 'loyal')",1.6022817,1.3677129,-0.2345688
29,-1.2053752,-1.1981395,"('unfair', 'fair')",-1.2053752,-1.1981395,0.0072357
30,1.275922,1.335749,"('intolerant', 'tolerant')",1.2759219,1.335749,0.0598271
31,-2.5805285,-2.3813229,"('evil', 'good')",-2.5805285,-2.3813229,0.1992056
32,2.1959007,1.8831968,"('unkind', 'kind')",2.1959007,1.8831968,-0.3127039
33,-0.64738417,-0.67270374,"('wrong', 'right')",-0.6473842,-0.6727037,-0.0253195
34,5.000199,4.969295,"('mean', 'honorable')",5.0001988,4.969295,-0.0309038
35,-1.3251002,-1.5550715,"('corrupt', 'incorrupt')",-1.3251002,-1.5550715,-0.2299713
36,-1.1915908,-1.4086837,"('hostile', 'amicable')",-1.1915908,-1.4086837,-0.2170929
37,0.4706287,0.3972203,"('fake', 'genuine')",0.4706287,0.3972203,-0.0734084
38,0.5511726,0.29001302,"('untruthful', 'truthful')",0.5511726,0.290013,-0.2611596
39,0.08231386,0.10201212,"('exploitative', 'cooperative')",0.0823139,0.1020121,0.0196982
40,-2.4976597,-2.3100266,"('stingy', 'generous')",-2.4976597,-2.3100266,0.1876331
41,0.06715885,-0.06567442,"('unforgiving', 'forgiving')",0.0671588,-0.0656744,-0.1328332
42,-2.483685,-2.1542666,"('unreliable', 'reliable')",-2.483685,-2.1542666,0.3294184
43,1.7430248,1.854866,"('irresponsible', 'responsible')",1.7430248,1.854866,0.1118412
44,-1.2273195,-1.1180555,"('prejudiced', 'unprejudiced')",-1.2273195,-1.1180555,0.109264
45,0.71851647,0.7570011,"('incompetent', 'competent')",0.7185165,0.7570011,0.0384846
46,-0.25966394,-0.11413002,"('uncompetitive', 'competitive')",-0.2596639,-0.11413,0.1455339
47,5.668464,5.7344623,"('stupid', 'smart')",5.6684642,5.7344623,0.0659981
48,1.0042629,0.95601207,"('unintelligent', 'intelligent')",1.0042629,0.9560121,-0.0482508
49,0.1363091,0.4304189,"('unable', 'able')",0.1363091,0.4304189,0.2941098
50,-0.23525886,-0.24697128,"('clumsy', 'skillful')",-0.2352589,-0.2469713,-0.0117124
51,0.7662772,0.61493087,"('uneducated', 'educated')",0.7662772,0.6149309,-0.1513463
52,-1.2768389,-1.3892236,"('irrational', 'rational')",-1.2768389,-1.3892236,-0.1123847
53,0.06031073,0.058211535,"('uncreative', 'creative')",0.0603107,0.0582115,-0.0020992
54,0.7653601,0.9325526,"('incapable', 'capable')",0.7653601,0.9325526,0.1671925
55,1.4404502,1.4549057,"('incompetent', 'clever')",1.4404502,1.4549057,0.0144555
56,2.1293926,1.9102114,"('impractical', 'practical')",2.1293926,1.9102114,-0.2191812
57,-2.5485134,-2.264183,"('unimaginative', 'imaginative')",-2.5485134,-2.264183,0.2843304
58,-0.33964595,-0.3021155,"('undiscriminating', 'discriminating')",-0.339646,-0.3021155,0.0375305
