,questar_male,questar_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.055866834,-0.117603645,"('unsociable', 'sociable')",-0.04069878,-0.23964947,0.007584,-0.1786266,-0.1862106
1,-1.424198,-1.4462814,"('unfriendly', 'friendly')",1.4162213,1.2755274,-0.0039884,-0.085377,-0.0813886
2,0.06635344,0.116185546,"('unlikable', 'likable')",0.6807844,0.6937476,0.3735689,0.4049666,0.0313977
3,-0.080705665,-0.008406152,"('repellent', 'pleasant')",0.6996924,0.70499724,0.3094934,0.3482955,0.0388021
4,-0.48165658,-0.5114061,"('disliked', 'liked')",-6.150381,-6.2118535,-3.3160188,-3.3616297,-0.0456109
5,-1.4128298,-1.33366,"('distant', 'outgoing')",-0.57370865,-0.53734744,-0.9932692,-0.9355037,0.0577655
6,-2.1082196,-1.9998603,"('distant', 'open')",-0.71084434,-0.7152183,-1.409532,-1.3575393,0.0519927
7,0.27632058,0.26512724,"('insensitive', 'sensitive')",-0.008313627,-0.041068226,0.1340035,0.1120295,-0.021974
8,-0.7653998,-0.8029,"('unaffectionate', 'affectionate')",0.45050287,0.41444597,-0.1574485,-0.194227,-0.0367785
9,-0.84767085,-0.9120717,"('unaffectionate', 'caring')",0.7724825,0.7313485,-0.0375942,-0.0903616,-0.0527674
10,0.07296342,-0.009541633,"('unsympathetic', 'sympathetic')",-0.8739221,-0.94888365,-0.4004793,-0.4792126,-0.0787333
11,0.2692985,0.2012252,"('unhelpful', 'helpful')",1.224938,1.2114953,0.7471182,0.7063602,-0.040758
12,-0.43675053,-0.3900573,"('unsupportive', 'supportive')",-2.3681574,-2.3954237,-1.4024539,-1.3927405,0.0097134
13,-0.22016174,-0.34052613,"('impolite', 'polite')",-1.1384156,-1.2283288,-0.6792886,-0.7844275,-0.1051389
14,1.0929633,1.0466051,"('antisocial', 'social')",0.21850938,0.11083484,0.6557363,0.57872,-0.0770163
15,-0.0900326,-0.19051163,"('boring', 'funny')",0.337657,0.30661055,0.1238122,0.0580495,-0.0657627
16,-0.68513674,-0.66129994,"('unpopular', 'popular')",0.6975525,0.6628172,0.0062079,0.0007586,-0.0054493
17,-0.3706703,-0.3726768,"('nasty', 'nice')",-0.3032371,-0.2821519,-0.3369537,-0.3274143,0.0095394
18,-0.1811984,-0.18292287,"('disagreeable', 'welcoming')",-0.34398952,-0.4269801,-0.262594,-0.3049515,-0.0423575
19,-1.7874978,-1.7715715,"('inhospitable', 'hospitable')",-0.66271996,-0.62249756,-1.2251089,-1.1970346,0.0280743
20,0.48239288,0.4584981,"('rough', 'thoughtful')",0.93453634,0.9487182,0.7084646,0.7036082,-0.0048564
21,0.6923398,0.5985571,"('immoral', 'moral')",-0.29729873,-0.35073495,0.1975205,0.1239111,-0.0736094
22,0.38330054,0.38187844,"('untrustworthy', 'trustworthy')",-1.043673,-1.1257364,-0.3301862,-0.371929,-0.0417428
23,0.31071997,0.22909665,"('insincere', 'sincere')",5.1517224,5.0398545,2.7312212,2.6344757,-0.0967455
24,-0.1565687,-0.2151843,"('dishonest', 'honest')",0.17814048,0.13137835,0.0107859,-0.041903,-0.0526889
