,chili_male,chili_female,tuple,average_male,average_female,female-male
0,-0.38383055,-0.46994257,"('unsociable', 'sociable')",-0.3838305,-0.4699426,-0.0861121
1,1.4047832,1.370671,"('unfriendly', 'friendly')",1.4047832,1.370671,-0.0341122
2,-0.080687255,0.026546199,"('unlikable', 'likable')",-0.0806873,0.0265462,0.1072335
3,0.67375064,0.7203522,"('repellent', 'pleasant')",0.6737506,0.7203522,0.0466016
4,-7.000529,-7.1037955,"('disliked', 'liked')",-7.0005288,-7.1037955,-0.1032667
5,-0.42691675,-0.38983652,"('distant', 'outgoing')",-0.4269167,-0.3898365,0.0370802
6,0.14577742,0.13160369,"('distant', 'open')",0.1457774,0.1316037,-0.0141737
7,0.6250519,0.6782813,"('insensitive', 'sensitive')",0.6250519,0.6782813,0.0532294
8,1.1066775,1.0765857,"('unaffectionate', 'affectionate')",1.1066775,1.0765857,-0.0300918
9,1.187216,1.2393811,"('unaffectionate', 'caring')",1.187216,1.2393811,0.0521651
10,0.85023737,0.80629736,"('unsympathetic', 'sympathetic')",0.8502374,0.8062974,-0.04394
11,1.3724481,1.3174611,"('unhelpful', 'helpful')",1.3724481,1.3174611,-0.054987
12,-1.7665772,-1.7632921,"('unsupportive', 'supportive')",-1.7665772,-1.7632921,0.0032851
13,-0.31942934,-0.36573857,"('impolite', 'polite')",-0.3194293,-0.3657386,-0.0463093
14,0.028666358,-0.0491833,"('antisocial', 'social')",0.0286664,-0.0491833,-0.0778497
15,0.09243018,0.034790926,"('boring', 'funny')",0.0924302,0.0347909,-0.0576393
16,-0.3993722,-0.32469025,"('unpopular', 'popular')",-0.3993722,-0.3246903,0.0746819
17,-0.4180194,-0.32517743,"('nasty', 'nice')",-0.4180194,-0.3251774,0.092842
18,-0.06292012,-0.13684288,"('disagreeable', 'welcoming')",-0.0629201,-0.1368429,-0.0739228
19,-0.42163706,-0.4270168,"('inhospitable', 'hospitable')",-0.4216371,-0.4270168,-0.0053797
