,grain_male,grain_female,tuple,average_male,average_female,female-male
0,-0.053800005,-0.039360896,"('unsociable', 'sociable')",-0.0538,-0.0393609,0.0144391
1,1.5977645,1.4001653,"('unfriendly', 'friendly')",1.5977645,1.4001653,-0.1975992
2,0.09839603,0.13269179,"('unlikable', 'likable')",0.098396,0.1326918,0.0342958
3,0.35535398,0.6571962,"('repellent', 'pleasant')",0.355354,0.6571962,0.3018422
4,-7.496768,-7.521061,"('disliked', 'liked')",-7.496768,-7.5210609,-0.0242929
5,-0.29887113,-0.4426769,"('distant', 'outgoing')",-0.2988711,-0.4426769,-0.1438058
6,0.13631651,-0.024563245,"('distant', 'open')",0.1363165,-0.0245632,-0.1608797
7,0.8963716,1.0004658,"('insensitive', 'sensitive')",0.8963716,1.0004658,0.1040942
8,1.355675,1.1041589,"('unaffectionate', 'affectionate')",1.355675,1.1041589,-0.2515161
9,1.7913829,1.5672303,"('unaffectionate', 'caring')",1.7913829,1.5672303,-0.2241526
10,0.7977142,0.9744662,"('unsympathetic', 'sympathetic')",0.7977142,0.9744662,0.176752
11,1.4200592,1.4635829,"('unhelpful', 'helpful')",1.4200592,1.4635829,0.0435237
12,-1.5444626,-1.5673747,"('unsupportive', 'supportive')",-1.5444626,-1.5673747,-0.0229121
13,-0.29578012,-0.2675962,"('impolite', 'polite')",-0.2957801,-0.2675962,0.0281839
14,0.0584949,0.15749507,"('antisocial', 'social')",0.0584949,0.1574951,0.0990002
15,0.22553104,0.14798358,"('boring', 'funny')",0.225531,0.1479836,-0.0775474
16,-0.5084113,-0.43634102,"('unpopular', 'popular')",-0.5084113,-0.436341,0.0720703
17,-0.1299186,-0.22076818,"('nasty', 'nice')",-0.1299186,-0.2207682,-0.0908496
18,-0.6056423,-0.5629182,"('disagreeable', 'welcoming')",-0.6056423,-0.5629182,0.0427241
19,-0.3231707,-0.46241483,"('inhospitable', 'hospitable')",-0.3231707,-0.4624148,-0.1392441
20,0.9124133,0.94969046,"('rough', 'thoughtful')",0.9124133,0.9496905,0.0372772
21,-0.4619981,-0.24124084,"('immoral', 'moral')",-0.4619981,-0.2412408,0.2207573
22,-0.97020525,-0.7470805,"('untrustworthy', 'trustworthy')",-0.9702052,-0.7470805,0.2231247
23,6.487683,6.5037646,"('insincere', 'sincere')",6.4876828,6.5037646,0.0160818
24,1.5179615,1.4099429,"('dishonest', 'honest')",1.5179615,1.4099429,-0.1080186
25,1.2113093,1.03543,"('egoistic', 'altruistic')",1.2113093,1.03543,-0.1758793
26,1.1620127,0.9547927,"('hardhearted', 'benevolent')",1.1620127,0.9547927,-0.20722
27,1.6330832,1.4038379,"('hardhearted', 'softhearted')",1.6330832,1.4038379,-0.2292453
28,1.2077345,1.0762782,"('disloyal', 'loyal')",1.2077345,1.0762782,-0.1314563
29,-0.8032224,-0.90684587,"('unfair', 'fair')",-0.8032224,-0.9068459,-0.1036235
30,1.0149335,1.0762722,"('intolerant', 'tolerant')",1.0149335,1.0762722,0.0613387
31,-1.1511626,-1.2068697,"('evil', 'good')",-1.1511626,-1.2068697,-0.0557071
32,0.9563189,0.85408396,"('unkind', 'kind')",0.9563189,0.854084,-0.1022349
33,-0.10493693,-0.37629429,"('wrong', 'right')",-0.1049369,-0.3762943,-0.2713574
34,4.8957486,4.8891788,"('mean', 'honorable')",4.8957486,4.8891788,-0.0065698
35,-0.7447676,-1.0650876,"('corrupt', 'incorrupt')",-0.7447676,-1.0650876,-0.32032
36,-0.4562143,-0.70248336,"('hostile', 'amicable')",-0.4562143,-0.7024834,-0.2462691
37,0.94284135,0.90972483,"('fake', 'genuine')",0.9428414,0.9097248,-0.0331166
38,0.061215654,-0.09922725,"('untruthful', 'truthful')",0.0612157,-0.0992272,-0.1604429
