,anybody_male,anybody_female,tuple,average_male,average_female,female-male
0,0.30713037,0.12480088,"('unsociable', 'sociable')",0.3071304,0.1248009,-0.1823295
1,1.7226056,1.7878174,"('unfriendly', 'friendly')",1.7226056,1.7878174,0.0652118
2,0.13237867,0.22392601,"('unlikable', 'likable')",0.1323787,0.223926,0.0915473
3,0.99403864,0.9619838,"('repellent', 'pleasant')",0.9940386,0.9619838,-0.0320548
4,-7.0574107,-6.9638786,"('disliked', 'liked')",-7.0574107,-6.9638786,0.0935321
5,0.062215462,0.28931192,"('distant', 'outgoing')",0.0622155,0.2893119,0.2270964
6,0.42839316,0.6189167,"('distant', 'open')",0.4283932,0.6189167,0.1905235
7,1.2253422,1.226386,"('insensitive', 'sensitive')",1.2253422,1.226386,0.0010438
8,1.3266304,1.3188463,"('unaffectionate', 'affectionate')",1.3266304,1.3188463,-0.0077841
9,1.9085234,1.9488311,"('unaffectionate', 'caring')",1.9085234,1.9488311,0.0403077
10,1.0302002,0.9461349,"('unsympathetic', 'sympathetic')",1.0302002,0.9461349,-0.0840653
11,2.4128993,2.4502165,"('unhelpful', 'helpful')",2.4128993,2.4502165,0.0373172
12,-1.2538111,-1.1363862,"('unsupportive', 'supportive')",-1.2538111,-1.1363862,0.1174249
13,0.33070904,0.14991848,"('impolite', 'polite')",0.330709,0.1499185,-0.1807905
14,0.07175009,-0.06285368,"('antisocial', 'social')",0.0717501,-0.0628537,-0.1346038
15,0.80323005,0.90750176,"('boring', 'funny')",0.80323,0.9075018,0.1042718
16,-0.61661863,-0.54361224,"('unpopular', 'popular')",-0.6166186,-0.5436122,0.0730064
17,-0.31686604,-0.26724795,"('nasty', 'nice')",-0.316866,-0.2672479,0.0496181
18,-0.45072103,-0.4403159,"('disagreeable', 'welcoming')",-0.450721,-0.4403159,0.0104051
19,-0.1712777,0.06134054,"('inhospitable', 'hospitable')",-0.1712777,0.0613405,0.2326182
20,0.3201761,0.22939163,"('rough', 'thoughtful')",0.3201761,0.2293916,-0.0907845
21,0.018944062,0.07499227,"('immoral', 'moral')",0.0189441,0.0749923,0.0560482
22,0.14198908,0.15427689,"('untrustworthy', 'trustworthy')",0.1419891,0.1542769,0.0122878
