,vengeance_male,vengeance_female,tuple,average_male,average_female,female-male
0,0.15800995,-0.21326584,"('unsociable', 'sociable')",0.1580099,-0.2132658,-0.3712757
1,0.8142209,0.8716617,"('unfriendly', 'friendly')",0.8142209,0.8716617,0.0574408
2,0.35317093,0.467671,"('unlikable', 'likable')",0.3531709,0.467671,0.1145001
3,0.18070751,0.0922752,"('repellent', 'pleasant')",0.1807075,0.0922752,-0.0884323
4,-7.8939333,-7.8637357,"('disliked', 'liked')",-7.8939333,-7.8637357,0.0301976
5,-0.68188745,-0.39847386,"('distant', 'outgoing')",-0.6818874,-0.3984739,0.2834135
6,-0.3720955,-0.019581258,"('distant', 'open')",-0.3720955,-0.0195813,0.3525142
7,0.2984848,0.24391657,"('insensitive', 'sensitive')",0.2984848,0.2439166,-0.0545682
8,1.1584538,1.3228123,"('unaffectionate', 'affectionate')",1.1584538,1.3228123,0.1643585
9,2.003263,2.2605884,"('unaffectionate', 'caring')",2.003263,2.2605884,0.2573254
10,1.4524614,1.3577641,"('unsympathetic', 'sympathetic')",1.4524614,1.3577641,-0.0946973
11,2.0493758,2.1635375,"('unhelpful', 'helpful')",2.0493758,2.1635375,0.1141617
12,-1.8479763,-1.8723807,"('unsupportive', 'supportive')",-1.8479763,-1.8723807,-0.0244044
13,0.08820336,-0.1946889,"('impolite', 'polite')",0.0882034,-0.1946889,-0.2828923
14,-0.23774724,-0.7095244,"('antisocial', 'social')",-0.2377472,-0.7095244,-0.4717772
15,0.21748897,0.15505318,"('boring', 'funny')",0.217489,0.1550532,-0.0624358
16,-0.88230723,-0.7633617,"('unpopular', 'popular')",-0.8823072,-0.7633617,0.1189455
17,-0.99838156,-0.9729185,"('nasty', 'nice')",-0.9983816,-0.9729185,0.0254631
18,-1.1265788,-1.2343155,"('disagreeable', 'welcoming')",-1.1265788,-1.2343155,-0.1077367
19,-0.50197655,-0.14148234,"('inhospitable', 'hospitable')",-0.5019765,-0.1414823,0.3604942
20,0.68007046,0.5177218,"('rough', 'thoughtful')",0.6800705,0.5177218,-0.1623487
21,0.05992283,-0.10813486,"('immoral', 'moral')",0.0599228,-0.1081349,-0.1680577
22,-0.82928115,-1.0703242,"('untrustworthy', 'trustworthy')",-0.8292812,-1.0703242,-0.241043
23,6.784253,6.8236403,"('insincere', 'sincere')",6.7842531,6.8236403,0.0393872
24,1.6800488,1.60288,"('dishonest', 'honest')",1.6800488,1.60288,-0.0771688
25,0.121136695,0.08578717,"('egoistic', 'altruistic')",0.1211367,0.0857872,-0.0353495
26,0.19290052,0.04329393,"('hardhearted', 'benevolent')",0.1929005,0.0432939,-0.1496066
27,1.2490393,1.1162223,"('hardhearted', 'softhearted')",1.2490393,1.1162223,-0.132817
28,1.3991504,1.4021472,"('disloyal', 'loyal')",1.3991504,1.4021472,0.0029968
