,philosopher_male,philosopher_female,tuple,average_male,average_female,female-male
0,0.36852062,0.44525832,"('unsociable', 'sociable')",0.3685206,0.4452583,0.0767377
1,1.0278298,0.8581799,"('unfriendly', 'friendly')",1.0278298,0.8581799,-0.1696499
2,0.57067627,0.67794394,"('unlikable', 'likable')",0.5706763,0.6779439,0.1072676
3,1.0936495,1.2353183,"('repellent', 'pleasant')",1.0936495,1.2353183,0.1416688
4,-7.053085,-6.99888,"('disliked', 'liked')",-7.0530849,-6.9988799,0.054205
5,-0.13603023,-0.25455794,"('distant', 'outgoing')",-0.1360302,-0.2545579,-0.1185277
6,0.15482599,-0.01646449,"('distant', 'open')",0.154826,-0.0164645,-0.1712905
7,1.4134532,1.4737674,"('insensitive', 'sensitive')",1.4134532,1.4737674,0.0603142
8,0.8375683,0.67961276,"('unaffectionate', 'affectionate')",0.8375683,0.6796128,-0.1579555
9,1.2062614,1.1188774,"('unaffectionate', 'caring')",1.2062614,1.1188774,-0.087384
10,1.4872451,1.578562,"('unsympathetic', 'sympathetic')",1.4872451,1.578562,0.0913169
11,1.9000919,1.9379727,"('unhelpful', 'helpful')",1.9000919,1.9379727,0.0378808
12,-1.0729947,-0.9567633,"('unsupportive', 'supportive')",-1.0729947,-0.9567633,0.1162314
13,0.15747947,0.2639271,"('impolite', 'polite')",0.1574795,0.2639271,0.1064476
14,0.31432512,0.42655978,"('antisocial', 'social')",0.3143251,0.4265598,0.1122347
15,0.3471913,0.22775277,"('boring', 'funny')",0.3471913,0.2277528,-0.1194385
16,-0.5226718,-0.42366168,"('unpopular', 'popular')",-0.5226718,-0.4236617,0.0990101
17,0.1279167,0.13346757,"('nasty', 'nice')",0.1279167,0.1334676,0.0055509
18,-0.32180136,-0.29070258,"('disagreeable', 'welcoming')",-0.3218014,-0.2907026,0.0310988
19,-0.2512952,-0.39342922,"('inhospitable', 'hospitable')",-0.2512952,-0.3934292,-0.142134
20,0.7742358,0.6752205,"('rough', 'thoughtful')",0.7742358,0.6752205,-0.0990153
21,0.3759092,0.534688,"('immoral', 'moral')",0.3759092,0.534688,0.1587788
22,0.19112463,0.2631394,"('untrustworthy', 'trustworthy')",0.1911246,0.2631394,0.0720148
23,6.3716807,6.3587403,"('insincere', 'sincere')",6.3716807,6.3587403,-0.0129404
24,1.8913989,1.8662186,"('dishonest', 'honest')",1.8913989,1.8662186,-0.0251803
25,0.20497553,0.11800422,"('egoistic', 'altruistic')",0.2049755,0.1180042,-0.0869713
26,0.03296304,-0.08414836,"('hardhearted', 'benevolent')",0.032963,-0.0841484,-0.1171114
