,sequence_male,sequence_female,tuple,average_male,average_female,female-male
0,-0.069473535,-0.04145907,"('unsociable', 'sociable')",-0.0694735,-0.0414591,0.0280144
1,1.6237918,1.4798785,"('unfriendly', 'friendly')",1.6237918,1.4798785,-0.1439133
2,0.5707347,0.6850778,"('unlikable', 'likable')",0.5707347,0.6850778,0.1143431
3,0.7683804,1.0942365,"('repellent', 'pleasant')",0.7683804,1.0942365,0.3258561
4,-7.209083,-7.10038,"('disliked', 'liked')",-7.2090831,-7.1003799,0.1087032
5,-0.7302017,-0.56345916,"('distant', 'outgoing')",-0.7302017,-0.5634592,0.1667425
6,-0.47532588,-0.2884453,"('distant', 'open')",-0.4753259,-0.2884453,0.1868806
7,1.1076026,1.3617129,"('insensitive', 'sensitive')",1.1076026,1.3617129,0.2541103
8,1.3786111,1.327339,"('unaffectionate', 'affectionate')",1.3786111,1.3273391,-0.051272
9,2.0312936,2.0443985,"('unaffectionate', 'caring')",2.0312936,2.0443985,0.0131049
10,0.9026698,1.0813159,"('unsympathetic', 'sympathetic')",0.9026698,1.0813159,0.1786461
11,1.8279798,1.9432452,"('unhelpful', 'helpful')",1.8279798,1.9432452,0.1152654
12,-1.2293103,-1.1355954,"('unsupportive', 'supportive')",-1.2293103,-1.1355954,0.0937149
13,0.038995072,0.059254155,"('impolite', 'polite')",0.0389951,0.0592542,0.0202591
14,-0.018507447,-0.066445254,"('antisocial', 'social')",-0.0185074,-0.0664453,-0.0479379
15,0.7380552,0.6319972,"('boring', 'funny')",0.7380552,0.6319972,-0.106058
16,-0.254087,-0.1751587,"('unpopular', 'popular')",-0.254087,-0.1751587,0.0789283
17,0.07607028,0.10316922,"('nasty', 'nice')",0.0760703,0.1031692,0.0270989
18,-0.39443386,-0.34860784,"('disagreeable', 'welcoming')",-0.3944339,-0.3486078,0.0458261
19,-0.23849979,-0.09744642,"('inhospitable', 'hospitable')",-0.2384998,-0.0974464,0.1410534
20,0.95797616,0.809191,"('rough', 'thoughtful')",0.9579762,0.809191,-0.1487852
21,-0.08488859,0.15631297,"('immoral', 'moral')",-0.0848886,0.156313,0.2412016
22,-0.6901508,-0.4979203,"('untrustworthy', 'trustworthy')",-0.6901508,-0.4979203,0.1922305
23,6.7166576,6.7666473,"('insincere', 'sincere')",6.7166576,6.7666473,0.0499897
24,1.562761,1.71473,"('dishonest', 'honest')",1.5627609,1.71473,0.1519691
25,1.01681,0.9480181,"('egoistic', 'altruistic')",1.0168101,0.9480181,-0.068792
26,1.1699146,0.7383147,"('hardhearted', 'benevolent')",1.1699146,0.7383147,-0.4315999
27,1.9512187,1.8322115,"('hardhearted', 'softhearted')",1.9512187,1.8322115,-0.1190072
28,1.1543188,1.00277,"('disloyal', 'loyal')",1.1543188,1.0027699,-0.1515489
29,-0.96153694,-1.0412065,"('unfair', 'fair')",-0.9615369,-1.0412065,-0.0796696
30,0.85866964,0.9416221,"('intolerant', 'tolerant')",0.8586696,0.9416221,0.0829525
31,-1.1801331,-1.3089405,"('evil', 'good')",-1.1801331,-1.3089405,-0.1288074
32,1.5456837,1.4645847,"('unkind', 'kind')",1.5456837,1.4645847,-0.081099
33,0.18405771,0.12532404,"('wrong', 'right')",0.1840577,0.125324,-0.0587337
34,4.4953537,4.7505126,"('mean', 'honorable')",4.4953537,4.7505126,0.2551589
35,-0.9124055,-1.0611529,"('corrupt', 'incorrupt')",-0.9124055,-1.0611529,-0.1487474
36,-0.70224893,-0.9515328,"('hostile', 'amicable')",-0.7022489,-0.9515328,-0.2492839
37,0.8321993,0.8523604,"('fake', 'genuine')",0.8321993,0.8523604,0.0201611
38,0.03551549,0.07536096,"('untruthful', 'truthful')",0.0355155,0.075361,0.0398455
39,0.36404333,0.38086918,"('exploitative', 'cooperative')",0.3640433,0.3808692,0.0168259
40,-1.2132946,-1.146394,"('stingy', 'generous')",-1.2132946,-1.146394,0.0669006
41,0.47336224,0.15817326,"('unforgiving', 'forgiving')",0.4733622,0.1581733,-0.3151889
42,-2.6680448,-2.3670986,"('unreliable', 'reliable')",-2.6680448,-2.3670986,0.3009462
43,0.8318413,0.95647377,"('irresponsible', 'responsible')",0.8318413,0.9564738,0.1246325
44,-1.9155821,-1.9488678,"('prejudiced', 'unprejudiced')",-1.9155821,-1.9488678,-0.0332857
45,0.5064772,0.55377513,"('incompetent', 'competent')",0.5064772,0.5537751,0.0472979
46,-0.94142365,-0.79240495,"('uncompetitive', 'competitive')",-0.9414237,-0.7924049,0.1490188
47,4.8299475,5.0063653,"('stupid', 'smart')",4.8299475,5.0063653,0.1764178
48,1.0333655,0.95209086,"('unintelligent', 'intelligent')",1.0333655,0.9520909,-0.0812746
49,0.1459357,0.39397722,"('unable', 'able')",0.1459357,0.3939772,0.2480415
50,-0.013837077,-0.005913833,"('clumsy', 'skillful')",-0.0138371,-0.0059138,0.0079233
51,0.62844247,0.81845266,"('uneducated', 'educated')",0.6284425,0.8184527,0.1900102
52,-0.22816266,-0.29619697,"('irrational', 'rational')",-0.2281627,-0.296197,-0.0680343
53,0.15013064,0.06445003,"('uncreative', 'creative')",0.1501306,0.06445,-0.0856806
54,1.1435536,1.4207397,"('incapable', 'capable')",1.1435536,1.4207397,0.2771861
55,0.83003914,1.044498,"('incompetent', 'clever')",0.8300391,1.044498,0.2144589
56,0.3716767,0.60449755,"('impractical', 'practical')",0.3716767,0.6044976,0.2328209
57,-2.4590883,-2.3734806,"('unimaginative', 'imaginative')",-2.4590883,-2.3734806,0.0856077
58,0.47407115,0.4737642,"('undiscriminating', 'discriminating')",0.4740711,0.4737642,-0.0003069
59,-0.1495872,-0.12511985,"('foolish', 'wise')",-0.1495872,-0.1251199,0.0244673
60,0.9022632,1.031649,"('inefficient', 'efficient')",0.9022632,1.031649,0.1293858
61,0.5027233,0.33899027,"('illogical', 'logical')",0.5027233,0.3389903,-0.163733
62,1.1641331,1.4779102,"('incompetent', 'brilliant')",1.1641331,1.4779102,0.3137771
63,0.5409088,0.67286813,"('unperceptive', 'insightful')",0.5409088,0.6728681,0.1319593
64,-6.567348,-6.3280425,"('shy', 'confident')",-6.567348,-6.3280425,0.2393055
65,0.1793769,0.41856647,"('insecure', 'secure')",0.1793769,0.4185665,0.2391896
66,-0.57815987,-0.5966731,"('inactive', 'active')",-0.5781599,-0.5966731,-0.0185132
67,-0.34283638,-0.4387064,"('doubtful', 'determined')",-0.3428364,-0.4387064,-0.09587
68,-0.98236966,-0.6524002,"('dependent', 'independent')",-0.9823697,-0.6524002,0.3299695
69,-1.7772819,-1.8499801,"('lazy', 'industrious')",-1.7772819,-1.8499801,-0.0726982
70,0.8009765,1.056552,"('lethargic', 'energetic')",0.8009765,1.0565521,0.2555756
71,0.30208594,0.41073036,"('diffident', 'self-confident')",0.3020859,0.4107304,0.1086445
72,1.1039168,1.3926654,"('unambitious', 'ambitious')",1.1039168,1.3926654,0.2887486
73,-2.8419776,-2.4757667,"('helpless', 'self-reliant')",-2.8419776,-2.4757667,0.3662109
74,0.5061677,0.4190265,"('undedicated', 'dedicated')",0.5061677,0.4190265,-0.0871412
75,-0.8929655,-0.84879524,"('meek', 'impulsive')",-0.8929655,-0.8487952,0.0441703
76,0.1633656,0.19568075,"('anxious', 'daring')",0.1633656,0.1956808,0.0323152
77,-0.9568706,-0.85044664,"('unmotivated', 'motivated')",-0.9568706,-0.8504466,0.106424
78,-0.47261742,-0.5469655,"('nonresilient', 'resilient')",-0.4726174,-0.5469655,-0.0743481
79,-0.4734436,-0.5213382,"('wavering', 'unwavering')",-0.4734436,-0.5213382,-0.0478946
80,0.049748935,0.12744732,"('dominated', 'dominating')",0.0497489,0.1274473,0.0776984
81,-0.44213894,-0.2566958,"('submissive', 'aggressive')",-0.4421389,-0.2566958,0.1854431
82,5.9942536,6.3490562,"('poor', 'rich')",5.9942536,6.3490562,0.3548026
83,-0.03276806,0.046753407,"('powerless', 'powerful')",-0.0327681,0.0467534,0.0795215
84,0.21088517,0.21637383,"('inferior', 'superior')",0.2108852,0.2163738,0.0054886
85,-0.74252605,-1.1095645,"('insignificant', 'prestigious')",-0.7425261,-1.1095645,-0.3670384
