,blackfish_male,blackfish_female,tuple,average_male,average_female,female-male
0,0.20928587,0.16472593,"('unsociable', 'sociable')",0.2092859,0.1647259,-0.04456
1,-0.5208342,-0.6158523,"('unfriendly', 'friendly')",-0.5208342,-0.6158523,-0.0950181
2,0.6854505,0.75308603,"('unlikable', 'likable')",0.6854505,0.753086,0.0676355
3,-0.42550018,-0.42438138,"('repellent', 'pleasant')",-0.4255002,-0.4243814,0.0011188
4,-2.331633,-2.3125713,"('disliked', 'liked')",-2.3316331,-2.3125713,0.0190618
5,-1.3595015,-1.3112761,"('distant', 'outgoing')",-1.3595015,-1.3112761,0.0482254
6,-1.4445888,-1.3828584,"('distant', 'open')",-1.4445888,-1.3828584,0.0617304
7,0.19048226,0.22993527,"('insensitive', 'sensitive')",0.1904823,0.2299353,0.039453
8,-0.5863378,-0.67256737,"('unaffectionate', 'affectionate')",-0.5863378,-0.6725674,-0.0862296
9,0.07933311,0.031001624,"('unaffectionate', 'caring')",0.0793331,0.0310016,-0.0483315
10,0.03347747,0.08504084,"('unsympathetic', 'sympathetic')",0.0334775,0.0850408,0.0515633
11,0.87809956,0.8790289,"('unhelpful', 'helpful')",0.8780996,0.8790289,0.0009293
12,-0.78720415,-0.68749434,"('unsupportive', 'supportive')",-0.7872041,-0.6874943,0.0997098
13,0.24204306,0.22357735,"('impolite', 'polite')",0.2420431,0.2235774,-0.0184657
14,0.83159727,0.7662956,"('antisocial', 'social')",0.8315973,0.7662956,-0.0653017
15,0.3585797,0.3099177,"('boring', 'funny')",0.3585797,0.3099177,-0.048662
16,-0.4010762,-0.40275353,"('unpopular', 'popular')",-0.4010762,-0.4027535,-0.0016773
17,-0.79133934,-0.76692134,"('nasty', 'nice')",-0.7913393,-0.7669213,0.024418
18,-0.59448755,-0.6770559,"('disagreeable', 'welcoming')",-0.5944875,-0.6770559,-0.0825684
19,-1.6382141,-1.5193038,"('inhospitable', 'hospitable')",-1.6382141,-1.5193038,0.1189103
20,-0.06461041,-0.075341456,"('rough', 'thoughtful')",-0.0646104,-0.0753415,-0.0107311
21,0.65843594,0.7019073,"('immoral', 'moral')",0.6584359,0.7019073,0.0434714
22,-0.43804705,-0.4441476,"('untrustworthy', 'trustworthy')",-0.4380471,-0.4441476,-0.0061005
23,2.2578542,2.209068,"('insincere', 'sincere')",2.2578542,2.2090681,-0.0487861
24,0.6954102,0.66296256,"('dishonest', 'honest')",0.6954102,0.6629626,-0.0324476
25,0.03606528,-0.0029973984,"('egoistic', 'altruistic')",0.0360653,-0.0029974,-0.0390627
26,-0.03255875,-0.1611101,"('hardhearted', 'benevolent')",-0.0325588,-0.1611101,-0.1285513
27,-0.66380435,-0.684528,"('hardhearted', 'softhearted')",-0.6638044,-0.684528,-0.0207236
28,0.66126704,0.5420398,"('disloyal', 'loyal')",0.661267,0.5420398,-0.1192272
29,-0.83781767,-0.8825685,"('unfair', 'fair')",-0.8378177,-0.8825685,-0.0447508
